time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2023/03/02/11:24:45.582351,31190,1677774285,540958287,,"['front_left_hip_x', 'front_left_hip_y', 'front_left_knee', 'front_right_hip_x', 'front_right_hip_y', 'front_right_knee', 'rear_left_hip_x', 'rear_left_hip_y', 'rear_left_knee', 'rear_right_hip_x', 'rear_right_hip_y', 'rear_right_knee', 'arm_joint1', 'arm_joint2', 'arm_joint3', 'arm_joint4', 'arm_joint5', 'arm_joint6', 'arm_gripper']","(0.019798489287495613, 0.7840851545333862, -1.5780411958694458, 0.00024296471383422613, 0.7852503657341003, -1.5818108320236206, 0.02211007848381996, 0.7954448461532593, -1.5837382078170776, -0.003205236280336976, 0.7908598780632019, -1.5929147005081177, 0.0020177364349365234, -3.104487895965576, 3.1325995922088623, 1.5704468488693237, -0.0007573366165161133, -1.569532871246338, -0.014151453971862793)","(0.0040636127814650536, -0.028839288279414177, 0.04431707412004471, 0.006551310420036316, -0.015077119693160057, 0.006454930175095797, -0.0061575872823596, -0.022029327228665352, 0.01762852445244789, -0.005056088790297508, -0.027800526469945908, -0.04045521467924118, 0.007103001233190298, 0.0009589793626219034, -0.001290034968405962, 0.007061150390654802, -0.006080228835344315, 0.002852312522009015, 0.01645340397953987)","(-7.1233015060424805, 2.574542284011841, 23.12972640991211, 7.150831699371338, 6.223313331604004, 26.24433135986328, -8.964973449707031, 5.082486152648926, 25.36124610900879, 8.365078926086426, 3.876744508743286, 25.221149444580078, -2.507638692855835, -1.9938710927963257, 0.3925900459289551, 0.054698701947927475, -0.09987560659646988, -0.0005629452061839402, 0.2309226095676422)"
2023/03/02/11:24:45.621035,31191,1677774285,567958095,,"['front_left_hip_x', 'front_left_hip_y', 'front_left_knee', 'front_right_hip_x', 'front_right_hip_y', 'front_right_knee', 'rear_left_hip_x', 'rear_left_hip_y', 'rear_left_knee', 'rear_right_hip_x', 'rear_right_hip_y', 'rear_right_knee', 'arm_joint1', 'arm_joint2', 'arm_joint3', 'arm_joint4', 'arm_joint5', 'arm_joint6', 'arm_gripper']","(0.01976635865867138, 0.7833918929100037, -1.5776257514953613, 0.00023660462466068566, 0.7843096852302551, -1.5808680057525635, 0.022167908027768135, 0.7948405742645264, -1.5835464000701904, -0.0031346671748906374, 0.7902955412864685, -1.592626929283142, 0.002098560333251953, -3.1044435501098633, 3.132591485977173, 1.5704742670059204, -0.0007938146591186523, -1.5695509910583496, -0.0141754150390625)","(0.009872484020888805, -0.029991263523697853, 0.05914907902479172, 0.015185462310910225, -0.04761983081698418, 0.04676217958331108, 0.00837401021271944, -0.05157977715134621, 0.0034424751065671444, 0.0038374625146389008, -0.036652661859989166, 0.02401641011238098, 0.010438852943480015, -0.0010277475230395794, -0.008244610391557217, 0.007285017520189285, -0.025839775800704956, -0.042856745421886444, -0.014783059246838093)","(-6.864489555358887, 2.9264795780181885, 22.724332809448242, 7.3663411140441895, 5.782044410705566, 26.723424911499023, -8.964973449707031, 4.820404052734375, 25.22005271911621, 8.15023136138916, 4.103529930114746, 25.40007972717285, -2.8611035346984863, -2.178828477859497, 0.37575891613960266, 0.041935671120882034, -0.07238690555095673, -0.0005629452061839402, 0.18951855599880219)"
2023/03/02/11:24:45.644955,31192,1677774285,594958415,,"['front_left_hip_x', 'front_left_hip_y', 'front_left_knee', 'front_right_hip_x', 'front_right_hip_y', 'front_right_knee', 'rear_left_hip_x', 'rear_left_hip_y', 'rear_left_knee', 'rear_right_hip_x', 'rear_right_hip_y', 'rear_right_knee', 'arm_joint1', 'arm_joint2', 'arm_joint3', 'arm_joint4', 'arm_joint5', 'arm_joint6', 'arm_gripper']","(0.01986905373632908, 0.7821977734565735, -1.576539158821106, 0.00034540289198048413, 0.7829404473304749, -1.5795258283615112, 0.022418439388275146, 0.7934262156486511, -1.5819005966186523, -0.0028909635730087757, 0.7885960340499878, -1.590405821800232, 0.0020322799682617188, -3.104495048522949, 3.1325836181640625, 1.5704833269119263, -0.0007482767105102539, -1.5695509910583496, -0.014163494110107422)","(0.0005998997366987169, -0.08116195350885391, 0.12582676112651825, 0.026753930374979973, -0.0737624242901802, 0.01492032129317522, 0.0204248558729887, -0.09132994711399078, 0.10959695279598236, 0.026027876883745193, -0.07176921516656876, 0.10519132018089294, 0.0038257399573922157, 0.007056280970573425, -0.007095673121511936, -0.006898673716932535, 0.025533253327012062, 0.0002737013855949044, 0.0204622820019722)","(-7.51416015625, 2.6225337982177734, 23.261844635009766, 7.06673002243042, 5.713752746582031, 26.715818405151367, -9.123849868774414, 5.09821081161499, 25.987598419189453, 8.071629524230957, 4.240655899047852, 26.475954055786133, -2.4804491996765137, -2.0785253047943115, 0.37155112624168396, 0.04922883212566376, -0.12369915097951889, -0.0005629452061839402, 0.255651593208313)"
2023/03/02/11:24:45.657560,31193,1677774285,627958351,,"['front_left_hip_x', 'front_left_hip_y', 'front_left_knee', 'front_right_hip_x', 'front_right_hip_y', 'front_right_knee', 'rear_left_hip_x', 'rear_left_hip_y', 'rear_left_knee', 'rear_right_hip_x', 'rear_right_hip_y', 'rear_right_knee', 'arm_joint1', 'arm_joint2', 'arm_joint3', 'arm_joint4', 'arm_joint5', 'arm_joint6', 'arm_gripper']","(0.01986905373632908, 0.7801885604858398, -1.575132966041565, 0.0004349855298642069, 0.7811297178268433, -1.578391194343567, 0.022668901830911636, 0.7905782461166382, -1.579232096672058, -0.002839579014107585, 0.7859859466552734, -1.5877853631973267, 0.0021283626556396484, -3.1044654846191406, 3.1326074600219727, 1.5704468488693237, -0.0008395910263061523, -1.5695691108703613, -0.014163494110107422)","(-0.010854365304112434, -0.04961399734020233, 0.042950257658958435, 0.013922842219471931, -0.04272685945034027, 0.04988421872258186, 0.005089364014565945, -0.07644098997116089, 0.11001864820718765, 0.016171464696526527, -0.08029992878437042, 0.06013442948460579, -0.0030122646130621433, 0.004431769251823425, 0.002212448511272669, 0.002967400476336479, -0.011618017219007015, -0.03016497753560543, -0.012541785836219788)","(-7.144428730010986, 2.8944852352142334, 23.01215934753418, 7.093011856079102, 6.07097053527832, 26.167461395263672, -8.318878173828125, 4.893786907196045, 24.422779083251953, 8.223593711853027, 3.961129903793335, 25.33029556274414, -3.0242412090301514, -2.1988589763641357, 0.34209659695625305, 0.04558224976062775, -0.019242089241743088, 0.0031802747398614883, -0.059482574462890625)"
2023/03/02/11:24:45.698355,31194,1677774285,648958287,,"['front_left_hip_x', 'front_left_hip_y', 'front_left_knee', 'front_right_hip_x', 'front_right_hip_y', 'front_right_knee', 'rear_left_hip_x', 'rear_left_hip_y', 'rear_left_knee', 'rear_right_hip_x', 'rear_right_hip_y', 'rear_right_knee', 'arm_joint1', 'arm_joint2', 'arm_joint3', 'arm_joint4', 'arm_joint5', 'arm_joint6', 'arm_gripper']","(0.01988186500966549, 0.7789046168327332, -1.5741902589797974, 0.0006655052420683205, 0.7799331545829773, -1.5773686170578003, 0.022726664319634438, 0.7888360023498535, -1.5769950151443481, -0.0026343120262026787, 0.784363329410553, -1.5859318971633911, 0.0019659996032714844, -3.104480266571045, 3.1325995922088623, 1.570510745048523, -0.0006203651428222656, -1.569514274597168, -0.014211416244506836)","(-0.02003888599574566, -0.037207525223493576, 0.0359395332634449, -0.001057915622368455, -0.06530464440584183, 0.10032330453395844, 0.007691781967878342, -0.07559318840503693, 0.1262354999780655, 0.027069002389907837, -0.07668831199407578, 0.11220481246709824, 0.007806424517184496, 0.000806897587608546, 0.00033930616336874664, 0.00502572488039732, 0.019703084602952003, 0.015030067414045334, -0.052095964550971985)","(-7.218375205993652, 2.9051501750946045, 22.65911293029785, 7.124549865722656, 6.233819961547852, 26.53129768371582, -8.779618263244629, 5.187318801879883, 25.50250816345215, 8.019227027893066, 3.7290704250335693, 25.502716064453125, -2.3762223720550537, -2.15476393699646, 0.35892775654792786, 0.04922883212566376, -0.2574774920940399, -0.01927904412150383, 0.16672831773757935)"
2023/03/02/11:24:45.719403,31195,1677774285,675958095,,"['front_left_hip_x', 'front_left_hip_y', 'front_left_knee', 'front_right_hip_x', 'front_right_hip_y', 'front_right_knee', 'rear_left_hip_x', 'rear_left_hip_y', 'rear_left_knee', 'rear_right_hip_x', 'rear_right_hip_y', 'rear_right_knee', 'arm_joint1', 'arm_joint2', 'arm_joint3', 'arm_joint4', 'arm_joint5', 'arm_joint6', 'arm_gripper']","(0.019958799704909325, 0.7773574590682983, -1.5729918479919434, 0.0008575260289944708, 0.7783463001251221, -1.5760263204574585, 0.022945022210478783, 0.786907434463501, -1.5753651857376099, -0.0021469045896083117, 0.782311201095581, -1.5840142965316772, 0.0020177364349365234, -3.104473114013672, 3.1325836181640625, 1.5704560279846191, -0.0007666349411010742, -1.5695600509643555, -0.014163494110107422)","(0.020904988050460815, -0.08388647437095642, 0.05582127720117569, 0.007693539373576641, -0.058601122349500656, 0.034151021391153336, -0.01132215652614832, -0.07182493805885315, 0.04918878898024559, 0.023303430527448654, -0.03989262878894806, 0.047563958913087845, -0.0170445516705513, 0.011250169947743416, 0.000414174486650154, 0.001027317950502038, 0.0014594827080145478, -0.00970515701919794, 0.014415863901376724)","(-7.662052631378174, 2.6651928424835205, 23.298912048339844, 7.319034099578857, 5.960653305053711, 26.72926139831543, -8.737251281738281, 5.014344692230225, 23.893814086914062, 8.160712242126465, 3.2122111320495605, 24.683618545532227, -2.5167019367218018, -2.1285088062286377, 0.37155112624168396, 0.051052119582891464, -0.10354077070951462, -0.002434555208310485, 0.14937151968479156)"
2023/03/02/11:24:45.744383,31196,1677774285,699958351,,"['front_left_hip_x', 'front_left_hip_y', 'front_left_knee', 'front_right_hip_x', 'front_right_hip_y', 'front_right_knee', 'rear_left_hip_x', 'rear_left_hip_y', 'rear_left_knee', 'rear_right_hip_x', 'rear_right_hip_y', 'rear_right_knee', 'arm_joint1', 'arm_joint2', 'arm_joint3', 'arm_joint4', 'arm_joint5', 'arm_joint6', 'arm_gripper']","(0.020074239000678062, 0.7764459848403931, -1.5721449851989746, 0.0009407485486008227, 0.7771689891815186, -1.5748440027236938, 0.023195484653115273, 0.7857052087783813, -1.5740230083465576, -0.0014477224322035909, 0.7814197540283203, -1.5831354856491089, 0.00211334228515625, -3.1044507026672363, 3.132615566253662, 1.5704102516174316, -0.0008213520050048828, -1.569523811340332, -0.0141754150390625)","(0.003276403062045574, -0.05039568617939949, 0.03450058400630951, 0.016402633860707283, -0.057632893323898315, 0.07330877333879471, 0.009912856854498386, -0.06345105171203613, 0.02740941010415554, 0.021755479276180267, -0.05088288336992264, 0.0135955810546875, -0.010151214897632599, -0.009248806163668633, 0.007034722249954939, -0.023143170401453972, -0.0004128553264308721, 0.015033788047730923, 0.0075865560211241245)","(-7.339858531951904, 3.2410902976989746, 23.238040924072266, 7.182369709014893, 5.566662788391113, 26.052093505859375, -9.113258361816406, 4.851853847503662, 24.466779708862305, 8.448921203613281, 3.6130406856536865, 24.686861038208008, -2.924546003341675, -2.2331933975219727, 0.31684985756874084, 0.07110831141471863, -0.04856336861848831, -0.009920994751155376, 0.2636294364929199)"
2023/03/02/11:24:45.774996,31197,1677774285,726958415,,"['front_left_hip_x', 'front_left_hip_y', 'front_left_knee', 'front_right_hip_x', 'front_right_hip_y', 'front_right_knee', 'rear_left_hip_x', 'rear_left_hip_y', 'rear_left_knee', 'rear_right_hip_x', 'rear_right_hip_y', 'rear_right_knee', 'arm_joint1', 'arm_joint2', 'arm_joint3', 'arm_joint4', 'arm_joint5', 'arm_joint6', 'arm_gripper']","(0.020503928884863853, 0.7753674983978271, -1.5710583925247192, 0.0010496145114302635, 0.776202917098999, -1.57366144657135, 0.02331114560365677, 0.7849723696708679, -1.573256015777588, -0.001351528917439282, 0.7805026769638062, -1.5818092823028564, 0.0021059513092041016, -3.1045024394989014, 3.132591485977173, 1.570465087890625, -0.0008213520050048828, -1.5695509910583496, -0.014211416244506836)","(-0.007389894220978022, -0.024533431977033615, 0.005925034172832966, 0.006538119167089462, -0.05297593027353287, 0.045615456998348236, 0.0007349768420681357, -0.01595887914299965, 0.05099580064415932, 0.009554678574204445, -0.04353344812989235, 0.034569479525089264, 0.0017806985415518284, -0.0017741622868925333, -0.0019393720431253314, -0.001810072222724557, -0.0060307481326162815, -0.021072618663311005, 0.008060824126005173)","(-7.260630130767822, 2.8304967880249023, 23.41965103149414, 6.987884998321533, 5.619194984436035, 25.88919448852539, -9.113258361816406, 4.935719966888428, 24.55984878540039, 8.49608325958252, 3.539203643798828, 25.378549575805664, -2.9109511375427246, -2.0938379764556885, 0.3925900459289551, 0.032819218933582306, -0.03573530912399292, -0.002434555208310485, 0.12829004228115082)"
2023/03/02/11:24:45.795741,31198,1677774285,753958223,,"['front_left_hip_x', 'front_left_hip_y', 'front_left_knee', 'front_right_hip_x', 'front_right_hip_y', 'front_right_knee', 'rear_left_hip_x', 'rear_left_hip_y', 'rear_left_knee', 'rear_right_hip_x', 'rear_right_hip_y', 'rear_right_knee', 'arm_joint1', 'arm_joint2', 'arm_joint3', 'arm_joint4', 'arm_joint5', 'arm_joint6', 'arm_gripper']","(0.020459122955799103, 0.7741413712501526, -1.5698280334472656, 0.0011519850231707096, 0.7750256657600403, -1.572303295135498, 0.023651476949453354, 0.7837315797805786, -1.571913719177246, -0.0013066522078588605, 0.7794701457023621, -1.580483078956604, 0.0020177364349365234, -3.104480266571045, 3.1325995922088623, 1.5704742670059204, -0.0007301568984985352, -1.5695600509643555, -0.014187455177307129)","(0.0037835061084479094, -0.04709406569600105, 0.04755748435854912, 0.0024135939311236143, -0.02569279633462429, 0.019904397428035736, -0.002930614398792386, -0.05547105148434639, 0.07355938851833344, -0.0026799626648426056, -0.07088437676429749, 0.06577740609645844, 0.007546817883849144, -0.009056310169398785, -0.003444412723183632, -0.012678262777626514, -0.01936551183462143, -0.0215018130838871, -0.03960837051272392)","(-7.022945880889893, 3.225093126296997, 22.787307739257812, 7.024679660797119, 5.8766021728515625, 26.06134605407715, -9.14503288269043, 5.09821081161499, 25.00380516052246, 8.522284507751465, 4.056063175201416, 25.96869659423828, -2.6073338985443115, -2.1810193061828613, 0.34630438685417175, 0.06746172904968262, -0.1548530012369156, -0.002434555208310485, -0.0838347002863884)"
2023/03/02/11:24:45.827045,31199,1677774285,780958287,,"['front_left_hip_x', 'front_left_hip_y', 'front_left_knee', 'front_right_hip_x', 'front_right_hip_y', 'front_right_knee', 'rear_left_hip_x', 'rear_left_hip_y', 'rear_left_knee', 'rear_right_hip_x', 'rear_right_hip_y', 'rear_right_knee', 'arm_joint1', 'arm_joint2', 'arm_joint3', 'arm_joint4', 'arm_joint5', 'arm_joint6', 'arm_gripper']","(0.020491117611527443, 0.7728381752967834, -1.5687094926834106, 0.0012928543146699667, 0.7735795974731445, -1.5706573724746704, 0.023651476949453354, 0.7823815941810608, -1.570715308189392, -0.0012040187139064074, 0.7778411507606506, -1.5786453485488892, 0.002039670944213867, -3.104473114013672, 3.1325676441192627, 1.5704742670059204, -0.0007301568984985352, -1.5695600509643555, -0.014223337173461914)","(0.002280833898112178, -0.05026738718152046, 0.10944898426532745, 0.0201702993363142, -0.04368817061185837, 0.06989820301532745, -0.0034443470649421215, -0.03522564098238945, 0.026640459895133972, -0.0022087092511355877, -0.0723709911108017, 0.08533824980258942, 0.000586922571528703, 0.0068392520770430565, -0.00546681135892868, 0.004495192319154739, -0.011729693040251732, -0.011587747372686863, -0.01393115147948265)","(-7.31873083114624, 2.84649395942688, 22.82894515991211, 6.866989612579346, 6.191794395446777, 26.4661808013916, -8.816689491271973, 5.323601722717285, 24.141937255859375, 8.1659517288208, 3.882018566131592, 25.861120223999023, -2.543891668319702, -2.127163887023926, 0.35471996665000916, 0.04375895857810974, -0.17501138150691986, -0.0005629452061839402, -0.09134389460086823)"
