time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.twist.twist.linear.x,.twist.twist.linear.y,.twist.twist.linear.z,.twist.twist.angular.x,.twist.twist.angular.y,.twist.twist.angular.z,.twist.covariance
2023/03/02/11:20:56.146386,13107,1677774056,105750483,,0.03010409139096737,-0.002249889075756073,-0.009492583572864532,-0.002423015655949712,-5.673919804394245e-05,-0.006299369502812624,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/02/11:20:56.173027,13108,1677774056,132750547,,0.029706008732318878,-0.002506481483578682,-0.008174738846719265,-0.0003419054264668375,-0.00010112888412550092,-0.00656397920101881,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/02/11:20:56.199650,13109,1677774056,159750355,,0.028018401935696602,-0.002299053594470024,-0.008154329843819141,-0.0012332384940236807,2.4827546440064907e-05,-0.005149033851921558,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/02/11:20:56.224423,13110,1677774056,183750611,,0.026714108884334564,-0.0028312765061855316,-0.008265008218586445,-0.0031877239234745502,0.00028517632745206356,-0.006691734306514263,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/02/11:20:56.267649,13111,1677774056,240750547,,0.02533772960305214,-0.002935517579317093,-0.007667040452361107,-0.001650908961892128,-0.0035593558568507433,-0.0057399217039346695,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/02/11:20:56.279239,13112,1677774056,240750547,,0.02533772960305214,-0.002935517579317093,-0.007667040452361107,-0.001650908961892128,-0.0035593558568507433,-0.0057399217039346695,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/02/11:20:56.301420,13113,1677774056,267750611,,0.024932239204645157,-0.00316036120057106,-0.006851427722722292,-0.00021190335974097252,-0.0036555847618728876,-0.0012096131686121225,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/02/11:20:56.327710,13114,1677774056,291750355,,0.02582566812634468,-0.0026550758630037308,-0.00841484684497118,0.0003031607484444976,0.0018117122817784548,-0.003711057361215353,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/02/11:20:56.357084,13115,1677774056,318750675,,0.026705747470259666,-0.003031652420759201,-0.010883965529501438,-0.0058313882909715176,-0.002887899521738291,-0.0017591675277799368,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/02/11:20:56.398394,13116,1677774056,345750483,,0.027509961277246475,-0.003206491470336914,-0.008511981926858425,-0.008701132610440254,0.00719494977965951,-0.005400629248470068,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2023/03/02/11:20:56.429629,13117,1677774056,372750547,,0.028765900060534477,-0.0025571249425411224,-0.006842357572168112,2.4355784262297675e-05,0.0002259471220895648,-0.010716833174228668,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
