rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,gps_Date,gps_Time,gps_Lat,gps_Long,gps_Alt,gps_SIV,gps_FixType,gps_GroundSpeed,gps_Heading,gps_pDOP,output_Hz,
01/01/2000,00:00:03.10,333.01,3.42,-878.42,40.35,32.17,2.61,-19.80,-27.45,35.25,16.96,03/22/2020,00:00:02.500,0,0,0,0,0,0,0,9999,1.887,
01/01/2000,00:00:03.65,515.14,-131.84,-843.75,10.37,-26.69,-5.15,-21.15,-30.45,36.45,17.15,03/22/2020,00:00:02.800,0,0,0,0,0,0,0,9999,2.410,
01/01/2000,00:00:03.94,303.71,17.58,-618.16,-16.24,-40.34,-8.16,-19.05,-23.40,32.85,16.96,03/22/2020,00:00:02.900,0,0,0,0,0,0,0,9999,3.226,
01/01/2000,00:00:04.05,304.20,-57.13,-856.93,13.63,-40.34,7.51,-17.25,-24.45,31.05,17.01,03/22/2020,00:00:03.000,0,0,0,0,0,0,0,9999,3.846,
01/01/2000,00:00:04.16,287.11,132.32,-875.49,34.09,36.76,10.92,-16.05,-26.55,29.55,17.01,03/22/2020,00:00:03.100,0,0,0,0,0,0,0,9999,4.348,
01/01/2000,00:00:04.26,248.05,-179.20,-1190.92,8.63,-52.27,-9.55,-16.65,-26.25,33.0,16.82,03/22/2020,00:00:03.200,0,0,0,0,0,0,0,9999,4.878,
01/01/2000,00:00:04.36,807.62,-189.94,-219.24,-7.88,11.40,-15.23,-14.85,-23.55,27.75,17.29,03/22/2020,00:00:03.300,0,0,0,0,0,0,0,9999,5.263,
01/01/2000,00:00:04.46,253.91,271.00,-1072.75,20.75,-5.11,56.11,-16.35,-27.30,28.35,16.96,03/22/2020,00:00:03.400,0,0,0,0,0,0,0,9999,5.594,
01/01/2000,00:00:04.56,1443.85,1999.94,-2000.0,-106.24,88.88,32.86,-13.05,-27.0,25.20,17.25,03/22/2020,00:00:03.500,0,0,0,0,0,0,0,9999,5.882,
01/01/2000,00:00:04.66,531.74,186.52,-812.50,4.53,20.91,17.01,-15.60,-31.35,28.35,17.29,03/22/2020,00:00:03.600,0,0,0,0,0,0,0,9999,6.135,
