rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,gps_Date,gps_Time,gps_Lat,gps_Long,gps_Alt,gps_SIV,gps_FixType,gps_GroundSpeed,gps_Heading,gps_pDOP,output_Hz,
01/01/2000,00:00:02.20,83.50,177.25,-867.19,-27.83,-64.85,-16.95,19.65,36.90,-40.20,20.27,03/22/2020,00:00:01.100,0,0,0,0,0,0,0,9999,25.0,
01/01/2000,00:00:02.30,-62.01,345.70,-508.30,-63.34,-35.48,-6.39,22.50,39.45,-37.05,20.12,03/22/2020,00:00:01.200,0,0,0,0,0,0,0,9999,14.286,
01/01/2000,00:00:02.40,87.89,365.72,-1029.79,-9.48,54.50,23.89,19.50,38.10,-37.95,19.98,03/22/2020,00:00:01.300,0,0,0,0,0,0,0,9999,12.500,
01/01/2000,00:00:02.50,-109.86,408.69,-745.12,18.53,54.86,-6.20,17.85,37.20,-37.05,20.17,03/22/2020,00:00:01.400,0,0,0,0,0,0,0,9999,11.765,
01/01/2000,00:00:02.60,128.91,284.67,-915.04,42.32,-7.24,0.85,14.55,37.35,-38.55,20.27,03/22/2020,00:00:01.600,0,0,0,0,0,0,0,9999,9.091,
01/01/2000,00:00:02.76,114.75,180.66,-1006.35,14.61,20.92,-1.41,16.50,35.10,-40.50,20.27,03/22/2020,00:00:01.700,0,0,0,0,0,0,0,9999,9.231,
01/01/2000,00:00:02.87,218.26,118.16,-864.75,22.08,24.13,2.13,11.70,33.0,-43.05,20.31,03/22/2020,00:00:01.800,0,0,0,0,0,0,0,9999,9.459,
01/01/2000,00:00:02.97,220.21,98.14,-940.43,0.24,21.95,4.05,8.85,31.95,-40.35,20.41,03/22/2020,00:00:01.900,0,0,0,0,0,0,0,9999,9.524,
01/01/2000,00:00:03.07,290.53,167.48,-987.30,2.02,33.48,10.53,9.75,33.60,-42.30,20.17,03/22/2020,00:00:02.000,0,0,0,0,0,0,0,9999,9.677,
01/01/2000,00:00:03.17,301.76,145.02,-791.99,7.81,27.63,-0.29,8.70,34.35,-43.95,20.94,03/22/2020,00:00:02.100,0,0,0,0,0,0,0,9999,9.709,
01/01/2000,00:00:03.27,313.96,92.77,-946.78,4.87,4.86,-2.34,8.85,33.75,-42.0,20.17,03/22/2020,00:00:02.200,0,0,0,0,0,0,0,9999,9.735,
01/01/2000,00:00:03.37,252.93,134.28,-921.88,16.60,11.24,-3.49,7.35,28.50,-40.80,20.46,03/22/2020,00:00:02.300,0,0,0,0,0,0,0,9999,9.756,
01/01/2000,00:00:03.47,115.72,130.86,-901.86,-47.76,76.53,-17.95,3.15,21.15,-37.05,20.46,03/22/2020,00:00:02.400,0,0,0,0,0,0,0,9999,9.774,
01/01/2000,00:00:03.57,175.29,58.11,-1105.47,-22.87,-49.73,-4.02,1.20,25.65,-21.90,20.65,03/22/2020,00:00:02.500,0,0,0,0,0,0,0,9999,9.790,
01/01/2000,00:00:03.67,145.02,-51.76,-1027.83,39.15,22.25,12.21,3.30,23.85,-20.25,20.60,03/22/2020,00:00:02.600,0,0,0,0,0,0,0,9999,9.804,
01/01/2000,00:00:03.77,286.13,83.98,-916.99,-2.88,-54.52,-8.44,4.35,24.30,-23.70,20.60,03/22/2020,00:00:02.700,0,0,0,0,0,0,0,9999,9.816,
01/01/2000,00:00:03.87,87.40,84.47,-1011.72,16.90,-25.74,6.21,7.65,24.45,-22.50,20.51,03/22/2020,00:00:02.800,0,0,0,0,0,0,0,9999,9.827,
01/01/2000,00:00:03.96,4.88,-64.94,-1307.62,46.89,-168.88,7.16,8.70,21.45,-21.75,20.70,03/22/2020,00:00:02.900,0,0,0,0,0,0,0,9999,9.836,
