PathFileType	4	(X/Y/Z)	D:\TRACE\spot_10-12-23\spot_arm_body_motion_1_1-platform.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      7000	5	mm	100.00	1	      7000
Frame#	Time	Left_Front			Right_Front			Left_Aft			Right_Aft			Post			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	

1	0.000	-782.94739	13.07372	-651.35095	784.75928	10.83222	-626.45642	-711.43628	9.54389	487.17200	698.66357	8.32295	587.43738	18.96410	746.65674	-959.47137	
2	0.010	-782.92212	13.04675	-651.36456	784.75739	10.81445	-626.43787	-711.42908	9.54773	487.17007	698.62360	8.38665	587.45569	18.98964	746.61206	-959.44507	
3	0.020	-782.88983	13.04150	-651.38916	784.78430	10.83074	-626.45032	-711.41431	9.55636	487.16501	698.58008	8.30855	587.38513	18.97537	746.65540	-959.47644	
4	0.030	-782.93060	13.07503	-651.37756	784.76074	10.85201	-626.44995	-711.44916	9.56495	487.18274	698.63483	8.35321	587.44000	18.97095	746.61615	-959.48151	
5	0.040	-782.92346	13.04930	-651.34753	784.77753	10.86331	-626.46057	-711.39508	9.57485	487.15421	698.60535	8.30828	587.40570	18.99796	746.61884	-959.47058	
6	0.050	-782.90277	13.03715	-651.38928	784.80212	10.85919	-626.46136	-711.40344	9.54428	487.17108	698.61169	8.35010	587.41327	18.98308	746.63696	-959.49896	
7	0.060	-782.92798	13.05521	-651.37195	784.76764	10.83429	-626.45752	-711.42065	9.54909	487.15222	698.59503	8.29023	587.40997	18.96891	746.65088	-959.49060	
8	0.070	-782.93005	13.05668	-651.36212	784.77124	10.87562	-626.47412	-711.42554	9.57232	487.18457	698.57336	8.30902	587.39789	18.97355	746.64044	-959.49023	
9	0.080	-782.95508	13.11065	-651.35901	784.79321	10.87089	-626.46387	-711.43414	9.57038	487.15698	698.55573	8.34017	587.43610	18.97900	746.67499	-959.48724	
10	0.090	-782.93085	13.11826	-651.37122	784.76422	10.87381	-626.46619	-711.44257	9.56460	487.18600	698.63416	8.33792	587.42853	18.94979	746.66473	-959.48285	
11	0.100	-782.95923	13.06648	-651.35376	784.77802	10.86068	-626.44336	-711.37970	9.58891	487.16763	698.62866	8.35869	587.41431	19.01074	746.59436	-959.47552	
12	0.110	-782.93201	13.01789	-651.38104	784.76636	10.83591	-626.44171	-711.39331	9.56817	487.17734	698.64532	8.38237	587.43091	18.99790	746.57672	-959.46503	
13	0.120	-782.90796	13.01602	-651.38159	784.78394	10.79829	-626.46973	-711.41296	9.54511	487.18799	698.59692	8.30684	587.40582	18.97882	746.62622	-959.47601	
14	0.130	-782.94354	13.07486	-651.37830	784.80231	10.83477	-626.45520	-711.41028	9.57294	487.17764	698.62482	8.32726	587.41797	18.98002	746.61859	-959.46252	
15	0.140	-782.96637	13.11496	-651.36462	784.80219	10.85678	-626.45209	-711.43317	9.56070	487.17133	698.60651	8.32337	587.42017	18.97046	746.62195	-959.46912	
16	0.150	-782.93353	13.09124	-651.35107	784.77557	10.86317	-626.46014	-711.42609	9.57782	487.17239	698.54498	8.32187	587.41681	18.99211	746.64136	-959.47375	
17	0.160	-782.94934	13.06000	-651.36139	784.75757	10.82999	-626.44684	-711.40997	9.56958	487.16336	698.61078	8.30496	587.42120	18.98676	746.63672	-959.45789	
18	0.170	-782.94141	13.08147	-651.35968	784.77197	10.81537	-626.42853	-711.39795	9.58079	487.17831	698.58826	8.31439	587.42365	18.98091	746.63354	-959.45795	
19	0.180	-782.91248	13.12501	-651.37604	784.77917	10.85343	-626.45581	-711.42377	9.54868	487.16086	698.20630	7.91372	587.39612	18.97094	746.63562	-959.47375	
20	0.190	-782.91498	13.17148	-651.36108	784.78101	10.86754	-626.45221	-711.41547	9.55298	487.15857	698.34680	8.06938	587.41364	19.00451	746.63446	-959.47235	
21	0.200	-782.95837	13.10742	-651.37323	784.76331	10.83164	-626.44489	-711.42499	9.59670	487.14807	698.43073	8.18304	587.39734	18.99545	746.64648	-959.45923	
22	0.210	-782.93921	13.03378	-651.39490	784.75739	10.82548	-626.45697	-711.42889	9.57121	487.16507	698.57239	8.41531	587.55267	18.95822	746.61774	-959.48846	
23	0.220	-782.91290	13.04479	-651.36383	784.76996	10.82732	-626.47168	-711.41760	9.57447	487.15884	698.61108	8.44685	587.55286	18.98599	746.59528	-959.46851	
24	0.230	-782.93005	13.08531	-651.37787	784.73859	10.83278	-626.45746	-711.42578	9.54194	487.15399	698.58209	8.47419	587.57434	18.96162	746.60834	-959.46747	
25	0.240	-782.94617	13.08135	-651.34985	784.76044	10.84398	-626.42816	-711.38580	9.57478	487.16217	698.46045	8.37319	587.60590	19.01327	746.59094	-959.45770	
26	0.250	-782.88434	13.01591	-651.37988	784.78107	10.84701	-626.44159	-711.40625	9.58617	487.14941	698.54950	8.53894	587.67371	18.98955	746.64752	-959.47150	
27	0.260	-782.93811	13.09145	-651.36072	784.76324	10.88532	-626.45728	-711.44727	9.56244	487.17810	698.60126	8.54975	587.70612	18.96276	746.64948	-959.50635	
28	0.270	-782.96490	13.14885	-651.35291	784.78375	10.87076	-626.44995	-711.45862	9.54816	487.14984	698.61694	8.57835	587.71759	18.99224	746.66809	-959.50684	
29	0.280	-782.96942	13.10477	-651.31885	784.77374	10.82086	-626.45630	-711.41205	9.54391	487.17719	698.64362	8.59984	587.72479	18.96099	746.61865	-959.47589	
30	0.290	-782.92426	13.04882	-651.38458	784.76910	10.82784	-626.46503	-711.42694	9.57000	487.16205	698.66522	8.61555	587.71399	18.95902	746.63208	-959.47729	
31	0.300	-782.91449	13.06368	-651.39270	784.78235	10.86456	-626.45264	-711.42371	9.60555	487.17410	698.65515	8.65370	587.70557	19.00483	746.62903	-959.43774	
32	0.310	-782.94141	13.09633	-651.38611	784.76990	10.83134	-626.45862	-711.39844	9.61409	487.17444	698.64209	8.67568	587.75116	18.98678	746.63635	-959.45349	
33	0.320	-782.91974	13.07599	-651.38513	784.76318	10.80579	-626.44397	-711.43481	9.55524	487.18686	698.72540	8.65058	587.72253	18.96758	746.61548	-959.47107	
34	0.330	-782.96094	13.03257	-651.35364	784.76251	10.81030	-626.45660	-711.43872	9.55101	487.16443	698.61011	8.63345	587.71246	18.95536	746.58826	-959.46692	
35	0.340	-782.91608	13.03822	-651.34973	784.78235	10.82483	-626.45044	-711.42865	9.54866	487.19406	698.68634	8.63455	587.75073	18.95798	746.61755	-959.48242	
