PathFileType	4	(X/Y/Z)	D:\TRACE\spot_10-12-23\spot_arm_body_motion_1_6-v60.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      7000	9	mm	100.00	1	      7000
Frame#	Time	front left toe			Front right toe			aft left toe			aft right toe			Arm			FL body			FR body			AL Body			AR Body			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	

1	0.000	-272.75986	30.00794	78.47610	319.75949	26.86638	62.53578	-253.77388	52.02475	678.69751	332.56262	48.37438	662.74341	31.50061	852.62024	-114.94812	-55.49085	537.27008	-36.11940	98.70930	542.39685	-42.79419	-20.99778	581.39032	844.55676	119.71968	580.99908	841.28558	
2	0.010	-272.75760	29.96739	78.48862	319.73889	26.87648	62.48183	-253.81677	52.00689	678.66272	332.56815	48.37696	662.71118	31.17832	853.07343	-115.03564	-55.52005	537.25806	-36.17568	98.60995	542.42816	-42.87251	-21.28309	581.26410	844.11615	119.60902	581.00262	841.20471	
3	0.020	-272.77106	29.99122	78.49298	319.72919	26.90663	62.41248	-253.80142	52.01682	678.66321	332.64545	48.36241	662.73456	30.40876	853.63507	-115.19006	-55.59988	537.31775	-36.26291	99.14551	542.52899	-43.08375	-21.27645	581.29834	844.00848	119.59415	580.98877	841.15125	
4	0.030	-272.78418	29.98017	78.47794	319.75797	26.92080	62.44510	-253.74731	52.03915	678.63782	332.63043	48.38162	662.72235	29.85178	854.15173	-115.25278	-55.70893	537.41016	-36.34116	98.47424	542.36621	-43.01654	-21.33876	581.40924	843.94250	119.51446	581.01648	841.07788	
5	0.040	-272.78757	29.91595	78.50043	319.70782	26.90408	62.42546	-253.76816	52.02288	678.66870	332.62195	48.36793	662.68750	29.59759	854.46484	-115.33524	-55.89957	537.44562	-36.40188	98.32340	542.43225	-43.06466	-21.38990	581.48456	843.85156	119.51249	581.01593	841.02765	
6	0.050	-272.79660	29.89267	78.51430	319.70456	26.40124	61.69825	-253.83241	51.98226	678.70947	332.62335	48.34382	662.69269	29.05682	854.71722	-115.48250	-56.09491	537.49426	-36.52182	98.18671	542.38477	-43.17407	-22.20079	581.85901	844.00519	119.40657	580.96442	840.94928	
7	0.060	-272.87170	29.67302	78.60329	319.73264	26.80001	62.52673	-253.82625	51.86356	678.78290	332.69397	48.06031	662.84552	28.70124	854.87183	-115.66178	-56.27182	537.63647	-36.65616	98.08030	542.40118	-43.23808	-22.47616	582.08966	844.24335	119.33660	580.96436	840.86237	
8	0.070	-272.77219	29.59435	78.44276	319.69659	26.24654	61.66520	-253.84410	51.71358	678.63062	332.65567	47.87224	662.70911	28.61399	854.95276	-115.87476	-56.38312	538.33331	-36.71016	98.36254	542.96466	-43.38623	-22.51328	582.31641	844.21130	119.19931	581.29462	840.86951	
9	0.080	-272.71173	29.81093	78.39928	319.57037	26.36331	61.58959	-253.81276	51.81445	678.66418	332.47906	48.09413	662.71759	28.65454	854.80859	-116.39925	-56.62535	539.30865	-36.65903	97.45786	543.66101	-43.34269	-22.68380	583.04926	844.20935	119.24806	581.91705	840.92413	
10	0.090	-272.72748	29.78686	78.37723	319.55637	26.38984	61.57126	-253.94933	52.22528	678.12769	332.48880	48.17343	662.58185	28.83953	854.51666	-116.97186	-56.91553	540.63934	-36.54714	97.31625	545.06152	-43.37667	-22.53514	583.61957	843.99554	119.08036	582.77161	841.01227	
11	0.100	-272.79443	29.66088	78.38985	319.53259	26.89018	62.04257	-253.90489	52.18606	678.04626	332.51239	48.12104	662.45282	29.22826	854.05927	-117.62440	-57.28035	542.15643	-36.36460	97.55604	546.73132	-43.44368	-22.67540	584.60590	844.49762	119.31771	583.20111	840.93634	
12	0.110	-272.84439	29.51168	78.35548	319.54300	26.90007	61.92013	-253.92305	52.11613	678.13068	332.52704	48.14857	662.41132	29.54288	853.86957	-118.27428	-57.43560	544.00909	-36.35453	96.81513	548.27985	-43.36369	-22.42891	585.31519	844.50568	119.33184	584.01422	840.43011	
13	0.120	-272.86557	29.38827	78.26648	319.61285	26.95115	61.70126	-253.84509	51.76967	678.49084	332.59753	48.13521	662.28113	29.59536	854.06488	-118.68102	-57.67162	546.05365	-36.59411	96.60551	550.20447	-43.39669	-23.18612	586.75885	844.30682	119.55554	585.59180	841.43121	
14	0.130	-272.82178	29.40275	78.11330	319.67047	26.87494	61.74350	-253.88232	51.68552	678.35028	332.61691	48.20127	662.19086	29.54035	854.21210	-119.16041	-57.45677	547.94690	-36.36374	97.28888	552.33545	-43.27806	-23.02961	587.66565	844.76239	118.52280	586.75671	841.03845	
15	0.140	-272.80408	29.39696	78.00141	319.72159	26.86344	61.70462	-253.96179	51.75214	678.29272	332.67230	48.23683	662.13568	29.28920	854.48083	-119.62815	-57.46541	550.07813	-36.34699	97.34229	554.44427	-42.89736	-23.07724	589.18872	844.76947	117.98945	588.37115	841.31671	
