PathFileType	4	(X/Y/Z)	D:\TRACE\spot_10-12-23\spot_arm_motion_1_1-platform.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      7000	5	mm	100.00	1	      7000
Frame#	Time	Left_Front			Right_Front			Left_Aft			Right_Aft			Post			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	

1	0.000	-780.61359	6.15968	-641.44519	791.89148	10.86142	-634.83948	-697.62909	5.28379	496.49963	719.50751	9.74752	582.47791	2.39648	744.05524	-959.38501	
2	0.010	-780.64337	6.16050	-641.42126	791.73792	10.84279	-634.94623	-697.66748	5.31990	496.52640	719.49103	9.71389	582.46973	2.35396	744.07910	-959.42822	
3	0.020	-780.57007	6.09140	-641.44537	791.90338	10.80389	-634.80542	-697.66278	5.26866	496.49698	719.48645	9.70922	582.45184	2.33733	744.05756	-959.43414	
4	0.030	-780.62842	6.07784	-641.43713	791.88318	10.81366	-634.82977	-697.61292	5.24581	496.54843	719.47662	9.71034	582.47473	2.37793	744.03363	-959.38239	
5	0.040	-780.62231	6.11565	-641.45911	791.73926	10.85896	-634.90930	-697.61438	5.24794	496.51483	719.49634	9.73237	582.43878	2.40940	744.05267	-959.38385	
6	0.050	-780.56561	6.10770	-641.44348	791.72211	10.86825	-634.94366	-697.65674	5.28208	496.50009	719.49982	9.71886	582.46863	2.33444	744.08954	-959.37854	
7	0.060	-780.62329	6.16292	-641.47021	791.92828	10.87456	-634.80487	-697.65356	5.25210	496.49005	719.50073	9.67918	582.44275	2.37037	744.08673	-959.43298	
8	0.070	-780.63196	6.15907	-641.46869	791.75604	10.90401	-634.91193	-697.62183	5.27816	496.51730	719.48553	9.69207	582.44147	2.37329	744.10693	-959.37946	
9	0.080	-780.64758	6.18634	-641.47070	791.75256	10.85510	-634.91870	-697.65076	5.26747	496.51566	719.51245	9.70096	582.44989	2.39190	744.05841	-959.38745	
10	0.090	-780.58502	6.13128	-641.41595	791.95062	10.84070	-634.76666	-697.65326	5.27581	496.51151	719.48608	9.68687	582.45813	2.39983	744.05377	-959.41718	
11	0.100	-780.62775	6.13276	-641.49109	791.89813	10.83527	-634.80975	-697.64282	5.29169	496.52835	719.49829	9.69276	582.46106	2.40618	744.03564	-959.38538	
12	0.110	-780.63489	6.13980	-641.46722	792.00513	10.89846	-634.73553	-697.59052	5.23777	496.53531	719.47217	9.74536	582.45520	2.37157	744.05212	-959.35437	
13	0.120	-780.59821	6.13713	-641.43549	791.79315	10.86801	-634.91223	-697.60315	5.24813	496.49420	719.50842	9.68698	582.46448	2.35275	744.06958	-959.38684	
14	0.130	-780.62445	6.16209	-641.40833	791.93701	10.82957	-634.76886	-697.67664	5.24230	496.50735	719.47302	9.68988	582.47662	2.35360	744.06268	-959.38635	
15	0.140	-780.61951	6.12574	-641.43781	791.77887	10.89318	-634.91693	-697.65228	5.29591	496.49289	719.47784	9.69804	582.44720	2.36346	744.05597	-959.39966	
16	0.150	-780.63812	6.10537	-641.43622	791.91260	10.84687	-634.81726	-697.62469	5.26676	496.52014	719.44031	9.67497	582.46637	2.37574	744.03552	-959.39337	
17	0.160	-780.60474	6.10303	-641.44067	791.86731	10.85707	-634.87317	-697.65161	5.29008	496.51270	719.44318	9.66609	582.47778	2.37092	744.06635	-959.38818	
18	0.170	-780.61926	6.15480	-641.45062	791.78473	10.91103	-634.88800	-697.60870	5.24078	496.53693	719.45251	9.68022	582.48212	2.39006	744.08069	-959.39795	
19	0.180	-780.60413	6.13094	-641.44574	791.91278	10.84022	-634.82477	-697.62634	5.25709	496.47464	719.44421	9.68645	582.45935	2.35644	744.06421	-959.36066	
20	0.190	-780.57202	6.11284	-641.45294	791.89502	10.89794	-634.84723	-697.60461	5.25887	496.49841	719.44507	9.68195	582.46387	2.39342	744.07361	-959.40704	
21	0.200	-780.64197	6.14563	-641.46729	791.88977	10.84699	-634.81042	-697.63214	5.25332	496.46442	719.44202	9.66265	582.46094	2.35708	744.05237	-959.39972	
22	0.210	-780.63062	6.16728	-641.42688	791.75195	10.85538	-634.95007	-697.60168	5.24491	496.50021	719.48187	9.68614	582.47839	2.36703	744.04370	-959.35974	
23	0.220	-780.61469	6.15402	-641.45020	791.74316	10.86467	-634.93738	-697.63483	5.26356	496.47650	719.49689	9.68605	582.45227	2.43743	744.05750	-959.39154	
24	0.230	-780.61670	6.13496	-641.46771	791.72479	10.87476	-634.94293	-697.66162	5.30685	496.47806	719.46143	9.70205	582.45496	2.38067	744.06964	-959.38336	
25	0.240	-780.61682	6.19805	-641.46332	791.79071	10.89312	-634.90619	-697.67651	5.30002	496.49002	719.48218	9.70059	582.45020	2.39023	744.05371	-959.41650	
26	0.250	-780.62109	6.14422	-641.43964	791.79639	10.90356	-634.90118	-697.66284	5.29142	496.51971	719.48877	9.69131	582.47308	2.39078	744.05701	-959.37244	
27	0.260	-780.62170	6.17282	-641.46857	791.79608	10.87120	-634.87018	-697.59265	5.27151	496.49915	719.49640	9.69548	582.48120	2.39531	744.03857	-959.36713	
28	0.270	-780.60596	6.13599	-641.45300	791.74445	10.87392	-634.95062	-697.66534	5.27547	496.50589	719.47723	9.69204	582.47858	2.38797	744.06915	-959.36078	
29	0.280	-780.62427	6.11268	-641.45844	791.89423	10.87282	-634.80804	-697.65692	5.30360	496.47757	719.46289	9.69009	582.45288	2.34782	744.04968	-959.41351	
30	0.290	-780.60236	6.10271	-641.45752	791.75299	10.87519	-634.95239	-697.65588	5.27273	496.50668	719.47803	9.70325	582.46326	2.35094	744.03473	-959.40942	
31	0.300	-780.58655	6.11724	-641.48877	791.88245	10.86236	-634.84790	-697.66504	5.29226	496.52133	719.45752	9.69277	582.45203	2.38652	744.07037	-959.38397	
32	0.310	-780.58203	6.10871	-641.46289	791.96143	10.81868	-634.75348	-697.63855	5.27962	496.52127	719.46259	9.76218	582.47107	2.37056	744.08588	-959.37897	
33	0.320	-780.61835	6.11981	-641.44696	791.74292	10.86684	-634.90692	-697.62494	5.23036	496.50412	719.50702	9.68321	582.44708	2.38027	744.04303	-959.46008	
34	0.330	-780.61578	6.09769	-641.45081	791.95123	10.86113	-634.80450	-697.62775	5.25592	496.52448	719.47113	9.70732	582.46960	2.35130	744.08148	-959.40417	
35	0.340	-780.58075	6.11289	-641.48657	791.95721	10.84266	-634.80957	-697.62543	5.28203	496.53003	719.49078	9.66774	582.45770	2.44602	744.10236	-959.40619	
