PathFileType	4	(X/Y/Z)	D:\TRACE\spot_10-12-23\spot_arm_motion_2_4-v60.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      7000	9	mm	100.00	1	      7000
Frame#	Time	front left toe			Front right toe			aft left toe			aft right toe			Arm			FL body			FR body			AL Body			AR Body			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	

1	0.000	-267.59558	21.30651	45.67732	250.05161	23.34275	9.24810	-218.56000	23.97681	641.17975	294.09058	18.33376	600.66199	-10.19550	863.73761	-154.82513	-91.97861	544.15948	-83.40506	59.56604	549.69788	-97.38031	-18.57993	556.11041	797.04199	133.57420	556.00641	788.33087	
2	0.010	-267.61099	21.32468	45.70268	250.05826	23.36431	9.23122	-218.51932	23.94911	641.18787	294.15344	18.07762	600.72778	-10.16607	863.41309	-155.70908	-92.05856	544.22479	-83.29530	59.40796	550.00848	-97.97977	-18.46523	555.99121	797.13434	132.63365	555.53217	787.49469	
3	0.020	-267.58557	21.34993	45.76248	250.01103	23.34170	9.27880	-218.52859	23.96395	641.24744	294.10214	18.27410	600.65967	-10.01316	863.04993	-156.77139	-92.22603	544.26031	-83.18267	59.27485	550.00366	-97.90417	-18.44478	556.01019	797.24548	132.74194	555.58881	787.63159	
4	0.030	-267.61890	21.29690	45.78901	249.99242	23.38866	9.26006	-218.51007	24.08355	641.22125	294.09161	18.33377	600.68909	-9.23018	862.70752	-157.98112	-92.25554	544.08331	-83.02958	59.24630	549.67712	-97.21726	-18.38689	556.13593	797.30225	133.69438	556.05231	788.50104	
5	0.040	-267.66208	21.33021	45.76931	249.94955	23.37493	9.28685	-218.51408	24.13150	641.17865	294.08493	18.38073	600.62988	-8.91431	862.68292	-158.83424	-92.22688	543.95374	-82.96328	59.21371	549.54736	-97.20075	-18.31138	556.27911	797.42297	133.65503	556.05865	788.48260	
6	0.050	-267.69592	21.33139	45.75854	249.96889	23.36653	9.26605	-218.53743	24.14269	641.18384	294.04904	18.36535	600.66675	-8.62860	862.91937	-159.78905	-92.27093	543.88672	-82.94867	59.22383	549.47858	-97.19787	-18.43031	556.32465	797.38751	133.61015	556.07916	788.51190	
7	0.060	-267.65515	21.28493	45.71705	249.90906	23.32940	9.26480	-218.55453	24.10629	641.15698	294.06384	18.38608	600.67200	-8.45621	863.22437	-160.30687	-92.21507	543.87970	-83.05211	59.25269	549.46613	-97.23383	-18.52779	556.28900	797.35504	133.45708	556.11017	788.48346	
8	0.070	-267.63803	21.28451	45.70897	250.00101	23.31556	9.31606	-218.51634	24.02131	641.18549	294.01620	18.36139	600.69727	-8.48672	863.80231	-160.70723	-92.08315	543.89026	-83.15446	59.33865	549.47028	-97.28686	-18.76732	556.29852	797.22961	133.28551	556.12695	788.46820	
9	0.080	-267.67221	21.33756	45.65873	249.93636	23.30154	9.30537	-218.52782	23.97289	641.16962	294.00031	18.38514	600.70618	-8.77663	864.62329	-160.86095	-92.02434	543.93829	-83.24725	59.50735	549.51990	-97.32065	-19.08198	556.32562	797.16193	133.05368	556.12109	788.44037	
10	0.090	-267.61957	21.30717	45.66929	250.02490	23.33126	9.33374	-218.57127	24.00438	641.14777	294.00439	18.43374	600.69580	-8.91411	865.54120	-161.16289	-91.91899	543.96521	-83.33236	59.59544	549.51636	-97.38517	-19.12067	556.40405	797.09161	132.93964	556.18384	788.42053	
11	0.100	-267.63464	21.31874	45.62258	250.02715	23.32747	9.32526	-218.58469	24.02570	641.10468	294.02258	18.43673	600.70532	-9.06037	866.26910	-161.38141	-91.87738	544.02631	-83.38762	59.65863	549.55359	-97.38753	-19.02922	556.45624	797.24683	131.97777	555.86816	787.52783	
12	0.110	-267.65454	21.35865	45.62422	249.99257	23.35725	9.31721	-218.61292	24.02396	641.09143	293.98575	18.43931	600.67847	-9.03330	866.96667	-161.76208	-91.81651	544.06335	-83.45425	59.71572	549.58838	-97.40497	-19.13424	556.49493	797.21808	132.73969	556.24799	788.29590	
13	0.120	-267.65359	21.35344	45.62673	249.99539	23.32595	9.30546	-218.59183	24.01308	641.09497	293.99911	18.41753	600.67938	-8.87311	867.75110	-162.10701	-91.85816	544.11475	-83.49139	59.73682	549.61292	-97.38171	-19.08242	556.50659	797.20660	132.68820	556.25269	788.31073	
14	0.130	-267.63876	21.36476	45.63735	249.87396	23.30916	9.27610	-218.55925	24.03510	641.14941	294.00595	18.38290	600.69574	-8.83774	868.44934	-162.59312	-91.86388	544.13379	-83.49203	59.71356	549.61603	-97.39529	-19.13269	556.50610	797.20074	132.72096	556.26294	788.32135	
15	0.140	-267.65332	21.36467	45.64021	250.06827	23.32791	9.31485	-218.53323	24.05141	641.11847	294.00989	18.40874	600.68634	-8.89131	868.93695	-163.00653	-91.87157	544.09735	-83.46753	59.70663	549.61517	-97.42352	-19.09072	556.51825	797.20172	132.82230	556.25745	788.33600	
