PathFileType	4	(X/Y/Z)	D:\TRACE\spot_10-12-23\spot_body_baseline_1-platform.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      7000	5	mm	100.00	1	      7000
Frame#	Time	Left_Front			Right_Front			Left_Aft			Right_Aft			Post			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	

1	0.000	-780.65723	6.24151	-641.48035	791.55682	10.91916	-634.98029	-697.70148	5.35487	496.66693	719.46259	10.05679	582.20837	1.68631	743.78632	-959.64325	
2	0.010	-780.67334	6.21628	-641.50757	791.65930	10.90306	-634.95764	-697.73315	5.38734	496.69843	719.47559	10.08457	582.21118	1.70672	743.77771	-959.69556	
3	0.020	-780.73334	6.28738	-641.52142	791.56781	10.86141	-634.95667	-697.74213	5.43883	496.68057	719.46149	10.06109	582.21539	1.70585	743.78937	-959.63232	
4	0.030	-780.69580	6.32934	-641.52386	791.64325	11.04211	-634.93317	-697.75201	5.45807	496.62604	719.41687	10.02243	582.19031	1.68119	743.82159	-959.60938	
5	0.040	-780.78436	6.46499	-641.49762	791.57770	11.10001	-634.95801	-697.74591	5.48129	496.67859	719.39899	10.05510	582.21429	1.69487	743.81763	-959.67017	
6	0.050	-780.65399	6.39133	-641.51099	791.61212	11.03955	-634.90698	-697.69067	5.41442	496.67322	719.44873	10.05706	582.23999	1.65707	743.84637	-959.64868	
7	0.060	-780.73425	6.40076	-641.46606	791.58105	11.19751	-634.88428	-697.72278	5.53886	496.65042	719.42804	10.06749	582.22949	1.74681	743.84784	-959.55865	
8	0.070	-780.71344	6.45163	-641.49976	791.59906	11.28606	-634.89417	-697.66937	5.48433	496.66638	719.45502	10.10827	582.26764	1.84886	743.84509	-959.47986	
9	0.080	-780.57898	6.35333	-641.49939	791.60406	11.23372	-634.88611	-697.66724	5.46985	496.66269	719.45728	10.02693	582.23596	1.83167	743.99475	-959.44916	
10	0.090	-780.67499	6.48466	-641.46643	791.63947	11.22331	-634.84515	-697.70654	5.42145	496.65540	719.29193	9.51924	581.92059	1.77560	744.06921	-959.31610	
11	0.100	-780.60217	6.40583	-641.52362	791.61243	11.24631	-634.86755	-697.71655	5.45826	496.69632	719.36780	9.82055	582.18353	1.78376	744.07098	-959.30359	
12	0.110	-780.73804	6.49504	-641.47638	791.63190	11.37190	-634.84357	-697.72180	5.44939	496.69861	719.42987	9.92360	582.22424	1.80313	744.04144	-959.15717	
13	0.120	-780.68671	6.45891	-641.49512	791.62463	11.21465	-634.88092	-697.75372	5.45721	496.65771	719.52704	10.08234	582.19489	1.83646	743.93231	-959.13959	
14	0.130	-780.71277	6.43930	-641.47241	791.58124	11.07445	-634.91040	-697.68359	5.51218	496.62375	719.49493	10.17247	582.26007	1.89545	743.89423	-959.10956	
15	0.140	-780.66022	6.42416	-641.55853	791.60474	11.17974	-634.89636	-697.64850	5.45453	496.45630	719.53302	10.38560	582.47943	1.88256	743.88074	-959.14764	
16	0.150	-780.31378	6.16102	-641.79486	791.56329	11.22833	-634.91321	-697.80878	5.66963	496.30392	719.38678	10.47258	582.74884	1.81133	743.87103	-959.21051	
17	0.160	-780.54663	6.34196	-641.65381	791.59601	11.15495	-634.90961	-697.79492	5.60185	496.31335	719.44495	10.05498	582.24951	1.76964	743.87866	-959.29852	
18	0.170	-780.63867	6.37141	-641.52545	791.62543	11.09531	-634.92975	-697.83478	5.59960	496.30664	719.45428	10.06879	582.22028	1.71659	743.92816	-959.55298	
19	0.180	-780.70331	6.46770	-641.49127	791.63507	11.23318	-634.90662	-697.79773	5.57540	496.32104	719.42755	10.03879	582.28009	1.70793	743.95074	-959.66345	
20	0.190	-780.51093	6.39903	-641.56177	791.58997	11.35990	-634.89691	-697.76111	5.57537	496.35449	719.40753	10.00511	582.27765	1.34041	744.06049	-959.82239	
21	0.200	-780.70599	6.47037	-641.45032	791.65094	11.34997	-634.84167	-697.78156	5.60509	496.37003	719.40961	9.96947	582.26178	1.68362	744.10101	-959.85034	
22	0.210	-780.71906	6.48324	-641.49182	791.57190	11.20290	-634.90906	-697.79211	5.59943	496.31546	719.41681	10.02298	582.23218	1.61010	744.05017	-959.80731	
23	0.220	-780.61176	6.33397	-641.51453	791.57916	11.14414	-634.93481	-697.81036	5.59314	496.33771	719.45544	10.07345	582.22223	1.66024	743.94879	-959.64691	
24	0.230	-780.65356	6.36047	-641.49994	791.55670	11.18072	-634.91058	-697.80054	5.58425	496.31934	719.43530	10.09690	582.25195	1.76626	743.89539	-959.46716	
25	0.240	-780.68060	6.40320	-641.49091	791.60846	11.17633	-634.89490	-697.78845	5.62903	496.30997	719.45575	10.09270	582.24658	1.87348	743.83557	-959.36841	
26	0.250	-780.66040	6.43841	-641.53064	791.57031	11.18388	-634.95184	-697.78931	5.67731	496.31055	719.41724	10.08171	582.24780	1.88416	743.92548	-959.27277	
27	0.260	-780.59790	6.39961	-641.57147	791.60522	11.20682	-634.91113	-697.77820	5.65852	496.28308	719.46887	10.07137	582.23517	1.86176	743.93304	-959.26044	
28	0.270	-780.70905	6.42643	-641.52820	791.58258	11.22343	-634.90845	-697.84430	5.62485	496.29541	719.42200	10.04851	582.25128	1.77402	743.96381	-959.28296	
29	0.280	-780.70538	6.44382	-641.57037	791.53821	11.20694	-634.91919	-697.82397	5.53321	496.32050	719.47375	10.05691	582.24445	1.84386	743.97498	-959.28564	
30	0.290	-780.61066	6.43457	-641.51630	791.58990	11.26900	-634.88159	-697.79944	5.58017	496.29623	719.42487	9.99908	582.25903	1.80953	743.99530	-959.25732	
31	0.300	-780.53491	6.30086	-641.52478	791.59888	11.29192	-634.90485	-697.78912	5.59313	496.33337	719.43414	10.00565	582.27063	1.86460	744.01880	-959.27002	
32	0.310	-780.69238	6.45355	-641.48401	791.62598	11.32165	-634.85516	-697.75562	5.63834	496.31445	719.42975	10.04444	582.24139	1.81095	743.98621	-959.38269	
33	0.320	-780.64624	6.41137	-641.57440	791.75995	11.25944	-634.72388	-697.74078	5.59974	496.26263	719.43469	10.05929	582.24463	1.78459	743.93628	-959.41608	
34	0.330	-780.61133	6.27588	-641.55957	791.78845	11.15083	-634.77936	-697.86230	5.59419	496.36069	719.20728	9.78660	583.01251	1.79100	743.88318	-959.44647	
35	0.340	-780.68628	6.29882	-641.49890	791.58051	10.94293	-634.90057	-697.83362	5.58042	496.35007	719.45746	10.05770	582.72504	1.80931	743.81146	-959.51031	
