PathFileType	4	(X/Y/Z)	D:\TRACE\spot_10-12-23\spot_body_baseline_1-v60.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      7000	9	mm	100.00	1	      7000
Frame#	Time	front left toe			Front right toe			aft left toe			aft right toe			Arm			FL body			FR body			AL Body			AR Body			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	

1	0.000	-276.80292	45.67381	3.93280	219.09344	41.34275	-28.30730	-236.92928	29.43210	597.81805	253.56949	26.49532	562.29034	-27.03409	552.44019	-147.49260	-114.30777	290.51917	-127.73425	37.59342	294.59799	-139.35780	-56.56829	281.53677	754.13916	94.26538	278.51111	746.30627	
2	0.010	-275.93857	37.89346	3.61079	220.21280	31.73762	-27.02712	-235.89375	31.80837	594.48743	252.78772	28.67808	558.73694	-27.08191	552.26807	-147.45418	-113.81343	289.95773	-127.45419	37.92444	294.28708	-139.12054	-56.92268	281.46902	754.40430	94.10696	278.68201	746.68665	
3	0.020	-275.34622	29.84296	3.93043	219.06709	32.36524	-29.29780	-236.34839	29.94238	593.45081	253.31055	26.49860	559.24817	-26.93274	551.73395	-147.11919	-113.38641	289.46674	-127.11113	38.32659	294.01801	-138.56653	-57.33423	281.83002	754.76251	93.48903	279.49973	747.20166	
4	0.030	-275.29440	30.54489	2.20952	220.90535	29.77152	-30.22655	-236.30634	29.95159	593.56927	252.97353	26.89553	558.99951	-27.00043	551.44104	-147.04335	-113.02482	289.05475	-126.58234	38.93426	293.61786	-137.42758	-56.91827	282.63281	755.05444	93.28446	280.61276	747.88239	
5	0.040	-275.08575	30.67282	1.96737	220.98445	29.75575	-29.17551	-235.92572	30.57205	595.47882	253.18304	27.08894	560.27820	-27.36141	551.38434	-146.50945	-112.45683	289.02948	-125.89883	39.10005	294.49130	-137.26642	-57.69548	283.85785	756.07916	93.12748	282.03885	748.85822	
6	0.050	-275.59100	29.43691	3.01023	221.20099	28.48578	-28.78714	-236.10529	28.50775	596.94910	254.25620	25.44303	563.23425	-27.31852	551.76685	-145.82074	-112.41873	290.18851	-125.04906	39.48732	295.27524	-136.50052	-57.71774	285.23062	757.24042	92.85346	282.99100	749.42627	
7	0.060	-275.46631	29.18327	3.04540	220.36234	28.72548	-28.65727	-236.22765	28.98657	595.78845	253.47893	26.10515	561.32782	-27.37174	553.57916	-145.22646	-112.32897	292.18753	-124.37242	39.72931	297.19467	-135.61247	-57.96794	287.67346	757.57343	93.22826	286.02850	750.46771	
8	0.070	-275.51898	29.06513	2.98815	220.15843	28.57059	-28.82471	-236.41298	28.79583	596.05902	253.27249	25.06653	560.48218	-27.24326	556.91870	-144.48846	-112.48155	294.76608	-123.94383	39.62974	299.49243	-134.53798	-57.98297	290.58847	758.05933	93.07732	288.73685	750.25494	
9	0.080	-275.71585	29.03513	2.94590	220.16446	28.65134	-28.82267	-236.50778	28.63380	595.92084	253.59448	25.57870	562.42340	-27.13339	560.71088	-143.85201	-112.56268	297.80817	-123.25864	39.27734	303.02124	-134.56184	-57.69168	293.92535	758.57971	93.18934	292.10007	751.39624	
10	0.090	-276.01395	28.89136	2.64983	220.34897	28.52072	-28.92402	-236.69643	28.40396	595.72583	253.71870	25.14588	561.60107	-26.92518	563.94220	-143.51520	-112.40654	301.63666	-122.84346	39.40451	306.65778	-134.14522	-57.67665	297.50046	759.16968	92.86178	295.66547	751.70496	
11	0.100	-276.14816	28.63464	2.64778	220.65044	28.44739	-29.09523	-236.76187	28.21341	595.66956	253.89645	25.09000	560.65289	-27.06673	568.20050	-143.05759	-112.43901	305.57220	-122.62568	39.64825	310.33704	-133.31911	-57.77230	301.57513	759.16150	93.68783	300.12723	752.77081	
12	0.110	-276.17392	28.37202	2.51595	221.15915	28.22875	-29.25936	-236.87611	27.93027	595.54852	254.30153	24.92781	561.24731	-27.09396	572.52765	-142.75830	-112.44785	309.99722	-122.46324	39.49797	315.22760	-133.67259	-57.63257	305.79849	759.93872	93.30807	304.01035	752.74365	
13	0.120	-276.24359	28.27639	2.28820	221.38600	28.03759	-29.53698	-236.93057	27.80956	595.41699	254.65465	25.00850	561.04340	-27.31153	577.14795	-142.56966	-112.39317	314.55362	-122.11069	39.55298	319.85672	-133.44542	-57.35552	310.16376	759.94830	93.11234	308.58469	752.38239	
14	0.130	-276.43793	28.12897	2.02550	221.48528	27.80575	-29.90713	-237.04620	27.74549	595.26007	254.51671	24.66608	560.57428	-27.24033	582.03564	-142.27347	-112.40688	319.47290	-121.85144	39.66429	324.93982	-133.27385	-57.15511	315.05960	760.39929	93.60965	313.59677	752.65955	
15	0.140	-276.57388	28.04830	1.84006	221.50761	27.61803	-30.19888	-237.34312	27.75864	594.85474	254.87430	24.62910	560.26483	-27.62502	587.35687	-142.28995	-112.44324	324.69839	-121.58339	39.78955	329.75223	-132.49124	-56.56916	319.94238	759.68799	94.48907	319.00711	753.60938	
