PathFileType	4	(X/Y/Z)	D:\TRACE\spot_10-12-23\spot_body_motion_1_1-platform.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      7000	5	mm	100.00	1	      7000
Frame#	Time	Left_Front			Right_Front			Left_Aft			Right_Aft			Post			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	

1	0.000	-780.75189	6.33494	-641.44989	791.59607	10.97179	-634.89886	-697.85785	5.52735	496.38812	719.49268	9.81786	582.35211	1.79503	743.90741	-959.55646	
2	0.010	-780.69873	6.34679	-641.51062	791.62244	11.00295	-634.88715	-697.82025	5.51745	496.37540	719.49017	9.84811	582.35443	1.84568	743.88135	-959.50366	
3	0.020	-780.71857	6.34370	-641.46881	791.63287	11.05923	-634.87225	-697.83832	5.55034	496.41550	719.55914	9.96801	582.41132	1.85084	743.89685	-959.53436	
4	0.030	-780.66992	6.32357	-641.50702	791.67145	11.04532	-634.86389	-697.81360	5.56942	496.39407	719.54822	9.99562	582.39355	1.82012	743.92590	-959.56427	
5	0.040	-780.72168	6.39580	-641.48090	791.57275	11.04628	-634.94672	-697.89038	5.54428	496.39209	719.54395	9.98614	582.39520	1.85695	743.92096	-959.56311	
6	0.050	-780.66223	6.29603	-641.51276	791.65717	10.99255	-634.88251	-697.83289	5.55284	496.38858	719.52191	9.92247	582.43225	1.84511	743.90308	-959.57092	
7	0.060	-780.70319	6.29699	-641.46912	791.61591	11.01528	-634.90887	-697.86743	5.52584	496.39401	719.54755	9.93174	582.44366	1.88882	743.90710	-959.47003	
8	0.070	-780.68524	6.34331	-641.46149	791.65540	11.06784	-634.84924	-697.84210	5.55483	496.39536	719.52911	9.95882	582.43604	1.85931	743.90222	-959.48584	
9	0.080	-780.71509	6.36681	-641.45410	791.68378	11.08811	-634.88605	-697.82581	5.54393	496.39383	719.58356	10.00989	582.44348	1.88149	743.92035	-959.56989	
10	0.090	-780.74634	6.41743	-641.53662	791.68024	11.04996	-634.90234	-697.81848	5.61216	496.40683	719.56879	10.01232	582.41321	1.83807	743.93060	-959.50812	
11	0.100	-780.73486	6.38858	-641.46417	791.60815	10.98459	-634.91718	-697.88531	5.55543	496.36118	719.52295	9.96585	582.44257	1.80205	743.95428	-959.49323	
12	0.110	-780.70502	6.33760	-641.46240	791.57587	11.01739	-634.89923	-697.87115	5.54533	496.43338	719.51801	9.95322	582.48273	1.84571	743.92682	-959.48517	
13	0.120	-780.68646	6.33424	-641.47400	791.62067	10.97197	-634.88556	-697.89813	5.56160	496.39319	719.50079	9.96291	582.48981	1.87131	743.84625	-959.51361	
14	0.130	-780.72156	6.34934	-641.49725	791.62585	11.05789	-634.89325	-697.84674	5.55629	496.36798	719.47681	10.00317	582.46588	1.80393	743.93256	-959.55737	
15	0.140	-780.73755	6.38581	-641.47516	791.62000	11.06201	-634.91071	-697.83099	5.57485	496.38626	719.53711	10.02419	582.45563	1.82445	743.93213	-959.60278	
16	0.150	-780.75311	6.43787	-641.48047	791.56390	11.06117	-634.93652	-697.83112	5.56281	496.42386	719.53168	10.00803	582.45978	1.82514	743.97760	-959.59979	
17	0.160	-780.70087	6.33740	-641.51642	791.61804	10.99793	-634.92218	-697.82697	5.59925	496.32211	719.52728	10.04502	582.46704	1.85847	743.95746	-959.52173	
18	0.170	-780.73688	6.35701	-641.48846	791.63672	11.03981	-634.87207	-697.86163	5.50165	496.40170	719.55780	10.05001	582.53870	1.82494	743.95770	-959.56171	
19	0.180	-780.65710	6.28451	-641.48706	791.64252	11.03249	-634.89966	-697.87439	5.54557	496.37173	719.58716	10.08811	582.61755	1.87898	743.90778	-959.55383	
20	0.190	-780.65405	6.32090	-641.50244	791.61755	11.01472	-634.90039	-697.87463	5.58174	496.36093	719.58978	10.07912	582.59406	1.82822	743.89960	-959.53900	
21	0.200	-780.75592	6.42194	-641.48877	791.68036	10.99939	-634.90594	-697.88177	5.56917	496.36545	719.66846	10.12063	582.60870	1.87064	743.90314	-959.52496	
22	0.210	-780.72351	6.36258	-641.45532	791.62671	11.00933	-634.90790	-697.86353	5.59869	496.37930	719.71552	10.14372	582.63586	1.83363	743.93042	-959.53851	
23	0.220	-780.66864	6.30747	-641.41949	791.66235	11.00812	-634.87048	-697.89063	5.56973	496.39020	719.74048	10.15820	582.73804	1.84618	743.88983	-959.50415	
24	0.230	-780.70135	6.35500	-641.48138	791.53918	11.06781	-634.90118	-697.93903	5.50819	496.37289	719.83362	10.22121	582.77344	1.85731	743.93829	-959.50256	
25	0.240	-780.74506	6.34554	-641.47229	791.58484	11.01680	-634.93103	-697.91614	5.53859	496.34015	719.86707	10.28513	582.79523	1.85231	743.94208	-959.51300	
26	0.250	-780.69348	6.38114	-641.52753	791.64313	11.07296	-634.88062	-697.90430	5.60275	496.37909	719.94415	10.31754	582.82648	1.82872	743.97516	-959.57758	
27	0.260	-780.62567	6.28595	-641.53967	791.65277	11.05290	-634.88550	-697.89032	5.58012	496.40320	719.90540	10.23536	582.93939	1.83204	743.94092	-959.56799	
28	0.270	-780.75250	6.37266	-641.44598	791.59717	11.03220	-634.91193	-697.88708	5.55174	496.37323	719.48492	10.06491	582.33832	1.83168	743.94598	-959.56036	
29	0.280	-780.73346	6.36838	-641.44244	791.59222	11.00645	-634.92181	-697.88013	5.52763	496.34668	719.47430	10.05303	582.34100	1.84802	743.92627	-959.55145	
30	0.290	-780.71796	6.31903	-641.51276	791.63904	11.03760	-634.86932	-697.88300	5.56908	496.36441	719.48114	10.09165	582.36072	1.84401	743.90363	-959.49719	
31	0.300	-780.67883	6.33409	-641.50525	791.63843	11.01853	-634.91443	-697.86554	5.58721	496.36383	719.51172	10.07301	582.33917	1.81490	743.92413	-959.54993	
32	0.310	-780.59595	6.27230	-641.53522	791.64252	11.07157	-634.90472	-697.86652	5.57604	496.38000	719.52924	10.08282	582.33966	1.81772	743.95721	-959.56073	
33	0.320	-780.70050	6.42061	-641.48108	791.66388	10.84575	-634.88849	-697.85742	5.58018	496.38519	719.49554	10.05938	582.33594	1.82637	743.96075	-959.56396	
34	0.330	-780.72809	6.36335	-641.48376	791.58459	10.92341	-634.90033	-697.93781	5.55688	496.38129	719.47540	10.01141	582.34692	1.81315	743.95514	-959.55859	
35	0.340	-780.76556	6.42214	-641.44574	791.60754	11.05437	-634.90253	-697.96094	5.55419	496.39673	719.46155	9.99221	582.34399	1.83694	743.95508	-959.58978	
