PathFileType	4	(X/Y/Z)	D:\TRACE\spot_10-12-23\spot_body_motion_3_1-v60.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      7000	9	mm	100.00	1	      7000
Frame#	Time	front left toe			Front right toe			aft left toe			aft right toe			Arm			FL body			FR body			AL Body			AR Body			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	

1	0.000	-249.90825	28.93107	24.39984	222.06415	29.06877	11.94862	-222.45084	-81.92128	628.66016	239.99721	-84.56022	615.69611	-6.73695	708.33875	-76.10115	-91.78992	444.62839	-81.86519	60.59443	451.09308	-88.62472	-58.56413	359.97754	797.49579	92.14611	359.18741	793.58569	
2	0.010	-250.02600	29.04410	23.94856	222.24529	29.05358	11.49992	-222.46022	-81.80711	628.34473	239.98183	-84.64982	615.38336	-6.49548	714.26208	-75.26617	-91.62782	450.53336	-81.58012	60.73677	456.61652	-87.93013	-58.39153	363.85178	797.27356	92.74148	363.49576	794.02686	
3	0.020	-249.92957	28.86361	23.65753	222.29614	29.03228	11.20935	-222.42953	-81.99471	628.10144	239.94661	-84.71377	615.21045	-6.78706	720.21881	-74.51225	-91.38808	456.40942	-81.33492	60.85736	462.71820	-87.75520	-58.63390	367.61407	797.17578	92.30134	367.08121	793.53424	
4	0.030	-249.90901	28.69557	23.30799	222.35468	29.02483	10.95081	-222.01289	-82.93752	628.47662	239.98392	-84.86791	615.00537	-6.79040	726.05359	-73.77570	-91.44855	462.22266	-81.20055	60.58076	468.84973	-88.17815	-58.55679	371.60544	797.10236	92.75871	371.15106	793.84247	
5	0.040	-249.98758	28.60288	23.12765	222.88216	28.50478	10.84177	-222.41960	-82.50423	627.92371	240.00014	-84.91900	614.87921	-6.68058	731.90625	-73.03570	-91.42497	468.11288	-81.15748	60.22803	475.24738	-87.75185	-58.69469	375.49088	796.94147	93.36872	375.01343	794.57526	
6	0.050	-250.02032	28.55478	22.96154	223.55484	28.62152	10.04799	-222.51189	-82.31416	627.61810	239.51175	-85.53995	614.41144	-6.64917	737.88763	-72.21883	-91.44241	474.23767	-81.25520	61.15220	480.39694	-87.24362	-58.43837	379.24844	797.02179	92.52731	378.81400	793.29919	
7	0.060	-250.08412	28.56415	22.79633	223.67455	28.51165	9.82314	-222.59743	-82.13460	627.29199	239.74017	-85.16539	614.57080	-6.51517	743.69006	-71.54625	-91.58076	480.09918	-81.03237	61.05005	486.33118	-87.16160	-58.45742	383.33856	797.07428	92.45305	382.90659	793.17719	
8	0.070	-250.20879	28.71806	22.41968	223.16127	28.91900	10.18376	-222.60513	-81.96384	627.02155	239.84242	-84.96845	614.41150	-6.37112	749.56396	-70.91033	-91.47830	485.95459	-80.83411	60.94147	492.33957	-87.18745	-58.44343	387.35504	796.87701	92.66688	386.40866	793.52655	
9	0.080	-250.35782	28.62762	21.97669	223.21092	28.91727	9.78401	-222.68399	-81.92538	626.86163	239.90390	-84.99116	614.28253	-6.55576	755.27264	-70.15173	-91.30312	491.71677	-80.61455	60.75832	498.19168	-87.48736	-58.48046	390.95255	796.82135	92.92448	390.64413	793.58380	
10	0.090	-250.45216	28.51317	21.67013	223.27702	28.78474	9.52913	-222.78192	-81.91452	626.70343	239.82666	-85.05759	613.95764	-6.38142	760.84564	-69.55996	-91.25702	497.10699	-80.47576	60.88544	503.82956	-87.20789	-58.46130	394.76495	796.64075	92.51554	394.32114	793.62994	
11	0.100	-250.44165	28.52855	21.29505	223.34396	28.63479	9.07294	-222.87666	-81.86311	626.47034	239.85005	-85.08399	613.71539	-6.35479	766.42596	-68.88039	-91.22444	502.73248	-80.48948	60.80737	509.37634	-87.15808	-58.55232	398.49023	796.51111	93.46314	398.27258	794.37958	
12	0.110	-250.43987	28.61129	21.20681	223.19113	28.46085	8.52969	-222.92281	-81.75661	626.24908	239.82678	-85.04505	613.54932	-6.40346	771.85059	-68.25188	-91.23565	508.06772	-80.36276	60.91724	514.89606	-87.05489	-58.38969	402.09140	796.57318	92.75884	400.95422	792.02417	
13	0.120	-250.50452	28.55619	21.08016	223.20999	28.45438	8.27304	-222.89986	-81.70429	626.05804	239.88803	-85.03529	613.41650	-6.44578	777.12885	-67.58560	-91.33333	513.77856	-80.38870	60.86662	520.19733	-87.07245	-58.61974	405.57193	796.19141	93.81860	405.62430	794.09045	
14	0.130	-250.54904	28.29551	20.85350	224.89957	30.28037	9.09243	-222.98993	-81.76584	625.88782	239.84935	-85.10167	613.26495	-6.31840	782.17694	-66.98067	-91.47383	518.72729	-80.33559	61.15063	524.95374	-86.39890	-58.52089	409.02762	796.14703	92.62259	408.32831	792.81134	
15	0.140	-250.59572	28.12202	20.62087	224.89748	30.40795	8.78785	-222.99387	-81.98314	625.65674	239.81148	-85.23050	613.01947	-6.44054	787.27795	-66.40294	-91.52549	523.74896	-80.24120	60.86001	529.97479	-86.40898	-58.67715	412.24048	795.83917	92.76259	411.56619	792.91339	
