PathFileType	4	(X/Y/Z)	D:\TRACE\spotREDO_2-26-24\spot_Both_Motion_1_3-v60.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      7000	9	mm	100.00	1	      7000
Frame#	Time	front left toe			Front right toe			aft left toe			aft right toe			Arm			FL body			FR body			AL Body			AR Body			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	

1	0.000	-226.92503	16.93953	-137.73544	227.57895	23.36083	-197.71559	-296.65591	21.25049	387.76868	211.61313	28.93190	400.37167	-17.78564	935.60547	-436.26971	-122.57300	631.86963	-284.39630	33.36951	634.51520	-282.41785	-141.70683	598.62183	598.91290	-1.02865	601.62469	602.85059	
2	0.010	-226.93491	17.01180	-137.82249	227.64850	23.34179	-197.68019	-296.63196	21.30525	387.80368	211.66624	28.88889	400.36353	-17.45559	936.03717	-436.45206	-121.68389	632.25348	-284.54880	34.86362	634.80756	-282.29190	-140.98848	598.95361	598.72772	0.44916	601.82220	603.00781	
3	0.020	-226.91124	17.03839	-137.88832	227.51141	23.35885	-197.83452	-296.51578	21.27039	387.66452	211.66806	28.81030	400.33875	-17.33043	936.83270	-436.93951	-120.97904	632.62793	-284.50967	35.66360	635.27307	-282.39178	-140.20189	599.00916	598.40613	0.75078	602.17480	603.06470	
4	0.030	-226.93613	17.19306	-138.30064	227.65738	23.27780	-197.78618	-296.46835	21.23204	387.62393	211.68105	28.78012	400.29437	-17.77306	937.87970	-437.69424	-119.73708	633.03284	-284.63651	36.26225	635.98010	-282.74554	-139.86093	599.17365	598.29730	0.86215	602.40881	602.95258	
5	0.040	-226.86772	17.22581	-138.32973	227.58549	23.28535	-197.83276	-296.42288	21.27662	387.58841	211.70779	28.71726	400.29901	-17.74899	938.19397	-437.92468	-119.13369	633.32141	-284.75320	37.29268	636.26758	-282.55075	-139.59453	599.71118	598.47882	1.33699	602.75311	602.88232	
6	0.050	-226.81790	17.40695	-138.08395	227.78239	23.17737	-197.71046	-296.37646	21.43145	387.44714	211.75368	28.65515	400.29401	-17.69128	938.86432	-438.22714	-118.23383	633.56036	-284.80524	38.09145	636.73608	-282.70642	-139.06108	599.81976	598.42261	2.08057	603.05762	602.84308	
7	0.060	-226.75751	17.42094	-138.09825	227.64584	23.17604	-197.80101	-296.33350	21.46962	387.29675	211.79549	28.55995	400.36105	-17.80189	939.81165	-438.52133	-117.47724	633.94226	-284.83914	39.02813	636.71051	-282.13324	-138.43697	600.07843	598.37341	2.60406	603.32635	602.67682	
8	0.070	-226.72163	17.46495	-138.08429	227.86426	23.05829	-197.68747	-296.18445	21.48337	387.24155	211.88722	28.46148	400.37051	-17.89676	940.33234	-438.80716	-116.41158	634.16309	-285.01047	39.69401	637.15607	-282.00519	-137.89252	600.11511	598.26569	3.15523	603.48810	602.53271	
9	0.080	-226.69838	17.45152	-138.10173	227.90094	23.07553	-197.70743	-296.20755	21.44701	387.24802	211.97481	28.31649	400.42719	-17.92138	940.92651	-439.57129	-115.93425	634.47150	-284.97919	40.67822	637.65668	-282.01318	-137.44160	600.05774	598.11365	3.65905	603.62341	602.54974	
10	0.090	-226.68056	17.46785	-138.10854	227.87524	23.01808	-197.70766	-296.20154	21.48043	387.20883	211.99080	28.20573	400.42642	-17.83014	941.61615	-439.90570	-115.17431	634.79492	-285.12607	41.08375	637.82251	-282.09024	-137.12643	600.09766	598.00757	3.27899	603.89362	602.41345	
11	0.100	-226.67155	17.50019	-138.09961	227.94943	22.98524	-197.67334	-296.14645	21.60167	387.17850	212.02806	28.16086	400.47388	-17.70571	942.27618	-440.23087	-114.43348	634.85748	-285.17569	41.96743	638.16302	-282.22388	-136.56010	600.27228	597.98401	4.02170	604.18652	602.24811	
12	0.110	-226.71642	17.57870	-138.10075	227.87106	22.96159	-197.76462	-296.13956	21.73583	387.14178	212.03595	28.13918	400.47253	-17.57971	942.75787	-440.48276	-113.58037	634.96790	-285.07074	42.81548	638.54791	-281.99036	-136.08141	600.40900	597.88098	5.35981	604.26141	602.35980	
13	0.120	-226.66815	17.58705	-138.10094	228.04933	22.88944	-197.67325	-296.11758	21.78614	387.10474	212.10663	28.09293	400.54642	-17.27132	943.30994	-440.91663	-112.89545	635.18726	-285.27933	43.50226	638.81018	-281.99313	-135.45628	600.57343	597.78040	5.61959	604.48016	602.47485	
14	0.130	-226.60326	17.56398	-138.12389	228.09154	22.86566	-197.68134	-296.05811	21.68873	387.05603	212.14314	28.03362	400.56680	-17.32492	943.74835	-441.51874	-112.21342	635.36182	-285.23264	44.23944	639.10028	-282.14368	-134.91779	600.59546	597.75800	5.93028	604.57959	602.42371	
15	0.140	-226.59029	17.57169	-138.12662	228.19348	22.73259	-197.70189	-296.01419	21.67200	387.04968	212.26334	27.99200	400.56012	-17.53796	944.24835	-442.11285	-111.32221	635.41431	-285.23792	44.72344	639.21942	-282.18521	-134.23155	600.46558	597.56665	6.52658	604.73688	602.45074	
