PathFileType	4	(X/Y/Z)	D:\TRACE\spotREDO_2-26-24\spot_Both_Motion_3_8-platform.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      7000	5	mm	100.00	1	      7000
Frame#	Time	Left_Front			Right_Front			Left_Aft			Right_Aft			Post			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	

1	0.000	-736.45428	99.68462	-539.18378	678.45819	94.10754	-455.03500	-807.38123	-108.01942	661.93683	762.37421	-101.89482	666.63593	-43.17213	789.20880	-827.73834	
2	0.010	-736.44183	99.66267	-539.17072	678.45087	94.06173	-455.04401	-807.38818	-108.01076	661.83179	762.39050	-101.90900	666.61578	-43.16607	789.13599	-827.65906	
3	0.020	-736.48419	99.69452	-539.16589	678.45502	94.09290	-455.05917	-807.39410	-107.93550	661.77673	762.50513	-101.87951	666.60986	-43.13966	789.14423	-827.60962	
4	0.030	-736.45746	99.66553	-539.15710	678.47809	94.08201	-455.05731	-807.37854	-107.94814	661.73395	762.49646	-101.84689	666.57678	-43.05908	789.06061	-827.55737	
5	0.040	-736.42310	99.60099	-539.16675	678.46057	94.09751	-455.02560	-807.26379	-108.04436	661.80542	762.51282	-101.87051	666.59363	-43.11573	789.04333	-827.54456	
6	0.050	-736.44263	99.58329	-539.16742	678.44385	94.07699	-455.08337	-807.26099	-108.01013	661.87646	762.53479	-101.90397	666.58392	-43.12358	789.06573	-827.55273	
7	0.060	-736.44556	99.63947	-539.19006	678.35797	94.17778	-455.04208	-807.22192	-108.12111	661.81494	762.49475	-101.85490	666.61871	-43.14149	789.09650	-827.59198	
8	0.070	-736.43304	99.66623	-539.17902	678.46368	94.07703	-455.05905	-807.27100	-108.12778	661.79980	762.51300	-101.88295	666.57062	-43.17363	789.09735	-827.64270	
9	0.080	-736.48224	99.75507	-539.20044	678.47443	94.08141	-455.03522	-807.26447	-108.03383	661.76660	762.38599	-101.90013	666.60211	-43.18185	789.16473	-827.74786	
10	0.090	-736.49072	99.71959	-539.14624	678.43817	94.07964	-455.04630	-807.25763	-108.15926	661.80286	762.32239	-101.89050	666.64172	-43.17244	789.20837	-827.77399	
11	0.100	-736.46515	99.69942	-539.15173	678.44879	94.11415	-455.00583	-807.27374	-108.13160	661.84009	762.53394	-101.90526	666.64362	-43.23107	789.20685	-827.81610	
12	0.110	-736.38855	99.62707	-539.16150	678.44116	94.08356	-455.04349	-807.21600	-108.11226	661.81635	762.48962	-101.92760	666.67023	-43.17925	789.19617	-827.78271	
13	0.120	-736.44293	99.67149	-539.14471	678.44489	94.07709	-455.04852	-807.21149	-108.04250	661.85193	762.53894	-101.89745	666.64813	-43.21768	789.13794	-827.69672	
14	0.130	-736.41553	99.59289	-539.16022	678.43958	94.16363	-455.04111	-807.21448	-108.08570	661.81549	762.52466	-101.88666	666.61719	-43.21801	789.11316	-827.66980	
15	0.140	-736.38727	99.57362	-539.16296	678.42194	94.15668	-455.06769	-807.23737	-108.03563	661.83801	762.48102	-101.88729	666.61133	-43.16361	789.07245	-827.59296	
16	0.150	-736.43414	99.65950	-539.18475	678.50024	94.06834	-455.03992	-807.23248	-108.07857	661.82495	762.50378	-101.80739	666.62463	-43.11800	789.09534	-827.58502	
17	0.160	-736.48596	99.64525	-539.17645	678.43884	94.08300	-455.07767	-807.22974	-108.08919	661.81598	762.48621	-101.88411	666.65833	-43.13412	789.08685	-827.56445	
18	0.170	-736.48730	99.72195	-539.21643	678.43707	94.05779	-455.07312	-807.26147	-108.07880	661.81409	762.32123	-101.89583	666.58728	-43.14040	789.07605	-827.56476	
19	0.180	-736.43225	99.65250	-539.17651	678.45001	94.09018	-455.04257	-807.22296	-108.13011	661.81671	762.45740	-101.88687	666.56604	-43.12894	789.11249	-827.57513	
20	0.190	-736.44824	99.68050	-539.14917	678.40033	94.24486	-454.95911	-807.23511	-108.14297	661.78864	762.55933	-101.95633	666.50433	-43.17754	789.14667	-827.64410	
21	0.200	-736.43604	99.75399	-539.15875	678.44574	94.11040	-455.01260	-807.22107	-108.13853	661.84491	762.50031	-101.95805	666.44312	-43.12558	789.15656	-827.67053	
22	0.210	-736.42749	99.65710	-539.14258	678.42468	94.14899	-455.00928	-807.19952	-107.96477	661.93982	762.43878	-101.72043	666.37549	-43.19121	789.18500	-827.67084	
23	0.220	-736.40167	99.72145	-539.14349	678.49792	94.05859	-455.03674	-807.12665	-107.87452	661.95984	762.41638	-101.89194	666.35461	-43.23352	789.12366	-827.66620	
24	0.230	-736.50916	99.64193	-539.16895	678.33423	94.22642	-454.99319	-807.19971	-107.89426	661.84692	762.29565	-101.85216	666.36340	-43.17498	789.10419	-827.63452	
25	0.240	-736.47272	99.71016	-539.18884	678.44727	94.12463	-455.04865	-807.28387	-108.09717	661.72595	762.37183	-101.85221	666.34534	-43.18584	789.06390	-827.62170	
26	0.250	-736.44495	99.70962	-539.17303	678.44586	94.07397	-455.08322	-807.08466	-108.47175	661.94745	762.55359	-101.95436	666.38037	-43.21818	789.13123	-827.68970	
27	0.260	-736.47144	99.72485	-539.19489	678.39569	94.18190	-455.07086	-807.23077	-108.10885	661.75677	762.54529	-101.94871	666.29413	-43.14340	789.10382	-827.60730	
28	0.270	-736.42767	99.69606	-539.14581	678.41162	94.07560	-455.06146	-807.17578	-108.28465	661.85706	762.45526	-101.78899	666.25848	-43.17562	789.13647	-827.75562	
29	0.280	-736.42847	99.69301	-539.16168	678.38501	94.08524	-455.08112	-807.06079	-108.16764	661.92029	762.47620	-101.93710	666.39905	-43.17047	789.14594	-827.72528	
30	0.290	-736.47809	99.80585	-539.17462	678.37634	94.17082	-455.02985	-807.07568	-108.38302	661.91974	762.49518	-101.90804	666.31567	-43.17123	789.16693	-827.68530	
31	0.300	-736.44281	99.70785	-539.15692	678.39453	94.18430	-455.06693	-807.13733	-108.39916	661.85730	762.39343	-101.84554	666.30981	-43.21306	789.18304	-827.70709	
32	0.310	-736.44196	99.73150	-539.17200	678.48822	94.07961	-455.05185	-807.13416	-108.25939	661.83038	762.55133	-102.04862	666.46509	-43.14572	789.10541	-827.60461	
33	0.320	-736.46912	99.65961	-539.15582	678.45337	94.03599	-455.06891	-807.18762	-108.34229	661.85565	762.34595	-101.87828	666.37762	-43.15339	789.07672	-827.58307	
34	0.330	-736.39691	99.63011	-539.13867	678.37415	94.17313	-455.07947	-807.15021	-108.21705	661.89624	762.49756	-101.89436	666.40063	-43.13089	789.05743	-827.55481	
