PathFileType	4	(X/Y/Z)	D:\TRACE\spotREDO_2-26-24\spot_baseline_3-platform.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      7000	5	mm	100.00	1	      7000
Frame#	Time	Left_Front			Right_Front			Left_Aft			Right_Aft			Post			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	

1	0.000	-696.85938	-3.91473	-575.68921	718.30219	4.94775	-490.70206	-768.18286	4.76531	643.55365	801.48615	11.35812	647.98169	4.40476	741.38965	-982.87604	
2	0.010	-696.87457	-3.88353	-575.69476	718.30280	5.00334	-490.75415	-768.17365	4.75926	643.55231	801.15576	11.00373	647.42725	4.49283	741.40973	-982.90588	
3	0.020	-696.90143	-3.86377	-575.67188	718.32751	4.96112	-490.69260	-768.17328	4.78289	643.52264	801.16290	11.29854	647.73248	4.47431	741.40302	-982.90375	
4	0.030	-696.89716	-3.88393	-575.67981	718.33234	4.93958	-490.71530	-768.14526	4.75816	643.56610	801.17694	10.98829	647.33630	4.49864	741.38074	-982.91779	
5	0.040	-696.88348	-3.91188	-575.68701	718.32550	4.92357	-490.66193	-768.16516	4.73907	643.56543	801.10425	10.97285	647.34570	4.43000	741.37421	-982.90326	
6	0.050	-696.88647	-3.88599	-575.68903	718.32568	4.90501	-490.69305	-768.18048	4.78207	643.57257	801.11169	11.25630	647.71466	4.47747	741.37933	-982.86743	
7	0.060	-696.87158	-3.85869	-575.67413	718.30737	4.92555	-490.68408	-768.18378	4.77981	643.56592	801.08722	11.25605	647.68976	4.50809	741.35986	-982.89526	
8	0.070	-696.86469	-3.88588	-575.69550	718.33771	4.93911	-490.70447	-768.15796	4.79055	643.55157	801.10693	11.28955	647.72803	4.47716	741.38104	-982.90656	
9	0.080	-696.88519	-3.89895	-575.67908	718.31323	4.96375	-490.67010	-768.19617	4.78393	643.54926	801.24542	11.36494	647.82532	4.44249	741.36981	-982.86761	
10	0.090	-696.91266	-3.88608	-575.68420	718.22394	5.10295	-490.84000	-768.16882	4.77069	643.52661	801.25012	11.19196	647.58826	4.45202	741.39899	-982.86865	
11	0.100	-696.90112	-3.91356	-575.67218	718.30109	4.91417	-490.70679	-768.17224	4.77203	643.54114	801.24512	11.14568	647.56525	4.49157	741.32996	-982.91779	
12	0.110	-696.84766	-3.91330	-575.70135	718.24194	5.08737	-490.76785	-768.15698	4.73415	643.53198	801.24774	11.37815	647.83124	4.53035	741.33771	-982.92676	
13	0.120	-696.87329	-3.89597	-575.67596	718.22375	5.08130	-490.74753	-768.14966	4.75745	643.58246	801.27649	11.12893	647.53229	4.49225	741.37854	-982.90363	
14	0.130	-696.85327	-3.89505	-575.69043	718.33167	4.92892	-490.68918	-768.13116	4.76611	643.57837	801.40277	11.14977	647.53815	4.51487	741.37518	-982.91333	
15	0.140	-696.90247	-3.86920	-575.67426	718.34668	4.92571	-490.70969	-768.17334	4.77236	643.55688	801.23114	11.35784	647.83246	4.45205	741.37720	-982.86957	
16	0.150	-696.88666	-3.92959	-575.64673	718.31335	4.90191	-490.73599	-768.15356	4.73349	643.53937	801.21722	11.33992	647.78973	4.43385	741.35065	-982.89905	
17	0.160	-696.91077	-3.88697	-575.70563	718.30566	4.93906	-490.71811	-768.18073	4.75615	643.55450	801.27124	11.14372	647.53430	4.41141	741.37469	-982.87463	
18	0.170	-696.85748	-3.94188	-575.70990	718.25079	5.10124	-490.83194	-768.16498	4.76250	643.55347	801.25189	11.38133	647.81128	4.48208	741.36713	-982.86603	
19	0.180	-696.93256	-3.85027	-575.67773	718.35699	4.94779	-490.68536	-768.15399	4.82998	643.58887	801.28821	11.28048	647.62500	4.46026	741.38995	-982.85175	
20	0.190	-696.85602	-3.87918	-575.67108	718.38293	4.93173	-490.64331	-768.17371	4.78079	643.55237	801.35437	11.12938	647.52130	4.48696	741.34583	-982.88721	
21	0.200	-696.87842	-3.91689	-575.67267	718.22162	5.08605	-490.77063	-768.17957	4.75327	643.55023	801.22437	11.08651	647.50977	4.46259	741.36090	-982.93091	
22	0.210	-696.89825	-3.90006	-575.66241	718.30963	4.90156	-490.67212	-768.16107	4.72868	643.54962	801.27844	11.07446	647.51190	4.44765	741.35120	-982.93390	
23	0.220	-696.90576	-3.88960	-575.67303	718.33923	4.93642	-490.66135	-768.15625	4.78080	643.56519	801.27734	11.16608	647.53839	4.43527	741.37164	-982.95233	
24	0.230	-696.88403	-3.88981	-575.69574	718.22437	5.06403	-490.74808	-768.15381	4.78658	643.54700	801.25684	11.40995	647.86151	4.45400	741.38080	-982.90192	
25	0.240	-696.88562	-3.89694	-575.67426	718.33795	4.93668	-490.65237	-768.19543	4.78448	643.57947	801.31165	11.08094	647.47168	4.46723	741.40729	-982.88123	
26	0.250	-696.87665	-3.89084	-575.68994	718.33490	4.93402	-490.66907	-768.16528	4.77542	643.55737	801.22601	11.06806	647.49768	4.44332	741.38208	-982.86627	
27	0.260	-696.82642	-3.96061	-575.70276	718.34247	4.88365	-490.67654	-768.15417	4.73957	643.55719	801.22882	11.32106	647.82312	4.50552	741.34607	-982.88544	
28	0.270	-696.91113	-3.88288	-575.65582	718.31976	4.86769	-490.69064	-768.18439	4.74385	643.53326	801.27521	11.11293	647.53516	4.45804	741.35712	-982.86920	
29	0.280	-696.88159	-3.91603	-575.69635	718.33868	4.89607	-490.68286	-768.15979	4.78349	643.58118	801.30975	11.14866	647.51569	4.52070	741.35077	-982.90198	
30	0.290	-696.89569	-3.85646	-575.65973	718.34314	4.91827	-490.65665	-768.14362	4.80250	643.57794	801.37091	11.22581	647.54865	4.43383	741.39117	-982.88080	
31	0.300	-696.85577	-3.91944	-575.66400	718.26068	5.10283	-490.72592	-768.17657	4.78251	643.52496	801.28516	11.10432	647.48389	4.47549	741.37018	-982.90912	
32	0.310	-696.90179	-3.88106	-575.65906	718.20947	5.07004	-490.79834	-768.16895	4.74983	643.57385	801.21301	11.06676	647.51990	4.44210	741.36053	-982.93768	
33	0.320	-696.89783	-3.90335	-575.69794	718.27039	5.07784	-490.75766	-768.16083	4.75343	643.54474	801.26636	11.12566	647.53241	4.47926	741.33356	-982.94537	
34	0.330	-696.89569	-3.89076	-575.66364	718.31012	4.90219	-490.67395	-768.16132	4.77116	643.53857	801.29364	11.15229	647.53503	4.46357	741.35950	-982.93994	
