PathFileType	4	(X/Y/Z)	D:\TRACE\spotREDO_2-26-24\spot_justArm_Motion_1_2-v60.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      7000	9	mm	100.00	1	      7000
Frame#	Time	front left toe			Front right toe			aft left toe			aft right toe			Arm			FL body			FR body			AL Body			AR Body			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	

1	0.000	-127.16910	21.01031	-183.87338	292.64319	22.60674	-72.77560	-250.06934	20.22429	387.19247	161.10524	25.12308	496.50488	121.00268	816.77954	-274.10983	34.64235	549.92096	-266.31558	187.22061	555.25848	-234.19400	-156.10011	563.20404	596.47931	-10.29127	564.25952	629.51727	
2	0.010	-127.18248	20.97572	-183.84689	292.61017	22.42412	-72.90340	-250.03912	20.13479	387.22656	161.14050	25.17013	496.52893	121.03960	818.87286	-274.61169	34.59880	549.60400	-266.42969	187.60413	554.93237	-234.16063	-155.92650	563.05585	596.46881	-10.21558	564.01007	629.17358	
3	0.020	-127.16916	20.97258	-183.83838	292.69339	22.63077	-72.70346	-250.05598	20.17118	387.23676	161.12877	25.16228	496.51843	121.04014	821.74744	-275.24869	34.78859	549.00903	-266.29199	187.35608	554.36292	-234.23416	-155.84984	562.91632	596.45911	-10.26161	563.69519	629.02631	
4	0.030	-127.16141	20.94898	-183.76891	292.57272	22.60199	-72.70908	-250.05211	20.21428	387.23233	161.12605	25.13351	496.51212	121.08762	825.18451	-275.88940	34.90144	548.35120	-266.21460	187.51944	553.63123	-234.27162	-155.77550	562.67029	596.43793	-10.42920	563.36420	629.02264	
5	0.040	-127.20374	20.98247	-183.78738	292.64612	22.63010	-72.62791	-250.04369	20.15843	387.24445	161.15469	25.17775	496.53705	121.51706	828.84052	-276.48306	34.92797	547.64294	-266.24921	187.50845	553.02856	-234.23761	-155.76727	562.33893	596.39465	-10.53609	563.12860	629.05408	
6	0.050	-127.16937	20.94613	-183.71336	292.58835	22.61569	-72.65294	-250.05545	20.12463	387.28903	161.20023	25.15922	496.58289	121.43475	832.90906	-277.56265	34.58168	547.35876	-266.47894	188.17322	552.60608	-234.03989	-155.79782	561.81720	596.44232	-10.18556	562.77698	629.28827	
7	0.060	-127.20763	20.94790	-183.69887	292.63458	22.66397	-72.58812	-250.06978	20.15649	387.27802	161.13214	25.10822	496.59314	121.58700	837.14319	-278.96597	34.83728	546.82635	-266.25070	187.70724	552.07153	-234.11484	-155.70952	561.33795	596.47302	-10.42046	562.27545	629.08887	
8	0.070	-127.21931	20.97211	-183.67029	292.61230	22.69123	-72.56348	-250.01987	20.13820	387.34070	161.15308	25.13795	496.61319	122.30981	841.31982	-280.37451	34.80079	546.44916	-266.15091	187.71297	551.48456	-234.07532	-155.71063	560.68549	596.60602	-10.24041	561.50568	629.13580	
9	0.080	-127.20630	20.97449	-183.64465	292.59262	22.68250	-72.55428	-250.02640	20.15831	387.40851	161.16368	25.09742	496.61948	122.45555	845.59314	-282.06885	34.73592	545.98962	-266.10211	187.96974	551.22626	-233.92033	-155.49057	560.08655	596.74829	-10.18885	560.99622	629.25110	
10	0.090	-127.21915	21.01866	-183.60155	292.55521	22.50905	-72.67110	-249.97775	20.11403	387.48962	161.15005	25.10174	496.66983	122.76815	849.74805	-284.20236	34.63932	545.61102	-265.95493	187.91191	550.80817	-233.78371	-155.53636	559.49121	596.82568	-9.98057	560.37854	629.66187	
11	0.100	-127.30455	21.02240	-183.55141	292.51617	22.53721	-72.67522	-249.97942	20.11392	387.55472	161.14534	25.11336	496.68118	123.36469	853.57172	-286.65976	34.63769	545.29968	-265.70190	187.96426	550.52203	-233.58403	-155.59354	558.67682	597.08704	-10.16512	559.53662	629.58734	
12	0.110	-127.31283	21.04850	-183.53555	292.57657	22.71353	-72.49265	-249.99364	20.06336	387.62476	161.14249	25.03756	496.75131	124.09023	857.35931	-289.18771	34.67352	545.07281	-265.33160	186.93388	550.57166	-233.66425	-155.52226	557.81732	597.18225	-10.03370	558.78363	630.01044	
13	0.120	-127.30634	21.05157	-183.50087	292.60400	22.70978	-72.46225	-249.96632	20.05758	387.76352	161.17349	25.09442	496.82040	124.84343	861.07251	-291.94962	34.73939	544.85217	-265.08813	186.98851	550.43536	-233.47411	-155.44858	557.30359	597.45294	-9.78181	558.17377	630.58051	
14	0.130	-127.28483	21.12429	-183.43536	292.63297	22.69648	-72.45290	-249.97063	20.03217	387.82999	161.17641	25.09193	496.85956	125.46434	865.09930	-294.83133	34.71417	544.77356	-264.95236	187.02257	550.32690	-233.26073	-155.47331	556.76715	597.88623	-10.15584	557.70050	630.56543	
15	0.140	-127.36061	21.16936	-183.41484	292.56485	22.73748	-72.46664	-249.92142	20.09792	387.85468	161.15811	25.17559	496.90747	126.04444	868.65900	-297.27646	34.59502	544.69543	-264.78912	187.00018	550.17993	-233.11952	-155.61830	556.43756	598.05219	-10.16624	557.30249	630.75653	
