PathFileType	4	(X/Y/Z)	D:\TRACE\spotREDO_2-26-24\spot_justArm_Motion_3_3-platform.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      6633	5	mm	100.00	1	      6633
Frame#	Time	Left_Front			Right_Front			Left_Aft			Right_Aft			Post			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	

1	0.000	-736.65051	99.43052	-539.14911	678.37500	93.93816	-455.30203	-806.85419	-107.78758	662.61865	762.89905	-101.92436	666.09283	-27.43435	789.03961	-828.24670	
2	0.010	-736.67969	99.43446	-539.15143	678.38678	94.00607	-455.32617	-806.77637	-107.73145	662.59857	762.94843	-101.89612	666.07959	-27.41273	789.02832	-828.24017	
3	0.020	-736.66107	99.37798	-539.14349	678.43256	93.93592	-455.28610	-806.77887	-107.74432	662.60223	762.95398	-101.88808	666.06445	-27.44423	788.99432	-828.22119	
4	0.030	-736.67181	99.43054	-539.15558	678.44025	93.97230	-455.27594	-806.75751	-107.76299	662.59192	762.92236	-101.90571	666.07684	-27.45334	789.04498	-828.24396	
5	0.040	-736.65192	99.39758	-539.16833	678.37347	94.01129	-455.29883	-806.76782	-107.78094	662.61670	762.84955	-101.87780	666.08740	-27.44851	789.02777	-828.23975	
6	0.050	-736.64789	99.39950	-539.15710	678.32874	93.96440	-455.30020	-806.80310	-107.77138	662.63330	762.93524	-101.90824	666.07251	-27.42210	789.05890	-828.25165	
7	0.060	-736.64844	99.38632	-539.15747	678.37286	93.98788	-455.28860	-806.79022	-107.76598	662.58362	762.90820	-101.89207	666.06903	-27.45721	789.05908	-828.23578	
8	0.070	-736.67456	99.40878	-539.14557	678.41058	93.93760	-455.29395	-806.78284	-107.76311	662.59753	762.83234	-101.89240	666.08252	-27.41048	789.01202	-828.25281	
9	0.080	-736.67767	99.42945	-539.16412	678.42847	93.95850	-455.27347	-806.79205	-107.76755	662.59174	762.92151	-101.88394	666.07874	-27.44572	789.06281	-828.26111	
10	0.090	-736.64636	99.40000	-539.15137	678.45135	93.98852	-455.24612	-806.76196	-107.77251	662.61761	762.96600	-101.92563	666.07458	-27.41936	789.03638	-828.26245	
11	0.100	-736.62079	99.38753	-539.15540	678.40375	94.00019	-455.27808	-806.76373	-107.80243	662.63477	762.93164	-101.88968	666.10858	-27.45800	789.04022	-828.25183	
12	0.110	-736.67200	99.40144	-539.16284	678.44098	93.94798	-455.31876	-806.79694	-107.84198	662.65875	762.89270	-101.90132	666.10535	-27.40765	789.05621	-828.24689	
13	0.120	-736.65332	99.36855	-539.15558	678.36267	93.98374	-455.31271	-806.82568	-107.80344	662.60809	762.92267	-101.91792	666.09357	-27.42412	789.01746	-828.24042	
14	0.130	-736.65826	99.40332	-539.15192	678.40155	94.04550	-455.27667	-806.83148	-107.79095	662.59229	762.84009	-101.92113	666.08148	-27.44309	789.04266	-828.24573	
15	0.140	-736.65277	99.38305	-539.13556	678.44080	93.99636	-455.25674	-806.81891	-107.79546	662.56244	762.87256	-101.89501	666.09003	-27.41712	789.00500	-828.24493	
16	0.150	-736.66534	99.41304	-539.17218	678.38647	94.01251	-455.29016	-806.77289	-107.79320	662.60980	762.93848	-101.89832	666.08344	-27.44553	789.03955	-828.24945	
17	0.160	-736.72314	99.44469	-539.12134	678.39594	94.00267	-455.30142	-806.79688	-107.79520	662.65112	762.93713	-101.93472	666.09381	-27.41335	789.06757	-828.23694	
18	0.170	-736.66376	99.40436	-539.13599	678.47327	93.95338	-455.26389	-806.81519	-107.83745	662.63312	762.96179	-101.90429	666.11560	-27.42951	789.02203	-828.22644	
19	0.180	-736.67249	99.41087	-539.13434	678.42670	93.97526	-455.28088	-806.77344	-107.81296	662.63550	762.92682	-101.90993	666.06934	-27.39815	789.04449	-828.23523	
20	0.190	-736.63452	99.38091	-539.15521	678.36786	94.04189	-455.28003	-806.82825	-107.78413	662.56500	762.95831	-101.89842	666.05914	-27.46795	789.05585	-828.22589	
21	0.200	-736.67249	99.39709	-539.13068	678.30011	94.10522	-455.26361	-806.76495	-107.72329	662.60962	762.92999	-101.89069	666.07629	-27.43416	789.06030	-828.23822	
22	0.210	-736.66162	99.43039	-539.15802	678.38354	93.98710	-455.24463	-806.77454	-107.72675	662.56549	762.90918	-101.87058	666.08240	-27.41427	789.03723	-828.24646	
23	0.220	-736.68127	99.44101	-539.16675	678.44543	93.96915	-455.27094	-806.77167	-107.77779	662.60333	762.92255	-101.90685	666.06952	-27.40716	789.01392	-828.25665	
24	0.230	-736.61481	99.36343	-539.13855	678.40948	93.97995	-455.28970	-806.76019	-107.76999	662.60400	762.90424	-101.87666	666.08917	-27.43460	789.04120	-828.25934	
25	0.240	-736.61127	99.38972	-539.13531	678.40723	94.07706	-455.25574	-806.79407	-107.74339	662.59802	762.95959	-101.89150	666.06348	-27.43418	789.05157	-828.25940	
26	0.250	-736.55322	99.37048	-539.15222	678.49548	93.95934	-455.26862	-806.74359	-107.76795	662.60144	762.94891	-101.86913	666.07013	-27.45035	789.05310	-828.26373	
27	0.260	-736.55524	99.36733	-539.12958	678.41461	93.99159	-455.32562	-806.80505	-107.76341	662.58893	762.93604	-101.88837	666.08984	-27.42662	789.06226	-828.26349	
28	0.270	-736.60718	99.38703	-539.15308	678.41241	93.95151	-455.25681	-806.76282	-107.81265	662.64734	762.90186	-101.90800	666.10040	-27.44672	789.07086	-828.24408	
29	0.280	-736.57208	99.38609	-539.13019	678.35120	94.02000	-455.28641	-806.75024	-107.79047	662.66754	762.88507	-101.92471	666.08746	-27.43618	789.03906	-828.23669	
30	0.290	-736.55365	99.36825	-539.13721	678.39441	93.99361	-455.27173	-806.79700	-107.72639	662.63647	762.88025	-101.91586	666.08545	-27.40688	788.99213	-828.25128	
31	0.300	-736.54730	99.36029	-539.18420	678.36578	94.02457	-455.31332	-806.77277	-107.78130	662.65021	762.87970	-101.89153	666.10291	-27.40493	789.01917	-828.23688	
32	0.310	-736.50574	99.35710	-539.15729	678.47729	93.95989	-455.24991	-806.76343	-107.76801	662.62146	762.90607	-101.90882	666.11768	-27.42540	789.00708	-828.23151	
33	0.320	-736.49994	99.34974	-539.17871	678.43396	94.02695	-455.27100	-806.77173	-107.79929	662.70233	762.89868	-101.89408	666.12665	-27.43569	789.05981	-828.23547	
34	0.330	-736.52698	99.36858	-539.15540	678.39813	93.97958	-455.27600	-806.79877	-107.82551	662.68292	762.86151	-101.92085	666.10443	-27.45023	789.03864	-828.23022	
