PathFileType	4	(X/Y/Z)	D:\TRACE\spotREDO_2-26-24\spot_justBody_Motion_2_2-v60.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      5046	9	mm	100.00	1	      5046
Frame#	Time	front left toe			Front right toe			aft left toe			aft right toe			Arm			FL body			FR body			AL Body			AR Body			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	

1	0.000	-272.10773	24.72737	-170.12659	220.23520	26.14187	-213.60097	-225.50008	26.30741	421.23526	275.07727	29.23898	385.78265	-30.68833	611.15381	-356.95190	-110.62961	353.86469	-306.42578	45.32803	357.51965	-320.75333	-35.98388	431.41678	570.72241	111.39266	431.43835	558.83307	
2	0.010	-272.10886	24.90844	-170.28886	220.45064	26.24355	-213.51859	-225.78632	26.53032	421.25955	275.01471	29.68045	385.68600	-30.43252	613.91974	-356.04251	-110.11576	356.71082	-306.10562	45.87268	360.29706	-320.49530	-37.48973	434.01059	571.43530	110.68080	433.53040	559.69678	
3	0.020	-271.94037	25.00440	-170.51151	220.80580	26.19998	-213.66298	-225.92542	26.44050	421.25610	274.64130	29.76712	385.61243	-30.28111	616.63531	-355.54501	-109.35393	359.48242	-305.78796	46.79567	363.13138	-319.95349	-38.24385	436.04599	571.95563	109.95070	435.79080	560.52509	
4	0.030	-271.88187	24.95208	-170.93362	221.04971	25.87287	-213.73354	-226.27316	26.12703	421.02676	274.77869	29.78625	385.67133	-29.15413	619.74707	-355.21405	-108.43045	362.16022	-305.63937	47.91683	366.00192	-319.11057	-39.58249	438.16907	572.24817	108.68521	437.89658	561.15472	
5	0.040	-271.87888	24.89742	-171.34636	221.16414	25.44793	-213.66356	-225.31052	24.88016	420.92041	274.61798	29.60418	385.69083	-28.06448	622.41602	-354.29529	-107.51107	365.01642	-305.77588	48.55291	368.70541	-318.85690	-40.69143	440.10022	572.70154	107.65358	439.86679	561.87653	
6	0.050	-271.84290	25.03559	-171.52368	221.50087	25.25316	-213.55348	-225.69043	24.96257	420.59421	274.30472	29.54006	385.66214	-26.62245	625.25098	-353.84866	-106.61945	367.95187	-305.62085	49.69167	371.51324	-318.35022	-42.09651	441.85553	573.02820	106.40431	441.63736	562.54834	
7	0.060	-271.66382	24.91210	-171.79277	221.81563	25.19463	-213.38272	-225.97763	25.02557	420.25858	274.22998	29.73810	385.75198	-25.61512	628.09412	-353.59445	-105.69698	370.69611	-305.50443	50.70728	374.36252	-317.96790	-43.27758	443.64810	573.34088	105.31570	443.36484	563.16553	
8	0.070	-271.47675	24.80269	-171.94870	221.96062	25.06635	-213.28732	-226.10538	24.82860	420.18423	274.08353	29.75793	385.80847	-24.36869	630.66327	-353.01508	-104.72762	373.22806	-305.47800	51.70516	376.81354	-317.59576	-44.77108	445.24561	573.46283	103.91380	445.10623	563.67999	
9	0.080	-271.47119	24.71345	-172.12079	222.03160	24.97232	-213.23470	-226.18365	24.59346	420.06262	274.07562	29.82688	385.89203	-23.05286	633.26166	-352.47925	-103.98058	375.75403	-305.49408	52.47881	379.51364	-316.98553	-45.78497	446.88828	573.75739	102.85900	446.74353	564.40314	
10	0.090	-271.37103	24.65513	-172.35030	222.16759	24.85493	-213.18442	-226.25891	24.19611	419.79773	274.03107	29.79657	385.89044	-22.35547	635.96106	-352.07944	-103.09524	378.24454	-305.50906	53.34024	382.09753	-316.74783	-46.99897	448.39920	573.82190	101.92090	448.39429	564.82385	
11	0.100	-271.35950	24.67449	-172.59081	222.21591	24.67800	-213.07500	-226.42703	24.19461	419.62354	273.87378	29.68257	385.87650	-21.72588	638.43658	-351.74847	-102.37108	380.97632	-305.50006	54.04204	384.56918	-316.56537	-48.55599	450.42664	573.93726	100.89640	450.11368	565.33044	
12	0.110	-271.35104	24.71397	-172.79698	222.40169	24.62886	-213.09772	-226.47890	24.21115	419.58139	273.89771	29.62302	385.83774	-20.96184	641.45477	-351.29233	-101.64459	383.79437	-305.65204	54.72775	387.57193	-316.45807	-49.50164	452.12775	573.99078	100.17480	451.86276	565.75385	
13	0.120	-271.32993	24.70724	-173.00011	222.59190	24.54277	-213.19446	-226.52299	24.11792	419.53857	274.01709	29.73902	385.81387	-20.37973	643.99341	-350.75589	-101.06457	386.34225	-305.40710	55.51531	390.26010	-316.23825	-51.08522	453.92545	574.13641	99.40868	453.64639	566.01874	
14	0.130	-271.47205	24.63135	-173.27068	222.65422	24.37631	-213.33710	-226.38300	23.97017	419.53278	273.99219	29.72475	385.78751	-19.84817	646.75934	-350.46243	-100.49097	388.79953	-305.28299	55.09662	393.14627	-316.18341	-51.68489	455.37125	574.28857	98.65310	455.43369	566.32727	
15	0.140	-271.56552	24.36132	-173.51546	222.78809	24.23635	-213.40587	-226.38089	23.84870	419.54944	273.96271	29.66932	385.73203	-19.35535	649.66064	-350.24707	-100.12376	391.63318	-305.41525	55.31081	395.92316	-316.07797	-52.06979	457.45020	574.47858	97.98933	457.41812	566.59082	
