PathFileType	4	(X/Y/Z)	D:\TRACE\spotREDO_2-26-24\spot_justBody_Motion_3_1-platform.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      7000	5	mm	100.00	1	      7000
Frame#	Time	Left_Front			Right_Front			Left_Aft			Right_Aft			Post			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	

1	0.000	-736.75165	99.47482	-539.16095	678.50604	94.13580	-455.26639	-806.98828	-108.15436	662.12915	763.49847	-101.39603	665.33032	-27.83382	789.30774	-828.13782	
2	0.010	-736.71057	99.49193	-539.14349	678.49622	94.12073	-455.31433	-806.95905	-108.21706	662.09131	763.61322	-101.49756	665.29016	-27.78213	789.24091	-828.20789	
3	0.020	-736.64880	99.47505	-539.14343	678.49780	94.15167	-455.25604	-806.95868	-108.36131	662.04279	763.64685	-101.53426	665.25903	-27.38791	789.16357	-828.36304	
4	0.030	-736.65479	99.46068	-539.13165	678.54889	94.12762	-455.27856	-806.94385	-108.28936	662.02271	763.63831	-101.52231	665.27820	-27.27680	789.23132	-828.46942	
5	0.040	-736.65454	99.46505	-539.13110	678.50439	94.13824	-455.30106	-806.93341	-108.22082	662.10089	763.58325	-101.49681	665.29663	-27.32100	789.27490	-828.46033	
6	0.050	-736.71039	99.44606	-539.15192	678.50903	94.11513	-455.30600	-806.97870	-108.21768	662.07001	763.53705	-101.44823	665.29620	-27.40743	789.26044	-828.31799	
7	0.060	-736.70770	99.45488	-539.16614	678.51239	94.07811	-455.28784	-806.98914	-108.19987	662.10809	763.54834	-101.40537	665.30341	-27.31884	789.18274	-828.26898	
8	0.070	-736.67377	99.44754	-539.18408	678.53998	94.10070	-455.27197	-806.93677	-108.13779	662.12543	763.53845	-101.42189	665.27130	-27.25017	789.07800	-828.22205	
9	0.080	-736.69855	99.48296	-539.16418	678.54230	94.09981	-455.25647	-806.90723	-108.21459	662.04779	763.57037	-101.39629	665.31647	-27.21877	789.06940	-828.18445	
10	0.090	-736.69055	99.43300	-539.16748	678.49976	94.09826	-455.36523	-806.90918	-108.16084	662.07404	763.52252	-101.40992	665.28644	-27.22294	789.14734	-828.16907	
11	0.100	-736.73969	99.46107	-539.17072	678.54504	94.08339	-455.30551	-806.96057	-108.16722	662.11078	763.55621	-101.44310	665.32916	-27.20323	789.12164	-828.21289	
12	0.110	-736.70636	99.51440	-539.16321	678.55176	94.12499	-455.23514	-806.98773	-108.20472	662.11755	763.56903	-101.46237	665.27710	-27.29919	789.20685	-828.20618	
13	0.120	-736.73694	99.56310	-539.13269	678.53809	94.12334	-455.23862	-806.94641	-108.25961	662.12683	763.57996	-101.45550	665.29260	-27.04992	789.19818	-828.28589	
14	0.130	-736.68585	99.53183	-539.13501	678.53876	94.13288	-455.25189	-806.95313	-108.21898	662.17010	763.62189	-101.45425	665.32788	-26.70197	789.09735	-828.40277	
15	0.140	-736.71875	99.55616	-539.16113	678.55402	94.09882	-455.23944	-806.96014	-108.16764	662.09698	763.60504	-101.47079	665.30475	-26.49003	789.04364	-828.47748	
16	0.150	-736.70978	99.49591	-539.14728	678.58081	94.12943	-455.22046	-806.95526	-108.18410	662.12042	763.56586	-101.47880	665.29382	-25.96931	788.97058	-828.64935	
17	0.160	-736.71069	99.47020	-539.14423	678.50293	94.12638	-455.26990	-806.94922	-108.18518	662.06982	763.57941	-101.34415	665.32684	-27.63901	789.37201	-828.18268	
18	0.170	-736.71503	99.46767	-539.16626	678.58057	94.12095	-455.21643	-806.94153	-108.15591	662.10333	763.56378	-101.41249	665.31708	-27.59443	789.29657	-828.20209	
19	0.180	-736.69849	99.46726	-539.15118	678.52527	94.14037	-455.23712	-806.96655	-108.17962	662.09009	763.53278	-101.38824	665.31635	-28.66764	789.51074	-827.89868	
20	0.190	-736.70923	99.42718	-539.15540	678.54675	94.06503	-455.28763	-806.95636	-108.15748	662.09833	763.55475	-101.40538	665.30121	-28.42458	789.47192	-827.96600	
21	0.200	-736.71198	99.48261	-539.15680	678.52161	94.08858	-455.30322	-806.97260	-108.15524	662.12897	763.54517	-101.41554	665.29181	-28.43340	789.53802	-827.92487	
22	0.210	-736.71362	99.47995	-539.16107	678.55670	94.09974	-455.28275	-806.97736	-108.17477	662.10480	763.58435	-101.43912	665.29474	-28.46180	789.58899	-827.95166	
23	0.220	-736.67487	99.44404	-539.13831	678.49780	94.16308	-455.22113	-806.98956	-108.21594	662.12714	763.58411	-101.45619	665.31311	-28.45547	789.61017	-827.94983	
24	0.230	-736.66077	99.45390	-539.15765	678.53827	94.14272	-455.18314	-806.97009	-108.22438	662.12341	763.56512	-101.43507	665.33618	-28.45981	789.59418	-827.93347	
25	0.240	-736.67920	99.48339	-539.14661	678.51172	94.17477	-455.19461	-806.94550	-108.17710	662.09344	763.60767	-101.44064	665.33081	-27.59258	789.41675	-828.14514	
26	0.250	-736.68115	99.49078	-539.15350	678.54034	94.13976	-455.23303	-806.95142	-108.22083	662.10034	763.56659	-101.46595	665.29987	-27.64624	789.37476	-828.14386	
27	0.260	-736.73676	99.48958	-539.15381	678.54883	94.17226	-455.26498	-806.91327	-108.21374	662.06653	763.55780	-101.41708	665.30347	-27.62291	789.31982	-828.13678	
28	0.270	-736.67810	99.45006	-539.17419	678.52454	94.10664	-455.27417	-806.96930	-108.20518	662.09833	763.55640	-101.44923	665.30457	-27.57053	789.28998	-828.13715	
29	0.280	-736.69531	99.47065	-539.12427	678.51154	94.06588	-455.33029	-806.92072	-108.20355	662.09595	763.59161	-101.45262	665.31677	-26.45217	788.92731	-828.45361	
30	0.290	-736.67389	99.39595	-539.13739	678.52545	94.06675	-455.26285	-806.95782	-108.24590	662.11230	763.61914	-101.43736	665.31683	-26.38463	788.97278	-828.10626	
31	0.300	-736.71045	99.45515	-539.15863	678.51569	94.06320	-455.32895	-806.95282	-108.17557	662.07806	763.52124	-101.41179	665.33392	-26.67865	788.94452	-828.42920	
32	0.310	-736.71863	99.46098	-539.16351	678.53430	94.12297	-455.25275	-806.97754	-108.10471	662.02917	763.56952	-101.47589	665.29852	-26.99141	789.10797	-828.38940	
33	0.320	-736.68561	99.44940	-539.14471	678.56830	94.09494	-455.25003	-806.98779	-108.16222	662.00958	763.59546	-101.46587	665.33289	-27.07154	789.21918	-828.38947	
34	0.330	-736.71130	99.51707	-539.14539	678.53015	94.13250	-455.26169	-807.05298	-108.13056	662.01855	763.58630	-101.45933	665.32086	-27.10978	789.22632	-828.36737	
