PathFileType	4	(X/Y/Z)	D:\TRACE\v60_Jaco2_6-2-23\BothDRS_Motion1_5-platform.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      6863	5	mm	100.00	1	      6863
Frame#	Time	Left_Front			Right_Front			Left_Aft			Right_Aft			Post			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	

1	0.000	-800.59454	8.72591	-639.00110	769.61896	10.02048	-644.12982	-708.20709	7.12143	496.19525	733.37152	7.17316	505.91083	-14.20166	1307.69666	-962.41626	
2	0.010	-800.60828	8.71431	-638.97308	769.51788	9.99478	-644.15558	-708.64221	7.23688	495.93417	733.29907	7.17093	505.94635	-14.27280	1307.72083	-962.39478	
3	0.020	-800.59546	8.67853	-638.96100	769.48511	10.02279	-644.16852	-708.69312	7.31561	495.92484	733.30286	7.17099	505.92334	-14.19052	1307.71667	-962.42163	
4	0.030	-800.62860	8.70151	-638.94885	769.54871	9.99156	-644.09998	-708.70703	7.28338	495.94290	733.26465	7.14922	505.93954	-14.30517	1307.68726	-962.41895	
5	0.040	-800.58838	8.61358	-639.01514	769.55292	9.99949	-644.13733	-708.67578	7.20054	495.95819	733.28680	7.12450	505.93237	-14.24147	1307.72668	-962.43481	
6	0.050	-800.61304	8.72667	-638.96765	769.57404	9.98998	-644.11078	-708.63055	7.20988	495.90872	733.30597	7.14108	505.90717	-14.29340	1307.73145	-962.40991	
7	0.060	-800.57587	8.68000	-638.99237	769.55176	9.98958	-644.16364	-708.68884	7.32126	495.95306	733.32251	7.12867	505.91815	-14.19456	1307.71948	-962.42639	
8	0.070	-800.60419	8.70852	-638.96271	769.46405	10.04071	-644.14789	-708.62524	7.24466	495.90353	733.33002	7.12395	505.92532	-14.24679	1307.69836	-962.41687	
9	0.080	-800.61993	8.63520	-638.90918	769.52313	9.98041	-644.17877	-708.64154	7.22862	495.97165	733.28644	7.11649	505.92984	-14.22565	1307.66797	-962.41437	
10	0.090	-800.62042	8.69003	-638.93298	769.57434	9.99081	-644.11597	-708.65320	7.20867	495.94214	733.34802	7.12492	505.91846	-14.27693	1307.65771	-962.44623	
11	0.100	-800.59967	8.63047	-638.94574	769.40399	10.00844	-644.20374	-708.63464	7.23108	495.96262	733.29956	7.12727	505.92648	-14.22547	1307.67993	-962.40912	
12	0.110	-800.60071	8.67675	-639.01282	769.56781	10.02069	-644.13983	-708.71478	7.32564	495.96011	733.32214	7.13629	505.91772	-14.22110	1307.74133	-962.38257	
13	0.120	-800.61285	8.66391	-638.96130	769.54443	9.97950	-644.17957	-708.66479	7.24001	495.93582	733.29175	7.13746	505.91602	-14.29986	1307.67676	-962.39844	
14	0.130	-800.63379	8.66928	-638.98132	769.54657	9.98212	-644.14600	-708.65942	7.20614	495.91849	733.28680	7.14370	505.94464	-14.20464	1307.66235	-962.43884	
15	0.140	-800.66101	8.66406	-638.95740	769.57178	9.98374	-644.12909	-708.66669	7.18594	495.97180	733.25079	7.11846	505.96094	-14.24044	1307.68738	-962.42883	
16	0.150	-800.65088	8.62996	-638.93597	769.55768	9.99371	-644.14313	-708.61163	7.20975	495.96112	733.26349	7.11855	505.94284	-14.22047	1307.70239	-962.41321	
17	0.160	-800.60443	8.67341	-638.98938	769.55658	9.98814	-644.17896	-708.65399	7.23407	495.94617	733.34436	7.13614	505.92477	-14.21866	1307.71924	-962.41382	
18	0.170	-800.62195	8.76972	-638.99060	769.45929	10.02360	-644.15289	-708.66858	7.29150	495.90344	733.32959	7.16585	505.93314	-14.17653	1307.71802	-962.39960	
19	0.180	-800.58655	8.70427	-638.98273	769.54755	9.97959	-644.18146	-708.67950	7.34496	495.99667	733.28625	7.16161	505.94675	-14.21006	1307.74207	-962.46033	
20	0.190	-800.61395	8.65576	-638.93793	769.56427	10.00746	-644.14380	-708.66827	7.25572	495.96896	733.25580	7.13563	505.94034	-14.19261	1307.71912	-962.44440	
21	0.200	-800.66974	8.71335	-638.88776	769.53973	10.00277	-644.15161	-708.68091	7.28694	495.95795	733.26880	7.10025	505.93723	-14.28837	1307.70874	-962.39056	
22	0.210	-800.59656	8.68790	-638.99359	769.58282	10.00275	-644.14789	-708.65765	7.23593	495.91626	733.30084	7.11452	505.92633	-14.21438	1307.71960	-962.43231	
23	0.220	-800.57397	8.68803	-638.98035	769.56042	10.00056	-644.15472	-708.63538	7.27934	495.95963	733.33966	7.13428	505.91296	-14.24762	1307.72644	-962.42084	
24	0.230	-800.57666	8.68506	-638.95239	769.63190	9.98853	-644.12286	-708.66449	7.31339	495.95071	733.32367	7.16731	505.94043	-14.21949	1307.72571	-962.44519	
25	0.240	-800.64038	8.67963	-638.92462	769.54797	9.98621	-644.09515	-708.64594	7.20182	495.94742	733.28705	7.13355	505.94180	-14.24541	1307.68005	-962.41064	
26	0.250	-800.63635	8.64680	-638.95209	769.54956	9.99651	-644.12939	-708.69641	7.24653	495.91776	733.26648	7.11479	505.94434	-14.23672	1307.65186	-962.39221	
27	0.260	-800.63043	8.62073	-638.91095	769.58289	9.98572	-644.09967	-708.69513	7.21472	495.94763	733.28467	7.11871	505.92126	-14.23802	1307.68469	-962.40039	
28	0.270	-800.63995	8.63519	-638.95276	769.60907	10.00616	-644.13910	-708.66290	7.26005	495.93762	733.27167	7.12775	505.92511	-14.20774	1307.72559	-962.41229	
29	0.280	-800.64343	8.72701	-638.99286	769.59644	10.00537	-644.10724	-708.64954	7.21977	495.94043	733.33472	7.13493	505.91830	-14.25753	1307.71545	-962.39905	
30	0.290	-800.62848	8.63655	-638.99365	769.58765	10.00635	-644.13324	-708.64429	7.24707	495.94632	733.29913	7.14373	505.94110	-14.19820	1307.67371	-962.41241	
31	0.300	-800.66882	8.70040	-638.87860	769.56335	9.99155	-644.10468	-708.62097	7.15137	495.95383	733.30219	7.14618	505.92307	-14.26302	1307.66553	-962.41003	
32	0.310	-800.61487	8.60944	-638.95581	769.48175	10.04744	-644.13733	-708.66357	7.23331	495.95261	733.25745	7.11236	505.92725	-14.23857	1307.67432	-962.43640	
33	0.320	-800.63580	8.73842	-638.94147	769.46136	9.98572	-644.19690	-708.70734	7.28758	495.93335	733.30780	7.13520	505.93616	-14.29496	1307.72864	-962.37341	
34	0.330	-800.57336	8.75567	-638.93805	769.60577	10.00618	-644.12946	-708.67871	7.35648	495.90088	733.32050	7.19229	505.92072	-14.22252	1307.74341	-962.39996	
