PathFileType	4	(X/Y/Z)	D:\TRACE\v60_Jaco2_6-2-23\BothDRS_Motion1_6-v60.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      7500	9	mm	100.00	1	      7500
Frame#	Time	front left toe			Front right toe			aft left toe			aft right toe			Arm			FL body			FR body			AL Body			AR Body			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	

1	0.000	-203.46178	19.63380	-221.74178	206.44597	18.53487	-291.22031	-111.82500	13.24467	370.63190	287.23572	19.17038	349.25391	6.71395	1209.89685	-289.38940	-95.89815	579.61292	-380.56644	62.89965	579.65704	-402.93820	32.43393	583.80048	556.91895	185.95480	577.55402	535.20551	
2	0.010	-203.53389	19.73448	-221.75307	206.45279	18.53956	-291.21542	-111.81907	13.25896	370.63641	287.25012	19.15922	349.22992	6.68135	1209.91760	-289.41882	-95.90945	579.66541	-380.58008	62.81843	579.70123	-402.99454	32.39732	583.81000	556.93671	185.87863	577.10388	534.38129	
3	0.020	-203.52814	19.71685	-221.78465	206.47386	18.53691	-291.21524	-111.68484	13.51276	370.78125	287.23022	19.21966	349.25693	6.65599	1209.92017	-289.38959	-95.94289	579.63037	-380.53003	62.97876	579.62964	-402.92847	32.42236	583.79211	556.93860	185.84122	577.10132	534.33539	
4	0.030	-203.49876	19.69484	-221.72701	206.47998	18.55090	-291.20050	-111.73356	13.56570	370.77417	287.22992	19.20127	349.24835	6.72450	1209.89319	-289.41000	-95.89183	579.64825	-380.58139	62.85843	579.68848	-402.96188	32.37251	583.80414	556.91138	185.87543	577.06244	534.35370	
5	0.040	-203.49263	19.72577	-221.80022	206.51523	18.56783	-291.18805	-111.69918	13.51537	370.74271	287.12369	19.13935	349.20282	6.66681	1209.90002	-289.41214	-95.90697	579.62756	-380.56158	62.86031	579.66742	-402.97534	32.37588	583.81274	556.92786	185.95258	577.54346	535.19763	
6	0.050	-203.48685	19.68031	-221.76907	206.49104	18.56271	-291.21994	-111.80799	13.26546	370.60541	287.25745	19.21749	349.25650	6.64382	1209.91016	-289.39130	-95.95635	579.65186	-380.60086	62.82449	579.67749	-402.98480	32.40535	583.81281	556.92859	185.85893	577.07373	534.34625	
7	0.060	-203.47887	19.66303	-221.73730	206.48207	18.55604	-291.20300	-111.81736	13.28323	370.62744	287.18826	19.17887	349.24704	6.69100	1209.90979	-289.40848	-95.87502	579.66034	-380.55881	62.82275	579.67029	-402.99231	32.45012	583.79913	556.93311	185.86276	577.09790	534.33081	
8	0.070	-203.45549	19.65193	-221.72350	206.50908	18.57041	-291.18301	-111.77246	13.17997	370.62634	287.21381	19.15705	349.24826	6.69665	1209.90784	-289.37787	-95.90534	579.66254	-380.58014	62.86651	579.67200	-402.98157	32.43151	583.79510	556.93304	185.89063	577.05078	534.39423	
9	0.080	-203.44397	19.62022	-221.71158	206.43515	18.54760	-291.21747	-111.67487	13.48140	370.79092	287.15204	19.13344	349.24481	6.67129	1209.88965	-289.40912	-95.91107	579.66382	-380.55493	62.86887	579.69604	-402.94012	32.44044	583.76923	556.90869	185.88187	577.04065	534.36609	
10	0.090	-203.43593	19.60822	-221.75659	206.50523	18.56328	-291.19376	-111.80127	13.17657	370.70032	287.07584	19.08013	349.23102	6.64505	1209.89270	-289.38879	-95.90260	579.67212	-380.56857	62.86101	579.65991	-402.89761	32.39431	583.77551	556.90369	185.96368	577.53033	535.20520	
11	0.100	-203.42245	19.59381	-221.70061	206.49071	18.55047	-291.22263	-111.65655	13.48440	370.80493	287.12296	19.13179	349.23285	6.68728	1209.88855	-289.38080	-95.93340	579.66266	-380.58661	62.87558	579.67767	-402.98706	32.46191	583.77734	556.94043	185.88974	577.04767	534.43768	
12	0.110	-203.44539	19.66677	-221.74576	206.45035	18.53401	-291.23801	-111.80748	13.19576	370.64996	287.14948	19.17024	349.24655	6.69432	1209.90955	-289.40488	-95.87000	579.68536	-380.52277	62.82271	579.67291	-402.99301	32.40414	583.78888	556.95807	185.87901	577.07813	534.38184	
13	0.120	-203.44699	19.59912	-221.70067	206.52299	18.57486	-291.17676	-111.64066	13.45235	370.79034	287.25122	19.15568	349.27701	6.69509	1209.89087	-289.38553	-95.86362	579.62549	-380.55939	62.84038	579.68945	-402.95108	32.44300	583.76331	556.93311	185.88176	577.05249	534.37921	
14	0.130	-203.45961	19.64819	-221.77328	206.46422	18.55426	-291.21536	-111.63758	13.45610	370.76855	287.15469	19.16711	349.26035	6.67316	1209.91089	-289.40604	-95.93621	579.68506	-380.53720	62.90263	579.68506	-402.91037	32.42285	583.77411	556.94421	185.95891	577.52924	535.19824	
15	0.140	-203.40817	19.57566	-221.72276	206.50671	18.55577	-291.19824	-111.76716	13.19678	370.63885	287.14621	19.14112	349.24615	6.65304	1209.88306	-289.40503	-95.88456	579.64740	-380.58514	62.96693	579.64282	-402.89862	32.41740	583.76361	556.92462	185.89529	577.02173	534.39764	
