PathFileType	4	(X/Y/Z)	D:\TRACE\v60_Jaco2_6-2-23\JustArmDRS_Motion1_1-platform.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      6844	5	mm	100.00	1	      6844
Frame#	Time	Left_Front			Right_Front			Left_Aft			Right_Aft			Post			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	

1	0.000	-800.55194	8.93398	-638.80835	769.39044	10.21664	-644.42419	-708.49200	7.81294	496.04303	733.49921	6.98265	505.84985	-14.09091	1308.18372	-961.93079	
2	0.010	-800.51471	8.92899	-638.89886	769.43799	10.17530	-644.39203	-708.45905	7.80790	496.06744	733.51630	6.95959	505.87305	-14.06343	1308.21851	-961.94647	
3	0.020	-800.51691	8.92071	-638.83142	769.45178	10.17508	-644.38043	-708.44348	7.81511	496.06018	733.59497	7.02613	505.84631	-14.06745	1308.24866	-961.89209	
4	0.030	-800.53442	8.98043	-638.81982	769.45837	10.19580	-644.36426	-708.45013	7.81424	496.03961	733.59686	7.00875	505.86490	-14.00788	1308.18494	-961.93317	
5	0.040	-800.53943	8.92399	-638.83759	769.42365	10.15296	-644.40582	-708.46362	7.77314	496.06686	733.55774	6.99789	505.83130	-14.06038	1308.17175	-961.94470	
6	0.050	-800.54541	8.94917	-638.84497	769.45709	10.15212	-644.40112	-708.47595	7.79289	496.07697	733.57147	7.02216	505.84122	-13.98814	1308.14709	-961.93439	
7	0.060	-800.52356	9.00336	-638.78766	769.50104	10.14996	-644.36670	-708.45160	7.78739	496.09381	733.58759	7.00543	505.83270	-13.97325	1308.18469	-961.93396	
8	0.070	-800.53278	8.92623	-638.86700	769.46234	10.15799	-644.37970	-708.51501	7.81750	496.04144	733.54865	7.00839	505.83804	-13.99175	1308.18884	-961.93677	
9	0.080	-800.55157	8.88465	-638.89203	769.36920	10.19921	-644.43311	-708.44556	7.80190	496.05493	733.54364	6.99710	505.84323	-14.01294	1308.14636	-961.87695	
10	0.090	-800.60565	8.89460	-638.76733	769.44434	10.13765	-644.37750	-708.47552	7.77910	496.08090	733.53094	6.99736	505.86032	-14.01290	1308.12415	-961.91260	
11	0.100	-800.58929	8.89386	-638.76691	769.40332	10.13989	-644.44812	-708.50604	7.79343	496.05887	733.53461	6.98080	505.84576	-14.05068	1308.13501	-961.88373	
12	0.110	-800.57983	8.85133	-638.80859	769.40186	10.16838	-644.40454	-708.46521	7.77648	496.07999	733.48596	6.96346	505.86292	-13.98300	1308.11804	-961.86194	
13	0.120	-800.55652	8.90520	-638.79138	769.35547	10.20243	-644.36731	-708.43921	7.76817	496.05972	733.54517	6.98821	505.87082	-13.96955	1308.14819	-961.90491	
14	0.130	-800.54492	8.92774	-638.83038	769.45679	10.13164	-644.38208	-708.42407	7.81120	496.06308	733.59021	7.00916	505.81320	-14.04796	1308.18665	-961.95831	
15	0.140	-800.50714	8.92280	-638.83716	769.47198	10.14325	-644.36212	-708.44775	7.79804	496.05688	733.58636	7.00529	505.85995	-13.97742	1308.15845	-961.92004	
16	0.150	-800.54132	8.90318	-638.81891	769.37567	10.20806	-644.38641	-708.46576	7.81600	496.05148	733.57184	7.00158	505.85019	-14.04168	1308.19128	-961.92535	
17	0.160	-800.55408	8.92055	-638.82483	769.47003	10.15930	-644.35455	-708.44836	7.79267	496.07288	733.53467	6.98669	505.84412	-13.99466	1308.12585	-961.93665	
18	0.170	-800.54388	8.86033	-638.86493	769.42584	10.15357	-644.39569	-708.46417	7.78552	496.04233	733.52209	6.97082	505.84866	-14.02306	1308.16125	-961.89154	
19	0.180	-800.53516	8.93472	-638.83655	769.43262	10.13838	-644.38501	-708.43408	7.77103	496.07956	733.54126	7.00117	505.86642	-14.04140	1308.16760	-961.89648	
20	0.190	-800.50793	8.92624	-638.85034	769.44263	10.10886	-644.38788	-708.46179	7.79345	496.04709	733.54596	6.98041	505.84442	-14.08146	1308.21667	-961.91992	
21	0.200	-800.53223	8.91312	-638.87903	769.45483	10.15896	-644.38739	-708.48236	7.81475	496.03714	733.54999	6.99971	505.85278	-14.03096	1308.19727	-961.89691	
22	0.210	-800.51074	8.89354	-638.87854	769.47638	10.17280	-644.36725	-708.48627	7.82537	496.05283	733.60034	6.97944	505.84863	-13.98507	1308.13403	-961.94019	
23	0.220	-800.51691	8.95474	-638.83087	769.43512	10.13821	-644.39105	-708.44434	7.79583	496.06665	733.58002	6.98074	505.85086	-14.00262	1308.15405	-961.94312	
24	0.230	-800.55054	8.90845	-638.83826	769.32965	10.12276	-644.44269	-708.48590	7.78939	496.07602	733.52612	6.98825	505.84351	-14.04202	1308.14148	-961.91058	
25	0.240	-800.53949	8.87765	-638.87720	769.34808	10.14722	-644.40332	-708.47382	7.82632	496.04752	733.53851	6.94664	505.84439	-14.00947	1308.14905	-961.93530	
26	0.250	-800.52222	8.92621	-638.81525	769.47211	10.18992	-644.35413	-708.49103	7.79177	496.04263	733.50690	6.97999	505.84668	-14.06333	1308.16687	-961.96594	
27	0.260	-800.55048	8.92274	-638.78973	769.35358	10.17766	-644.42249	-708.44904	7.81415	496.04459	733.58081	6.98734	505.83499	-13.96095	1308.15625	-961.96027	
28	0.270	-800.55212	8.86103	-638.84265	769.53088	10.17095	-644.30817	-708.45813	7.78136	496.02838	733.52417	6.96293	505.84729	-14.05888	1308.20093	-961.96191	
29	0.280	-800.55957	8.88938	-638.78998	769.46686	10.13798	-644.35608	-708.46234	7.79422	496.06015	733.56354	6.98008	505.83600	-13.98585	1308.14331	-961.90643	
30	0.290	-800.61444	8.85840	-638.81317	769.48480	10.14820	-644.36578	-708.42999	7.79039	496.10681	733.56268	6.97476	505.85242	-14.01830	1308.14917	-961.94934	
31	0.300	-800.63623	8.86990	-638.78619	769.43896	10.13186	-644.38416	-708.47113	7.76733	496.05856	733.50519	6.93255	505.88120	-14.02810	1308.12610	-961.94232	
32	0.310	-800.62018	8.88564	-638.76996	769.43231	10.14378	-644.38135	-708.44635	7.75320	496.03650	733.48920	6.93578	505.84396	-14.00836	1308.14453	-961.86517	
33	0.320	-800.54144	8.87350	-638.83820	769.47125	10.13653	-644.34418	-708.45953	7.76618	496.04666	733.53992	6.97606	505.84814	-13.99598	1308.17468	-961.88318	
34	0.330	-800.55829	8.85217	-638.82898	769.46277	10.13137	-644.33685	-708.47845	7.76535	496.03271	733.53058	6.94817	505.83643	-14.01160	1308.11523	-961.92670	
