PathFileType	4	(X/Y/Z)	D:\TRACE\v60_Jaco2_6-2-23\JustArmDRS_Motion1_5-v60.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      7053	9	mm	100.00	1	      7053
Frame#	Time	front left toe			Front right toe			aft left toe			aft right toe			Arm			FL body			FR body			AL Body			AR Body			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	

1	0.000	-200.57652	20.09157	-166.67252	206.76936	17.92344	-211.18176	-135.35692	17.70273	438.14496	267.69458	19.42649	426.34476	17.93188	1214.55847	-222.66476	-85.57558	587.02106	-313.23950	73.84069	585.97406	-330.27914	14.64026	590.57916	626.80920	171.00496	583.93994	611.16907	
2	0.010	-200.51955	20.07427	-166.68074	206.71901	17.87905	-211.22537	-135.41457	17.75710	438.14902	267.70880	19.44122	426.37369	17.95585	1214.55273	-222.67654	-85.54661	587.02039	-313.26346	73.75662	585.98492	-330.30099	14.34586	590.63232	626.45135	170.99741	583.94641	611.12885	
3	0.020	-200.56284	20.11142	-166.70078	206.66835	17.81409	-211.22716	-135.34818	17.71285	438.15225	267.68832	19.45726	426.32748	17.98737	1214.56128	-222.69481	-85.58249	587.06165	-313.27142	73.75918	585.98853	-330.31955	14.64427	590.57843	626.79852	170.99463	583.95435	611.13678	
4	0.030	-200.58939	20.10770	-166.69824	206.73378	17.85418	-211.24477	-135.34645	17.71354	438.13214	267.63162	19.40318	426.31909	17.75116	1214.54333	-222.76315	-85.57007	587.01752	-313.28580	73.75974	585.99927	-330.33176	14.63962	590.58203	626.77917	171.03181	583.94019	611.15887	
5	0.040	-200.60313	20.14794	-166.69148	206.63737	17.84761	-211.24762	-135.36922	17.70219	438.11780	267.69089	19.40012	426.36649	17.79211	1214.50366	-222.73090	-85.54414	587.03503	-313.28613	73.71945	586.01465	-330.33463	14.59571	590.57379	626.80042	171.02878	583.92694	611.14917	
6	0.050	-200.57654	20.10179	-166.64215	206.72833	17.89031	-211.24060	-135.31528	17.65302	438.11450	267.63831	19.41703	426.32278	17.95250	1214.55493	-222.71931	-85.58568	587.03906	-313.27792	73.72268	586.00488	-330.33838	14.64316	590.56689	626.77777	171.02583	583.94574	611.11566	
7	0.060	-200.53941	20.11311	-166.66588	206.67592	17.91032	-211.21472	-135.38492	17.69642	438.14417	267.63251	19.39581	426.29996	17.75121	1214.51929	-222.73053	-85.55936	587.00000	-313.25769	73.68729	586.00610	-330.33859	14.63494	590.58807	626.79657	171.01578	583.94031	611.08386	
8	0.070	-200.51114	20.11192	-166.70216	206.72157	17.90801	-211.22874	-135.36581	17.69797	438.13538	267.70667	19.44372	426.32886	17.97264	1214.56506	-222.73897	-85.57682	587.02838	-313.28622	73.75430	586.01178	-330.33432	14.37801	590.63074	626.42438	171.01831	583.95654	611.13080	
9	0.080	-200.55200	20.11270	-166.73471	206.68922	17.89421	-211.24818	-135.34888	17.68414	438.14236	267.71393	19.41969	426.35855	17.76961	1214.53699	-222.76921	-85.54775	587.02246	-313.29510	73.73978	586.02618	-330.32883	14.37368	590.65936	626.44116	171.01378	583.95294	611.11115	
10	0.090	-200.59296	20.13768	-166.69313	206.77600	17.90700	-211.23441	-135.38448	17.68213	438.11160	267.61160	19.38628	426.32629	17.74698	1214.53503	-222.76001	-85.61208	587.04895	-313.26675	73.73081	585.95477	-330.38058	14.30995	590.63562	626.42242	171.03284	583.94922	611.10144	
11	0.100	-200.61418	20.10198	-166.65797	206.69467	17.87675	-211.23856	-135.29796	17.66763	438.12482	267.66458	19.41561	426.33853	17.97633	1214.54724	-222.72722	-85.54970	587.02051	-313.31311	73.77368	585.97278	-330.30637	14.62414	590.57898	626.77649	171.02312	583.94708	611.09558	
12	0.110	-200.52069	20.08038	-166.68384	206.74965	17.88490	-211.23969	-135.32153	17.68033	438.13702	267.70270	19.44684	426.33301	17.97919	1214.54700	-222.75214	-85.56291	586.98315	-313.30206	73.73730	585.95764	-330.36743	14.62126	590.57977	626.76624	171.04573	583.92365	611.07819	
13	0.120	-200.57487	20.11369	-166.70303	206.68437	17.89185	-211.23380	-135.35513	17.66515	438.11877	267.70410	19.43643	426.33658	17.98900	1214.53589	-222.73221	-85.58363	586.99994	-313.31323	73.72536	585.95709	-330.34689	14.62520	590.57581	626.76990	171.00897	583.94385	611.11102	
14	0.130	-200.48584	20.08425	-166.67760	206.74361	17.91305	-211.23294	-135.33250	17.67376	438.12714	267.59894	19.37629	426.34155	17.98593	1214.52502	-222.73401	-85.59447	587.00928	-313.29767	73.72018	585.99640	-330.34183	14.61988	590.57727	626.77008	171.04057	583.92010	611.04779	
15	0.140	-200.61032	20.12706	-166.68558	206.72955	17.91821	-211.21822	-135.35262	17.68036	438.13065	267.58905	19.35793	426.33270	17.94277	1214.53162	-222.75104	-85.54462	587.01001	-313.30588	73.65378	586.00323	-330.35300	14.33835	590.64313	626.45020	171.03630	583.91699	611.09222	
