PathFileType	4	(X/Y/Z)	D:\TRACE\v60_Jaco2_6-2-23\JustBodyDRS_Motion1_8-v60.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      6712	9	mm	100.00	1	      6712
Frame#	Time	front left toe			Front right toe			aft left toe			aft right toe			Arm			FL body			FR body			AL Body			AR Body			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	

1	0.000	-211.29401	19.50383	-207.47429	185.42978	17.82954	-255.07033	-171.71526	17.25953	388.14160	243.41156	19.52372	392.85248	-128.69221	1214.00659	-362.58636	-102.03625	582.23853	-354.81265	58.03626	582.15503	-368.91220	-20.24850	586.13330	588.11328	134.33722	579.95819	574.42694	
2	0.010	-211.22682	19.47103	-207.48021	185.41106	17.80367	-255.07503	-171.72830	17.27475	388.09409	243.40456	19.56831	392.88440	-128.67775	1213.99414	-362.58893	-102.01386	582.22333	-354.79025	57.95767	582.15808	-368.95139	-20.27561	586.14227	588.08258	134.33037	579.97968	574.42639	
3	0.020	-211.28752	19.50142	-207.46950	185.38782	17.83841	-255.08582	-171.73529	17.26366	388.09268	243.41006	19.54725	392.88504	-128.68254	1213.99866	-362.57022	-101.99238	582.20319	-354.81265	58.03255	582.15662	-368.94901	-20.24377	586.15082	588.09192	134.33121	579.96350	574.44775	
4	0.030	-211.26961	19.47697	-207.47913	185.42734	17.81931	-255.07826	-171.74583	17.25237	388.07864	243.38571	19.55816	392.86835	-128.69791	1214.01172	-362.55820	-101.98382	582.18549	-354.84094	57.97659	582.15948	-368.94836	-20.19714	586.15936	588.14850	134.32242	579.99115	574.44568	
5	0.040	-211.25040	19.48676	-207.47635	185.40741	17.83109	-255.08415	-171.76692	17.30507	388.12042	243.34143	19.52704	392.80743	-128.67953	1214.01721	-362.57813	-102.03839	582.25427	-354.82071	57.98951	582.15314	-368.93143	-20.24957	586.15125	588.08356	134.35497	579.98914	574.42578	
6	0.050	-211.25583	19.48585	-207.48819	185.41382	17.83953	-255.11504	-171.77156	17.31660	388.08105	243.38640	19.56330	392.81979	-128.73256	1214.05029	-362.60873	-101.99653	582.25018	-354.81717	57.99630	582.13623	-368.93372	-20.26469	586.17694	588.09033	134.37042	579.99152	574.40021	
7	0.060	-211.30603	19.50549	-207.45134	185.40633	17.82585	-255.06381	-171.74319	17.32878	388.11411	243.34972	19.53734	392.81738	-128.70624	1213.98645	-362.60556	-102.04176	582.22571	-354.80743	58.02811	582.15387	-368.92047	-20.25007	586.13623	588.09955	134.31279	580.00092	574.40851	
8	0.070	-211.26572	19.50258	-207.45161	185.37018	17.83053	-255.06284	-171.78488	17.32757	388.08463	243.36690	19.54515	392.83850	-128.70207	1213.99121	-362.59598	-102.00742	582.20093	-354.80127	57.96760	582.14124	-368.94269	-20.26850	586.16949	588.07953	134.27605	579.97839	574.41699	
9	0.080	-211.27122	19.49740	-207.49678	185.44490	17.82521	-255.04642	-171.74986	17.33610	388.06180	243.42380	19.56263	392.82861	-128.66521	1214.00171	-362.59070	-102.04610	582.22717	-354.80762	58.00377	582.15759	-368.91748	-20.25413	586.15619	588.09174	134.36603	579.98218	574.42395	
10	0.090	-211.25906	19.47296	-207.49461	185.41335	17.84223	-255.09517	-171.77321	17.28482	388.08777	243.35384	19.54447	392.83154	-128.80310	1213.93469	-362.72610	-102.00694	582.23633	-354.80374	58.00895	582.14575	-368.93835	-20.24770	586.14532	588.07550	134.31918	580.00146	574.42792	
11	0.100	-211.27611	19.50273	-207.47244	185.41347	17.84252	-255.11140	-171.70671	17.23565	388.10663	243.41527	19.55646	392.82220	-128.71974	1214.02856	-362.60440	-102.03683	582.22449	-354.81137	58.01500	582.14520	-368.92722	-20.23665	586.14563	588.08679	134.32002	579.99292	574.40607	
12	0.110	-211.24150	19.49761	-207.45500	185.38324	17.82298	-255.08646	-171.73804	17.28504	388.07318	243.42146	19.57373	392.82620	-128.75197	1214.03870	-362.60440	-101.97408	582.18921	-354.81006	57.99587	582.14618	-368.92133	-20.25267	586.15039	588.08807	134.28073	579.99146	574.42676	
13	0.120	-211.28638	19.50675	-207.46095	185.40562	17.83865	-255.08264	-171.76135	17.31829	388.08456	243.37973	19.51846	392.81540	-128.71143	1214.00159	-362.58859	-102.04166	582.20355	-354.79114	57.95804	582.13977	-368.92139	-20.25389	586.16254	588.07141	134.30338	579.98065	574.41632	
14	0.130	-211.26395	19.51590	-207.46660	185.41354	17.84298	-255.09592	-171.75633	17.28495	388.06198	243.40408	19.54893	392.85092	-128.71155	1213.99426	-362.61209	-102.01788	582.18799	-354.80991	58.03432	582.14685	-368.92181	-20.24393	586.15924	588.08295	134.32431	579.97760	574.42047	
