PathFileType	4	(X/Y/Z)	D:\TRACE\v60_Jaco2_6-2-23\JustBodyDRS_Motion3_3-platform.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      7000	5	mm	100.00	1	      7000
Frame#	Time	Left_Front			Right_Front			Left_Aft			Right_Aft			Post			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	

1	0.000	-814.71796	128.38887	-611.83893	755.79742	125.61858	-588.80902	-746.02124	-73.96961	504.49637	668.44073	-92.39041	608.25500	-21.42144	1462.19739	-684.19269	
2	0.010	-814.74219	128.41284	-611.79517	755.79865	125.62751	-588.77014	-746.01355	-73.98711	504.50037	668.41241	-92.41297	608.28351	-21.47264	1462.18494	-684.18439	
3	0.020	-814.75830	128.38107	-611.79620	755.80707	125.60213	-588.75629	-746.03406	-73.98976	504.48343	668.43988	-92.41164	608.27832	-21.42661	1462.14404	-684.17358	
4	0.030	-814.47687	128.16530	-611.34814	755.77747	125.59446	-588.76636	-746.02490	-73.98165	504.46057	668.45691	-92.41590	608.26038	-21.47045	1462.16785	-684.18622	
5	0.040	-814.71704	128.39331	-611.84851	755.74274	125.62428	-588.81531	-746.04779	-73.95656	504.48370	668.42877	-92.41422	608.25909	-21.48429	1462.16394	-684.18018	
6	0.050	-814.70667	128.41528	-611.85846	755.78491	125.62521	-588.81189	-745.98627	-73.95010	504.45773	668.45758	-92.39393	608.26642	-21.49878	1462.17188	-684.19232	
7	0.060	-814.72827	128.40382	-611.81909	755.79578	125.62863	-588.79010	-746.02893	-73.97825	504.47321	668.46204	-92.40527	608.27496	-21.43864	1462.16235	-684.18585	
8	0.070	-814.71667	128.40004	-611.85260	755.80927	125.60784	-588.74426	-746.00104	-73.97105	504.50305	668.44153	-92.40045	608.28406	-21.49619	1462.17029	-684.20557	
9	0.080	-814.66077	128.35684	-611.83569	755.78973	125.61649	-588.79303	-746.02185	-73.97511	504.49365	668.40167	-92.42182	608.29755	-21.47237	1462.15283	-684.17035	
10	0.090	-814.68750	128.38263	-611.84503	755.78253	125.60854	-588.78564	-746.02753	-73.98794	504.48181	668.42426	-92.41012	608.25586	-21.46653	1462.13831	-684.19666	
11	0.100	-814.70667	128.39642	-611.84375	755.78864	125.63533	-588.77502	-746.03442	-73.96206	504.50024	668.44464	-92.40333	608.26129	-21.50330	1462.13452	-684.20837	
12	0.110	-814.71741	128.41747	-611.83063	755.78589	125.61894	-588.79205	-746.00287	-73.95162	504.46765	668.44049	-92.40958	608.27551	-21.47121	1462.18982	-684.19012	
13	0.120	-814.74469	128.42148	-611.83899	755.76300	125.59916	-588.78149	-746.02063	-73.98343	504.46603	668.55420	-92.46976	608.32220	-21.43862	1462.15845	-684.20966	
14	0.130	-814.76398	128.42728	-611.82990	755.77130	125.63663	-588.79089	-746.02643	-73.98957	504.49103	668.53040	-92.45763	608.30951	-21.42549	1462.15137	-684.17810	
15	0.140	-814.71979	128.35109	-611.84656	755.76666	125.59873	-588.78650	-746.02820	-73.99026	504.50342	668.43390	-92.39423	608.28961	-21.48483	1462.17004	-684.17517	
16	0.150	-814.70636	128.40646	-611.84851	755.81073	125.64038	-588.77026	-745.99945	-73.98759	504.44858	668.43359	-92.40551	608.28192	-21.45123	1462.14429	-684.18732	
17	0.160	-814.69092	128.36584	-611.82440	755.78564	125.62530	-588.79834	-746.01282	-73.96343	504.46442	668.48499	-92.38242	608.26990	-21.39426	1462.14355	-684.14825	
18	0.170	-814.70990	128.39355	-611.82910	755.76910	125.62219	-588.78552	-746.00836	-73.97994	504.47223	668.48364	-92.40286	608.26270	-21.42983	1462.15784	-684.19440	
19	0.180	-814.71326	128.41170	-611.84503	755.79602	125.60834	-588.77594	-746.00311	-73.98142	504.46408	668.45013	-92.41202	608.26825	-21.48768	1462.17200	-684.17719	
20	0.190	-814.68481	128.37827	-611.81805	755.77301	125.63731	-588.77264	-745.97681	-73.97873	504.48242	668.45062	-92.41264	608.29901	-21.44496	1462.14917	-684.21344	
21	0.200	-814.70398	128.39244	-611.83899	755.76129	125.62801	-588.81952	-746.02820	-74.00364	504.48468	668.48956	-92.48652	608.33112	-21.49630	1462.18140	-684.18127	
22	0.210	-814.66681	128.35057	-611.86438	755.80151	125.61626	-588.77209	-746.00995	-73.96523	504.43802	668.45654	-92.40201	608.23315	-21.44477	1462.16895	-684.18726	
23	0.220	-814.67786	128.34163	-611.81970	755.78339	125.62905	-588.79407	-746.01221	-73.98851	504.48984	668.44232	-92.39371	608.24475	-21.44799	1462.13538	-684.22986	
24	0.230	-814.68219	128.38069	-611.84076	755.79022	125.59032	-588.75830	-746.02667	-73.98254	504.50598	668.42114	-92.41023	608.26752	-21.45991	1462.15955	-684.21362	
25	0.240	-814.68726	128.31018	-611.82196	755.76312	125.60307	-588.77625	-746.00989	-73.99432	504.49969	668.45264	-92.42206	608.28424	-21.47257	1462.15381	-684.18683	
26	0.250	-814.65472	128.34294	-611.89520	755.79193	125.62237	-588.77576	-746.02747	-73.98160	504.47650	668.43951	-92.41815	608.26587	-21.48805	1462.15295	-684.21564	
27	0.260	-814.68738	128.41125	-611.84399	755.76031	125.59998	-588.80347	-746.01428	-73.93816	504.45325	668.43530	-92.38752	608.29828	-21.42204	1462.13672	-684.18329	
28	0.270	-814.74030	128.42615	-611.83344	755.77429	125.63198	-588.79004	-746.01184	-73.93808	504.44861	668.43958	-92.40362	608.26538	-21.45913	1462.15247	-684.19116	
29	0.280	-814.72937	128.41205	-611.83533	755.81219	125.64310	-588.76764	-746.00867	-73.92618	504.48093	668.42749	-92.41178	608.26196	-21.51879	1462.16809	-684.17743	
30	0.290	-814.72235	128.41350	-611.85236	755.79382	125.62508	-588.77917	-746.02039	-73.96166	504.46774	668.42279	-92.41061	608.27472	-21.44322	1462.14539	-684.14825	
31	0.300	-814.69867	128.38356	-611.82312	755.78937	125.62683	-588.76379	-746.01520	-73.96312	504.50037	668.42242	-92.40708	608.27014	-21.44726	1462.16357	-684.19397	
32	0.310	-814.72168	128.40663	-611.83569	755.80060	125.62732	-588.76837	-746.00720	-73.99280	504.49384	668.44080	-92.39880	608.28711	-21.46905	1462.16125	-684.18036	
33	0.320	-814.71332	128.39392	-611.81909	755.79480	125.60998	-588.78680	-746.00055	-73.92442	504.46490	668.44794	-92.38316	608.26782	-21.49799	1462.19006	-684.21161	
