PathFileType	4	(X/Y/Z)	D:\TRACE\v60_Jaco2_6-2-23\v60_baseline_2-v60.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      7303	9	mm	100.00	1	      7303
Frame#	Time	front left toe			Front right toe			aft left toe			aft right toe			Arm			FL body			FR body			AL Body			AR Body			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	

1	0.000	-191.61563	19.62944	-139.65317	221.98259	18.66361	-118.24755	-219.37094	18.06398	501.50217	184.58516	19.04755	486.44424	-88.08302	1204.73181	-278.21835	-62.05826	572.43011	-265.50827	98.02338	573.01233	-259.71384	-97.88731	580.33478	680.60822	59.47689	574.09705	686.38251	
2	0.010	-191.64484	19.62183	-139.61613	221.92101	18.59487	-118.28636	-219.40334	18.07056	501.48401	184.63141	19.06967	486.44583	-88.12222	1204.75598	-278.19934	-62.04542	572.42017	-265.48996	97.72968	572.97968	-259.60925	-97.97817	580.34796	680.62793	59.49665	574.09277	686.39044	
3	0.020	-191.64684	19.58706	-139.64526	221.86952	18.55030	-118.30804	-219.40210	18.06833	501.50052	184.58514	19.03199	486.43207	-88.10981	1204.73486	-278.22028	-62.04778	572.43201	-265.49951	97.97195	573.02899	-259.76773	-97.90907	580.33313	680.57324	59.47679	574.06219	686.40173	
4	0.030	-191.65878	19.63361	-139.66846	221.88992	18.57616	-118.28909	-219.37151	18.05923	501.50467	184.58200	19.04423	486.43658	-88.08253	1204.74451	-278.20715	-62.02537	572.40015	-265.49612	98.03694	573.01056	-259.69638	-97.91409	580.35498	680.60925	59.47490	574.07092	686.38214	
5	0.040	-191.65172	19.68858	-139.68405	221.95677	18.63795	-118.29263	-219.37791	18.09082	501.52527	184.61615	19.06286	486.44339	-88.06922	1204.72803	-278.17725	-62.04212	572.39734	-265.48047	98.09163	573.00647	-259.65414	-97.88593	580.35297	680.62109	59.53172	574.08850	686.39417	
6	0.050	-191.62793	19.61618	-139.68948	221.94351	18.66793	-118.28844	-219.35857	18.06020	501.51575	184.60243	19.05573	486.46872	-88.03922	1204.76794	-278.20245	-62.01124	572.42383	-265.46545	98.04313	573.01019	-259.71072	-97.81155	580.36621	680.61853	59.56580	574.11371	686.37189	
7	0.060	-191.61003	19.62117	-139.65599	221.95752	18.62115	-118.28895	-219.38377	18.08523	501.49182	184.60968	19.04684	486.44580	-87.97974	1204.75610	-278.20776	-62.01962	572.39880	-265.46921	97.99377	573.03259	-259.74454	-97.84534	580.36200	680.59851	59.54262	574.06799	686.39191	
8	0.070	-191.65651	19.61372	-139.63208	221.87828	18.56269	-118.28722	-219.40295	18.04634	501.52158	184.55984	19.00645	486.42328	-88.04558	1204.75745	-278.20712	-62.02744	572.45099	-265.49579	98.01962	573.01239	-259.73953	-97.87711	580.33051	680.63800	59.44943	574.04352	686.41168	
9	0.080	-191.60815	19.58461	-139.62343	221.87573	18.54101	-118.30029	-219.40320	18.04973	501.48859	184.57918	19.02369	486.42847	-88.01711	1204.76294	-278.20715	-62.00905	572.41571	-265.48676	98.06779	573.00323	-259.70895	-97.94635	580.30573	680.62732	59.43612	574.04828	686.39197	
10	0.090	-191.63852	19.63627	-139.64594	221.93254	18.60495	-118.27314	-219.39671	18.05522	501.48999	184.55894	19.00376	486.44345	-88.04129	1204.77222	-278.25400	-62.05324	572.41730	-265.50784	98.07485	573.00336	-259.67438	-97.89513	580.27203	680.59601	59.48277	574.04028	686.38647	
11	0.100	-191.61356	19.63695	-139.61366	221.97916	18.63980	-118.25798	-219.38240	18.06792	501.48337	184.61342	19.06684	486.44336	-88.00825	1204.75732	-278.19669	-61.99442	572.43213	-265.47058	98.09048	573.00439	-259.65939	-97.87683	580.34357	680.63037	59.50730	574.07416	686.39410	
12	0.110	-191.67284	19.65213	-139.66121	221.96844	18.62772	-118.25839	-219.37108	18.09167	501.48605	184.61937	19.06363	486.44250	-87.98126	1204.76074	-278.20804	-61.99150	572.46814	-265.49759	98.02682	573.00812	-259.70935	-97.83115	580.32959	680.64136	59.50764	574.06720	686.40619	
13	0.120	-191.64981	19.62667	-139.65079	221.89471	18.55719	-118.31200	-219.40814	18.06731	501.48712	184.54443	19.01799	486.43964	-87.97037	1204.72498	-278.20959	-62.06524	572.44312	-265.51691	98.09155	573.01105	-259.66089	-97.87264	580.31317	680.63428	59.44858	574.04388	686.41083	
14	0.130	-191.66980	19.65600	-139.64722	221.84230	18.52148	-118.31176	-219.37445	18.05650	501.56009	184.53917	19.03853	486.43069	-88.00533	1204.75134	-278.20499	-62.05227	572.44281	-265.51743	98.06809	573.00922	-259.68719	-97.93707	580.29785	680.65057	59.43904	574.04913	686.42023	
