PathFileType	4	(X/Y/Z)	D:\TRACE\v60_Jaco2_6-2-23\v60_baseline_5-platform.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      6500	5	mm	100.00	1	      6500
Frame#	Time	Left_Front			Right_Front			Left_Aft			Right_Aft			Post			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	

1	0.000	-800.53461	8.83735	-638.84021	769.43518	10.18334	-644.42432	-708.59619	7.87808	496.13046	733.40692	6.97293	505.59247	-14.00348	1308.13831	-961.99200	
2	0.010	-800.56616	8.88962	-638.80798	769.36761	10.19021	-644.44238	-708.63690	7.92796	496.14972	733.41376	6.99822	505.59378	-14.02954	1308.11914	-961.94653	
3	0.020	-800.56677	8.87887	-638.80719	769.42603	10.16841	-644.37860	-708.61652	7.87055	496.11121	733.36334	6.95670	505.58792	-13.99923	1308.10718	-961.95868	
4	0.030	-800.54712	8.83310	-638.83807	769.36035	10.21826	-644.37982	-708.69989	7.92442	496.08701	732.95807	6.98148	505.71924	-14.03414	1308.13989	-961.94861	
5	0.040	-800.55145	8.82133	-638.84009	769.42444	10.15608	-644.36371	-708.62622	7.88492	496.12860	733.29437	6.91916	505.56760	-14.04011	1308.13989	-961.95941	
6	0.050	-800.54755	8.93146	-638.88879	769.32556	10.20402	-644.37000	-708.63055	7.89243	496.12857	733.38141	6.98384	505.61115	-14.05307	1308.20654	-961.94159	
7	0.060	-800.50433	8.90010	-638.91852	769.43848	10.17972	-644.39282	-708.58740	7.87103	496.13574	733.41718	6.98668	505.56931	-14.05681	1308.23560	-961.99164	
8	0.070	-800.54584	8.87241	-638.85138	769.36700	10.22633	-644.37048	-708.63538	7.93443	496.12781	733.39832	6.99314	505.57028	-14.09311	1308.17310	-961.97162	
9	0.080	-800.59210	8.84727	-638.83063	769.41827	10.17293	-644.39325	-708.58759	7.83965	496.13452	733.33490	6.93895	505.58069	-14.02061	1308.13049	-961.98187	
10	0.090	-800.58484	8.86557	-638.81659	769.33655	10.20744	-644.42572	-708.62012	7.85119	496.17679	733.32025	6.91391	505.57214	-14.06967	1308.15686	-961.97437	
11	0.100	-800.56976	8.88423	-638.87000	769.33118	10.18704	-644.40442	-708.62006	7.87363	496.14410	733.31360	6.92815	505.55334	-14.01003	1308.14148	-961.94183	
12	0.110	-800.51031	8.86679	-638.85321	769.40234	10.18186	-644.38922	-708.62518	7.90537	496.16531	733.28387	6.92126	505.57785	-13.98206	1308.17322	-961.99927	
13	0.120	-800.56775	8.86447	-638.85352	769.32324	10.21139	-644.38477	-708.66101	7.90719	496.13101	733.34033	6.96476	505.56305	-14.00843	1308.15417	-961.98438	
14	0.130	-800.59540	8.93777	-638.75519	769.43323	10.16644	-644.38562	-708.56921	7.85620	496.13260	733.31342	6.93246	505.56400	-13.98109	1308.12500	-961.93420	
15	0.140	-800.60126	8.83441	-638.79486	769.36804	10.18730	-644.38409	-708.58856	7.83416	496.15381	733.29266	6.88828	505.57330	-13.99248	1308.07935	-961.95618	
16	0.150	-800.62292	8.83165	-638.77979	769.42334	10.16823	-644.37195	-708.58521	7.85363	496.11484	733.34332	6.93317	505.59711	-13.97696	1308.10559	-961.92273	
17	0.160	-800.56555	8.85169	-638.82385	769.36841	10.21029	-644.36676	-708.58936	7.85063	496.14841	733.35291	6.94962	505.58261	-13.95072	1308.10815	-961.96613	
18	0.170	-800.60291	8.89470	-638.77173	769.41803	10.16156	-644.37354	-708.60120	7.83145	496.18076	733.26038	6.91194	505.56210	-14.02555	1308.12122	-961.92310	
19	0.180	-800.59900	8.84884	-638.76575	769.38867	10.15238	-644.38080	-708.64722	7.87480	496.13065	733.26715	6.93307	505.54544	-14.05985	1308.13416	-961.93597	
20	0.190	-800.55115	8.80484	-638.82513	769.41681	10.13954	-644.42639	-708.63550	7.87696	496.11353	733.26465	6.91910	505.58224	-14.00487	1308.15735	-961.98309	
21	0.200	-800.61200	8.89675	-638.77057	769.42914	10.17173	-644.40112	-708.61469	7.87612	496.13239	733.28021	6.91137	505.56445	-14.00660	1308.09692	-961.95715	
22	0.210	-800.54150	8.83488	-638.87616	769.43958	10.18814	-644.37042	-708.57574	7.85312	496.12900	733.35052	6.97122	505.55115	-14.01364	1308.17139	-961.96997	
23	0.220	-800.50488	8.86822	-638.88458	769.46106	10.17158	-644.33710	-708.56366	7.85694	496.14432	733.41046	6.99447	505.58203	-14.06150	1308.16931	-961.91418	
24	0.230	-800.51599	8.83909	-638.85809	769.42053	10.19996	-644.40204	-708.53833	7.82830	496.19666	733.40479	6.99706	505.56940	-14.06950	1308.17163	-961.96869	
25	0.240	-800.54401	8.85217	-638.84741	769.43341	10.15883	-644.38062	-708.59442	7.85961	496.13037	733.36859	6.97622	505.57675	-14.07942	1308.18250	-961.93091	
26	0.250	-800.52917	8.88754	-638.82355	769.34930	10.20119	-644.40527	-708.62305	7.86884	496.15942	733.33502	6.95837	505.58102	-14.06502	1308.13977	-961.93219	
27	0.260	-800.52155	8.90533	-638.83014	769.40186	10.18173	-644.39978	-708.63513	7.91915	496.10767	733.37512	6.97515	505.57401	-14.03970	1308.18774	-961.94122	
28	0.270	-800.55896	8.93088	-638.83215	769.38672	10.23005	-644.40375	-708.64929	7.86875	496.13284	733.34406	6.95803	505.55765	-14.05389	1308.21753	-961.96582	
29	0.280	-800.58734	8.90539	-638.78052	769.32483	10.17583	-644.41473	-708.64502	7.88320	496.14499	733.29822	6.93070	505.54678	-14.02192	1308.15784	-961.92395	
30	0.290	-800.58752	8.89612	-638.74243	769.41144	10.16155	-644.38617	-708.59619	7.85745	496.12253	733.36224	6.94595	505.57401	-14.02271	1308.11597	-961.95630	
31	0.300	-800.61548	8.83655	-638.74396	769.34735	10.18014	-644.42212	-708.60480	7.85377	496.16525	733.31354	6.92325	505.56842	-14.00766	1308.08862	-961.94092	
32	0.310	-800.58667	8.84651	-638.84583	769.44696	10.18050	-644.36694	-708.53900	7.82931	496.17197	733.38422	6.95388	505.57306	-13.96790	1308.07385	-961.97461	
33	0.320	-800.59027	8.86844	-638.81042	769.38727	10.18485	-644.37195	-708.63275	7.86577	496.12094	733.29974	6.93836	505.57809	-13.93302	1308.11987	-961.89844	
34	0.330	-800.57184	8.85518	-638.83496	769.46051	10.13940	-644.38232	-708.59259	7.84772	496.13925	733.30280	6.91905	505.56689	-13.97147	1308.11365	-961.92828	
