__time,/mcu/command/manual_twist/angular/x,/mcu/command/manual_twist/angular/y,/mcu/command/manual_twist/angular/z,/mcu/command/manual_twist/linear/x,/mcu/command/manual_twist/linear/y,/mcu/command/manual_twist/linear/z,/mcu/state/jointURDF/0/effort,/mcu/state/jointURDF/0/position,/mcu/state/jointURDF/0/velocity,/mcu/state/jointURDF/1/effort,/mcu/state/jointURDF/1/position,/mcu/state/jointURDF/1/velocity,/mcu/state/jointURDF/10/effort,/mcu/state/jointURDF/10/position,/mcu/state/jointURDF/10/velocity,/mcu/state/jointURDF/11/effort,/mcu/state/jointURDF/11/position,/mcu/state/jointURDF/11/velocity,/mcu/state/jointURDF/2/effort,/mcu/state/jointURDF/2/position,/mcu/state/jointURDF/2/velocity,/mcu/state/jointURDF/3/effort,/mcu/state/jointURDF/3/position,/mcu/state/jointURDF/3/velocity,/mcu/state/jointURDF/4/effort,/mcu/state/jointURDF/4/position,/mcu/state/jointURDF/4/velocity,/mcu/state/jointURDF/5/effort,/mcu/state/jointURDF/5/position,/mcu/state/jointURDF/5/velocity,/mcu/state/jointURDF/6/effort,/mcu/state/jointURDF/6/position,/mcu/state/jointURDF/6/velocity,/mcu/state/jointURDF/7/effort,/mcu/state/jointURDF/7/position,/mcu/state/jointURDF/7/velocity,/mcu/state/jointURDF/8/effort,/mcu/state/jointURDF/8/position,/mcu/state/jointURDF/8/velocity,/mcu/state/jointURDF/9/effort,/mcu/state/jointURDF/9/position,/mcu/state/jointURDF/9/velocity,/mcu/state/jointURDF/header/stamp,/mcu/state/toe_array/header/stamp,/mcu/state/toe_array/toes.0/contact,/mcu/state/toe_array/toes.0/id,/mcu/state/toe_array/toes.0/position/x,/mcu/state/toe_array/toes.0/position/y,/mcu/state/toe_array/toes.0/position/z,/mcu/state/toe_array/toes.0/sphase,/mcu/state/toe_array/toes.0/valid,/mcu/state/toe_array/toes.1/contact,/mcu/state/toe_array/toes.1/id,/mcu/state/toe_array/toes.1/position/x,/mcu/state/toe_array/toes.1/position/y,/mcu/state/toe_array/toes.1/position/z,/mcu/state/toe_array/toes.1/sphase,/mcu/state/toe_array/toes.1/valid,/mcu/state/toe_array/toes.2/contact,/mcu/state/toe_array/toes.2/id,/mcu/state/toe_array/toes.2/position/x,/mcu/state/toe_array/toes.2/position/y,/mcu/state/toe_array/toes.2/position/z,/mcu/state/toe_array/toes.2/sphase,/mcu/state/toe_array/toes.2/valid,/mcu/state/toe_array/toes.3/contact,/mcu/state/toe_array/toes.3/id,/mcu/state/toe_array/toes.3/position/x,/mcu/state/toe_array/toes.3/position/y,/mcu/state/toe_array/toes.3/position/z,/mcu/state/toe_array/toes.3/sphase,/mcu/state/toe_array/toes.3/valid
1680722509.555794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680722509.555059,1.000000,0.000000,0.342188,0.171369,-0.505412,0.000000,1.000000,1.000000,1.000000,-0.296240,0.171875,-0.504097,0.948249,1.000000,1.000000,2.000000,0.335248,-0.171728,-0.503661,0.957075,1.000000,1.000000,3.000000,-0.264418,-0.165070,-0.502891,0.000000,1.000000
1680722509.565226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680722509.564685,1.000000,0.000000,0.342202,0.171371,-0.505397,0.000000,1.000000,1.000000,1.000000,-0.296238,0.171874,-0.504106,0.948249,1.000000,1.000000,2.000000,0.335260,-0.171728,-0.503661,0.957075,1.000000,1.000000,3.000000,-0.264396,-0.165068,-0.502903,0.000000,1.000000
1680722509.575167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680722509.574591,1.000000,0.000000,0.342202,0.171371,-0.505397,0.000000,1.000000,1.000000,1.000000,-0.296238,0.171874,-0.504106,0.948249,1.000000,1.000000,2.000000,0.335260,-0.171728,-0.503661,0.957075,1.000000,1.000000,3.000000,-0.264391,-0.165076,-0.502920,0.000000,1.000000
1680722509.585206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680722509.584360,1.000000,0.000000,0.342202,0.171371,-0.505397,0.000000,1.000000,1.000000,1.000000,-0.296229,0.171872,-0.504119,0.948249,1.000000,1.000000,2.000000,0.335271,-0.171728,-0.503660,0.957075,1.000000,1.000000,3.000000,-0.264380,-0.165074,-0.502932,0.000000,1.000000
1680722509.595726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680722509.594394,1.000000,0.000000,0.342211,0.171372,-0.505387,0.000000,1.000000,1.000000,1.000000,-0.296238,0.171871,-0.504129,0.948249,1.000000,1.000000,2.000000,0.335271,-0.171719,-0.503661,0.957075,1.000000,1.000000,3.000000,-0.264370,-0.165073,-0.502946,0.000000,1.000000
1680722509.605713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680722509.604639,1.000000,0.000000,0.342220,0.171373,-0.505377,0.000000,1.000000,1.000000,1.000000,-0.296243,0.171871,-0.504134,0.948249,1.000000,1.000000,2.000000,0.335271,-0.171719,-0.503661,0.957075,1.000000,1.000000,3.000000,-0.264376,-0.165080,-0.502963,0.000000,1.000000
1680722509.606478,,,,,,,-4.540000,0.889101,0.000000,18.640000,1.638309,-0.004094,9.080000,0.100926,0.000606,9.180000,0.114464,-0.000966,-3.050000,0.837018,0.000465,23.920000,1.628504,0.003137,-3.380000,0.870742,-0.000066,18.600000,1.629139,0.000000,-6.260000,0.900822,0.003526,25.250000,1.626875,0.007105,-7.330000,-0.101272,-0.000000,-12.880000,-0.100523,0.000000,1680722509.604886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680722509.615882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680722509.614629,1.000000,0.000000,0.342209,0.171374,-0.505365,0.000000,1.000000,1.000000,1.000000,-0.296236,0.171871,-0.504138,0.948249,1.000000,1.000000,2.000000,0.335283,-0.171719,-0.503661,0.957075,1.000000,1.000000,3.000000,-0.264375,-0.165078,-0.502986,0.000000,1.000000
1680722509.625291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680722509.624493,1.000000,0.000000,0.342219,0.171375,-0.505354,0.000000,1.000000,1.000000,1.000000,-0.296246,0.171870,-0.504148,0.948249,1.000000,1.000000,2.000000,0.335283,-0.171719,-0.503661,0.957075,1.000000,1.000000,3.000000,-0.264369,-0.165076,-0.503004,0.000000,1.000000
1680722509.626828,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
