__time,/mcu/command/manual_twist/angular/x,/mcu/command/manual_twist/angular/y,/mcu/command/manual_twist/angular/z,/mcu/command/manual_twist/linear/x,/mcu/command/manual_twist/linear/y,/mcu/command/manual_twist/linear/z,/mcu/state/jointURDF/0/effort,/mcu/state/jointURDF/0/position,/mcu/state/jointURDF/0/velocity,/mcu/state/jointURDF/1/effort,/mcu/state/jointURDF/1/position,/mcu/state/jointURDF/1/velocity,/mcu/state/jointURDF/10/effort,/mcu/state/jointURDF/10/position,/mcu/state/jointURDF/10/velocity,/mcu/state/jointURDF/11/effort,/mcu/state/jointURDF/11/position,/mcu/state/jointURDF/11/velocity,/mcu/state/jointURDF/2/effort,/mcu/state/jointURDF/2/position,/mcu/state/jointURDF/2/velocity,/mcu/state/jointURDF/3/effort,/mcu/state/jointURDF/3/position,/mcu/state/jointURDF/3/velocity,/mcu/state/jointURDF/4/effort,/mcu/state/jointURDF/4/position,/mcu/state/jointURDF/4/velocity,/mcu/state/jointURDF/5/effort,/mcu/state/jointURDF/5/position,/mcu/state/jointURDF/5/velocity,/mcu/state/jointURDF/6/effort,/mcu/state/jointURDF/6/position,/mcu/state/jointURDF/6/velocity,/mcu/state/jointURDF/7/effort,/mcu/state/jointURDF/7/position,/mcu/state/jointURDF/7/velocity,/mcu/state/jointURDF/8/effort,/mcu/state/jointURDF/8/position,/mcu/state/jointURDF/8/velocity,/mcu/state/jointURDF/9/effort,/mcu/state/jointURDF/9/position,/mcu/state/jointURDF/9/velocity,/mcu/state/jointURDF/header/stamp,/mcu/state/toe_array/header/stamp,/mcu/state/toe_array/toes.0/contact,/mcu/state/toe_array/toes.0/id,/mcu/state/toe_array/toes.0/position/x,/mcu/state/toe_array/toes.0/position/y,/mcu/state/toe_array/toes.0/position/z,/mcu/state/toe_array/toes.0/sphase,/mcu/state/toe_array/toes.0/valid,/mcu/state/toe_array/toes.1/contact,/mcu/state/toe_array/toes.1/id,/mcu/state/toe_array/toes.1/position/x,/mcu/state/toe_array/toes.1/position/y,/mcu/state/toe_array/toes.1/position/z,/mcu/state/toe_array/toes.1/sphase,/mcu/state/toe_array/toes.1/valid,/mcu/state/toe_array/toes.2/contact,/mcu/state/toe_array/toes.2/id,/mcu/state/toe_array/toes.2/position/x,/mcu/state/toe_array/toes.2/position/y,/mcu/state/toe_array/toes.2/position/z,/mcu/state/toe_array/toes.2/sphase,/mcu/state/toe_array/toes.2/valid,/mcu/state/toe_array/toes.3/contact,/mcu/state/toe_array/toes.3/id,/mcu/state/toe_array/toes.3/position/x,/mcu/state/toe_array/toes.3/position/y,/mcu/state/toe_array/toes.3/position/z,/mcu/state/toe_array/toes.3/sphase,/mcu/state/toe_array/toes.3/valid
1680726154.687860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680726154.687077,0.000000,0.000000,0.330698,0.169617,-0.355180,0.498676,1.000000,1.000000,1.000000,-0.295002,0.163048,-0.470222,0.954042,1.000000,1.000000,2.000000,0.324650,-0.152054,-0.492791,0.986942,1.000000,0.000000,3.000000,-0.295933,-0.159778,-0.335926,0.501119,1.000000
1680726154.697555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680726154.697062,0.000000,0.000000,0.330145,0.168960,-0.358847,0.524174,1.000000,1.000000,1.000000,-0.294811,0.162568,-0.470301,0.954042,1.000000,1.000000,2.000000,0.324998,-0.152027,-0.492791,0.986942,1.000000,0.000000,3.000000,-0.296066,-0.159151,-0.339222,0.526632,1.000000
1680726154.707687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680726154.706962,0.000000,0.000000,0.329804,0.168444,-0.363309,0.549672,1.000000,1.000000,1.000000,-0.294800,0.162118,-0.470361,0.954042,1.000000,1.000000,2.000000,0.325157,-0.152006,-0.492801,0.986942,1.000000,0.000000,3.000000,-0.296241,-0.158448,-0.343445,0.552144,1.000000
1680726154.708660,,,,,,,-0.120000,0.603924,0.492286,2.260000,1.080187,1.331290,15.440000,0.143820,0.004416,-3.320000,0.189514,-0.016325,-8.620000,0.767941,0.018791,51.440000,1.480495,0.002638,-11.250000,0.821631,0.049431,43.570000,1.569764,0.004733,1.140000,0.535280,0.535937,2.490000,1.001575,1.245937,4.130000,-0.150378,0.020862,-11.500000,-0.128978,-0.093524,1680726154.707648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680726154.717515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680726154.716934,0.000000,0.000000,0.329593,0.167998,-0.368844,0.575172,1.000000,1.000000,1.000000,-0.294800,0.161631,-0.470425,0.954042,1.000000,1.000000,2.000000,0.325385,-0.151996,-0.492809,0.986942,1.000000,0.000000,3.000000,-0.296222,-0.157615,-0.348596,0.577656,1.000000
1680726154.727823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680726154.727176,0.000000,0.000000,0.329175,0.167686,-0.375155,0.600672,1.000000,1.000000,1.000000,-0.294792,0.161307,-0.470457,0.954042,1.000000,1.000000,2.000000,0.325576,-0.151996,-0.492806,0.986942,1.000000,0.000000,3.000000,-0.296412,-0.156866,-0.354819,0.603166,1.000000
1680726154.737438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680726154.736869,0.000000,0.000000,0.328472,0.167367,-0.382687,0.626174,1.000000,1.000000,1.000000,-0.294773,0.161012,-0.470475,0.954042,1.000000,1.000000,2.000000,0.325887,-0.151998,-0.492794,0.986942,1.000000,0.000000,3.000000,-0.296404,-0.156085,-0.362158,0.628676,1.000000
1680726154.748076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680726154.747239,0.000000,0.000000,0.327906,0.167067,-0.390619,0.651676,1.000000,1.000000,1.000000,-0.294745,0.160672,-0.470499,0.954042,1.000000,1.000000,2.000000,0.326082,-0.152009,-0.492786,0.986942,1.000000,0.000000,3.000000,-0.296356,-0.155584,-0.369544,0.654185,1.000000
1680726154.748535,,,,,,,0.220000,0.642801,1.085332,2.010000,1.177469,2.681145,14.670000,0.143820,-0.001711,-5.490000,0.183551,-0.214121,-7.850000,0.767965,0.002203,50.890000,1.480293,-0.007140,-10.880000,0.823596,0.046319,43.710000,1.569844,0.000403,-0.930000,0.577992,1.216097,1.100000,1.092899,2.520963,3.000000,-0.143131,0.208572,-12.090000,-0.132066,-0.073329,1680726154.747721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680726154.757388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680726154.756869,0.000000,0.000000,0.327384,0.166581,-0.399020,0.677178,1.000000,1.000000,1.000000,-0.294745,0.160158,-0.470565,0.954042,1.000000,1.000000,2.000000,0.326317,-0.152086,-0.492764,0.986942,1.000000,0.000000,3.000000,-0.296155,-0.155143,-0.377385,0.679694,1.000000
