Time,postX,postY,postZ,wristX,wristY,wristZ
0,6.9692425,1297.3002,976.35376,69.631952,1182.6655,200.6378
0.01,7.0011625,1297.3167,976.43429,69.639582,1182.485,200.95839
0.02,6.9761925,1297.3312,976.32276,69.704082,1182.4028,201.24433
0.03,6.9409625,1297.2505,976.25355,69.595352,1182.5131,201.48421
0.04,6.9225725,1297.2714,976.12309,69.475812,1182.6499,201.66985
0.05,6.9458525,1297.2892,976.13545,69.451882,1182.7439,201.85848
0.06,6.9714025,1297.2882,976.15414,69.096122,1182.7199,202.153
0.07,6.8969525,1297.2912,976.19099,68.875852,1182.6987,202.57296
0.08,6.9121625,1297.2851,976.23269,68.712282,1182.7443,203.44411
0.09,6.9506825,1297.6002,975.88892,68.776182,1183.1614,203.92856
0.1,6.9941625,1297.2421,976.44954,67.894732,1184.0378,205.40836
0.11,7.1188525,1297.7182,975.96073,67.387472,1184.9869,205.40511
0.12,7.0781425,1297.6997,975.93863,67.178052,1185.8815,206.59095
0.13,7.0781225,1297.6301,975.6595,66.898422,1186.3012,208.17578
0.14,6.7897225,1297.3655,975.81099,66.516212,1186.7475,210.32438
0.15,6.7078325,1297.3568,975.86386,66.522472,1186.9773,211.87592
0.16,6.9323825,1297.4055,976.05495,66.387122,1187.0646,212.40516
0.17,7.0916025,1297.3778,976.3532,66.067262,1186.916,212.74201
0.18,6.9906525,1297.3323,976.45191,65.872532,1186.6761,212.70805
0.19,6.9483925,1297.3995,976.42065,65.844882,1186.5494,212.29682
0.2,6.9757125,1297.3908,976.46541,65.848472,1186.6581,211.99545
0.21,7.0023825,1297.2878,976.54246,65.797292,1186.7993,211.93042
0.22,7.0094625,1297.289,976.57158,65.916362,1186.8123,212.25716
0.23,7.0780125,1297.1614,976.53079,65.868132,1186.5359,212.81893
0.24,6.9872525,1297.3363,976.1081,65.307412,1186.3229,213.05816
0.25,6.9408825,1297.3464,975.89956,65.115622,1186.2635,213.25394
0.26,6.8306825,1297.3315,975.93275,65.155182,1186.3509,213.70183
0.27,6.8996725,1297.262,976.10175,65.375992,1186.3455,213.82165
0.28,7.0068725,1297.4037,976.14341,65.611282,1186.3394,213.58283
0.29,7.1256625,1297.5279,976.18945,66.042282,1186.3641,213.17228
0.3,7.1012425,1297.5136,976.116,66.223892,1186.5501,212.68769
0.31,6.9868325,1297.464,976.05464,66.332042,1186.8201,212.20557
0.32,6.8863725,1297.5248,975.84753,66.363162,1186.97,211.75944
0.33,6.8830025,1297.5553,975.83738,66.436342,1186.9407,211.65687
0.34,6.9762225,1297.6594,975.81492,66.636702,1186.7715,211.55766
0.35,6.9973725,1297.6975,975.7069,66.901322,1186.5702,211.39921
0.36,7.0172925,1297.6742,975.78148,67.124152,1186.3903,211.17716
0.37,6.9362125,1297.3646,976.17148,67.464182,1186.1463,211.30905
0.38,6.9614425,1297.3026,976.29261,67.922492,1186.1415,211.27913
0.39,7.0207525,1297.3578,976.36757,68.186572,1186.1863,211.13887
0.4,7.0279825,1297.4092,976.27182,68.597312,1186.2398,210.59908
0.41,7.0294325,1297.3412,976.19398,68.954022,1186.2912,209.96699
0.42,6.9140925,1297.3568,976.01303,69.462472,1186.3351,209.33564
0.43,6.9450325,1297.3211,975.98991,69.699722,1186.4551,208.80034
0.44,6.9312425,1297.4137,976.00253,70.133792,1186.5697,208.53564
0.45,7.0158025,1297.3895,976.12004,70.781422,1186.6664,208.21494
0.46,6.9748425,1297.3313,976.22465,71.231212,1186.6829,207.99376
0.47,7.0076425,1297.3888,976.26101,71.682482,1186.576,207.51031
0.48,7.0175825,1297.2996,976.42726,72.575422,1186.6799,207.3705
0.49,6.9170625,1297.2025,976.5088,73.864342,1187.1514,207.26261
0.5,7.0331625,1297.3275,976.42955,75.320542,1188.2233,206.41927
0.51,7.0390825,1297.4982,976.14302,76.598812,1189.7536,205.11921
0.52,6.7971925,1297.3545,976.16827,77.642792,1190.8399,204.52163
0.53,6.9082625,1297.2625,976.16667,78.215662,1191.6234,204.15373
0.54,6.9703025,1297.284,976.16322,78.744502,1192.1415,203.50632
0.55,6.9570325,1297.3043,976.27187,79.216832,1192.2375,203.37892
0.56,7.0893425,1297.3842,976.24794,80.222952,1192.1301,203.44697
0.57,6.8595825,1297.2488,976.15822,81.186572,1192.0057,204.05769
0.58,6.8337325,1297.2725,975.99487,81.571672,1191.8505,204.34866
0.59,6.9499625,1297.3447,975.87735,81.582952,1191.7677,204.42357
0.6,6.8725025,1297.2657,976.10568,81.223842,1191.5825,204.68976
0.61,6.9096225,1297.2588,976.39859,80.561932,1191.3538,205.1042
0.62,7.0274425,1297.3611,976.48403,80.587012,1191.0279,205.78715
0.63,7.0404825,1297.3903,976.37181,80.600352,1190.9017,207.01877
0.64,6.9680625,1297.2902,976.26833,80.420572,1190.8123,208.13795
0.65,6.8172525,1297.2544,976.12863,80.455732,1190.6645,209.37503
0.66,6.8590225,1297.2622,976.19803,80.122442,1190.2208,210.43112
