Time,postX,postY,postZ,wristX,wristY,wristZ
0,6.59911,1297.0935,976.54809,-76.41562,1193.5903,223.44869
0.01,6.51762,1297.0803,976.56322,-76.33689,1193.7329,223.53347
0.02,6.58595,1297.093,976.60046,-76.32131,1193.7394,223.55421
0.03,6.65306,1297.1345,976.47207,-76.38195,1193.5913,223.40353
0.04,6.65545,1297.1241,976.53598,-76.41361,1193.5843,223.43744
0.05,6.61078,1297.1188,976.58535,-76.42775,1193.5773,223.45111
0.06,6.59232,1297.098,976.52678,-76.43657,1193.6074,223.4539
0.07,6.50366,1297.0746,976.55098,-76.44088,1193.5715,223.44544
0.08,6.56919,1297.1138,976.46935,-76.30984,1193.7255,223.53269
0.09,6.64578,1297.105,976.51759,-76.43789,1193.5764,223.42886
0.1,6.60433,1297.1208,976.4972,-76.31009,1193.7437,223.51933
0.11,6.64664,1297.1298,976.5692,-76.38759,1193.5681,223.45134
0.12,6.55752,1297.0939,976.544,-76.29999,1193.7399,223.57841
0.13,6.56159,1297.0506,976.57319,-76.35771,1193.7267,223.5809
0.14,6.662,1297.0535,976.55601,-76.30542,1193.7216,223.57466
0.15,6.69446,1297.1034,976.62801,-76.37527,1193.5995,223.45528
0.16,6.69496,1297.13,976.52095,-76.27934,1193.7393,223.56845
0.17,6.65108,1297.1119,976.55228,-76.25587,1193.7483,223.58366
0.18,6.63371,1297.0577,976.54414,-76.38807,1193.5856,223.46052
0.19,6.63822,1297.1054,976.55575,-76.37339,1193.5871,223.46155
0.2,6.62187,1297.0672,976.54753,-76.35316,1193.5742,223.49304
0.21,6.55449,1297.0946,976.52035,-76.2431,1193.7514,223.52159
0.22,6.66683,1297.0737,976.56027,-76.24294,1193.7301,223.61906
0.23,6.64242,1297.114,976.55945,-76.37238,1193.5761,223.446
0.24,6.63285,1297.1154,976.53509,-76.28901,1193.7075,223.55483
0.25,6.59198,1297.0559,976.54991,-76.33479,1193.5761,223.4967
0.26,6.51372,1297.1244,976.56278,-76.23732,1193.7403,223.61835
0.27,6.63884,1297.0485,976.62736,-76.21839,1193.7141,223.63489
0.28,6.64808,1297.0873,976.58678,-76.24908,1193.7234,223.57665
0.29,6.62495,1297.0998,976.59133,-76.2354,1193.7165,223.62589
0.3,6.60356,1297.1199,976.52642,-76.23014,1193.7346,223.57416
0.31,6.68302,1297.1213,976.59932,-76.24128,1193.7228,223.58411
0.32,6.58168,1297.0639,976.56816,-76.25442,1193.7262,223.60758
0.33,6.5636,1297.1082,976.6061,-76.17256,1193.7084,223.63185
0.34,6.63254,1297.074,976.57173,-76.22278,1193.7184,223.60102
0.35,6.5886,1297.0932,976.55798,-76.23717,1193.7184,223.60124
0.36,6.57962,1297.1032,976.57391,-76.18794,1193.7478,223.6221
0.37,6.6205,1297.1096,976.57455,-76.23632,1193.7165,223.62017
0.38,6.56667,1297.1003,976.5678,-76.25949,1193.7139,223.62246
0.39,6.59138,1297.0535,976.59411,-76.23369,1193.7059,223.6047
0.4,6.61399,1297.101,976.55433,-76.32968,1193.5655,223.45782
0.41,6.6718,1297.0641,976.58989,-76.31585,1193.5771,223.49563
0.42,6.60251,1297.0775,976.5737,-76.33943,1193.5619,223.51926
0.43,6.53672,1297.074,976.58859,-76.23047,1193.7211,223.62446
0.44,6.61006,1297.0561,976.55585,-76.21628,1193.7259,223.58799
0.45,6.61736,1297.0316,976.60838,-76.19181,1193.7127,223.663
0.46,6.57723,1297.0941,976.61277,-76.17065,1193.7299,223.62898
0.47,6.58936,1297.092,976.64413,-76.16286,1193.7509,223.67713
0.48,6.57897,1297.0908,976.59299,-76.14954,1193.7313,223.70479
0.49,6.6147,1297.1439,976.53281,-76.1614,1193.7369,223.61551
0.5,6.64737,1297.1168,976.56059,-76.17216,1193.7496,223.61448
0.51,6.60241,1297.1101,976.5835,-76.18581,1193.7125,223.62654
0.52,6.64165,1296.9975,976.62402,-76.11911,1193.6713,223.65257
0.53,6.59467,1296.8645,976.89634,-75.88658,1193.7242,223.42361
0.54,6.69324,1297.0279,976.71104,-75.53945,1194.0212,222.1897
0.55,6.69934,1297.0735,976.63025,-75.26109,1194.6115,221.06104
0.56,6.61124,1297.0465,976.64103,-74.69385,1194.9865,219.81701
0.57,6.5462,1296.9724,976.71974,-74.22088,1195.244,218.85331
0.58,6.60101,1296.5014,977.4918,-74.49403,1195.1119,218.66633
