Time,postX,postY,postZ,wristX,wristY,wristZ
0,6.6557125,1297.0956,976.564,-17.898398,1198.762,330.11591
0.01,6.6431925,1297.097,976.54441,-17.970118,1198.6413,330.04864
0.02,6.7169425,1297.1286,976.51322,-17.954348,1198.6338,330.03004
0.03,6.6777325,1297.1039,976.54095,-17.934128,1198.5986,330.09002
0.04,6.6043525,1297.1029,976.61002,-17.922608,1198.6381,330.0808
0.05,6.5755425,1297.1297,976.57527,-17.936478,1198.7323,330.1168
0.06,6.5910925,1297.1218,976.50448,-17.952238,1198.632,330.05761
0.07,6.6812425,1297.1059,976.57141,-17.946118,1198.6034,330.04942
0.08,6.6369125,1297.0914,976.48172,-17.951238,1198.6364,330.01963
0.09,6.6723325,1297.1367,976.47005,-17.967458,1198.6504,329.98044
0.1,6.6384225,1297.1236,976.57235,-17.963728,1198.6211,330.0562
0.11,6.7292925,1297.108,976.62413,-17.900948,1198.5824,330.1095
0.12,6.7193725,1297.1067,976.62278,-17.907008,1198.6482,330.09916
0.13,6.6827525,1297.1125,976.59252,-17.926418,1198.6458,330.04541
0.14,6.6013025,1297.1181,976.48537,-17.934898,1198.6349,330.02498
0.15,6.6899725,1297.1313,976.54945,-17.933888,1198.6453,330.03261
0.16,6.6931825,1297.1145,976.59614,-17.916778,1198.6354,330.07972
0.17,6.6459725,1297.1092,976.50909,-17.901408,1198.6231,330.06272
0.18,6.6780625,1297.0854,976.59963,-17.934668,1198.6283,330.05815
0.19,6.6882725,1297.112,976.53266,-17.927218,1198.6382,330.05642
0.2,6.7466325,1297.1111,976.53247,-17.910648,1198.6463,330.04215
0.21,6.6133325,1297.1222,976.51423,-17.925998,1198.6354,330.03501
0.22,6.6344825,1297.1315,976.60657,-17.938748,1198.6187,330.06353
0.23,6.7268025,1297.0999,976.61462,-17.917068,1198.6269,330.08608
0.24,6.6417525,1297.1038,976.57095,-17.921318,1198.6297,330.07768
0.25,6.7220725,1297.1323,976.5546,-17.906018,1198.6562,330.02877
0.26,6.6433925,1297.1632,976.48108,-17.912668,1198.6767,329.98726
0.27,6.6702525,1297.1062,976.503,-17.963888,1198.6271,330.017
0.28,6.5923125,1297.1058,976.49872,-17.938928,1198.6253,330.00773
0.29,6.6595725,1297.1287,976.57058,-17.936578,1198.6448,330.01929
0.3,6.6571825,1297.0716,976.58364,-17.896598,1198.614,330.11944
0.31,6.6281525,1297.1253,976.52666,-17.902028,1198.7623,330.0729
0.32,6.6846625,1297.1651,976.53003,-17.920268,1198.6625,330.03582
0.33,6.6737825,1297.1181,976.51967,-17.888828,1198.7,330.08952
0.34,6.6848325,1297.122,976.56943,-17.937358,1198.6145,330.05619
0.35,6.6407725,1297.091,976.6006,-17.900818,1198.6286,330.09332
0.36,6.7042925,1297.1095,976.53888,-17.923678,1198.6549,330.06201
0.37,6.6334425,1297.1134,976.53331,-17.929468,1198.6296,330.07294
0.38,6.6818125,1297.1484,976.49699,-17.939358,1198.6342,329.9936
0.39,6.7198425,1297.1308,976.54275,-17.922718,1198.652,330.03407
0.4,6.7050125,1297.1427,976.57953,-17.917088,1198.6285,330.06088
0.41,6.6569525,1297.1089,976.5916,-17.921068,1198.6221,330.07577
0.42,6.5754825,1296.9932,976.67535,-17.927198,1198.5892,330.10393
0.43,6.6160725,1297.098,976.62029,-17.802528,1198.5534,329.90717
0.44,6.6930325,1297.1807,976.47757,-17.493128,1198.2098,329.29098
0.45,6.6010025,1297.0305,976.5395,-17.507568,1197.6249,328.63189
0.46,6.6249925,1297.0263,976.634,-17.524368,1196.6044,328.01897
0.47,6.7093725,1297.1176,976.67781,-17.111718,1195.431,327.55337
0.48,6.6847125,1297.0907,976.66874,-16.972718,1194.1049,327.203
0.49,6.6909225,1297.0662,976.61377,-17.310678,1192.7474,326.54302
0.5,6.5716425,1297.0536,976.64783,-17.726778,1191.3671,325.80362
0.51,6.6833025,1296.9633,976.8047,-18.584168,1190.0269,324.83604
0.52,6.6884125,1297.0249,976.7329,-19.139978,1188.8161,323.67983
0.53,6.7583025,1297.0401,976.75018,-19.485638,1187.582,322.45125
0.54,6.7099325,1296.9674,976.78294,-19.615658,1186.3502,321.30384
0.55,6.6520825,1296.9638,976.70963,-19.798578,1184.7318,320.02109
0.56,6.7290425,1297.047,976.64795,-19.613208,1183.5166,318.92084
0.57,6.6090125,1297.0057,976.65178,-20.240718,1182.0161,317.80348
0.58,6.6442325,1297.0145,976.74435,-20.976538,1181.0552,316.35019
0.59,6.6219025,1296.9766,976.77811,-22.308198,1179.9362,314.73546
0.6,6.6072125,1297.0109,976.71656,-24.000498,1179.1029,312.9495
0.61,6.6690925,1296.9839,976.72904,-25.340238,1178.1221,311.38963
0.62,6.6791925,1297.0387,976.72804,-26.329168,1176.9777,309.86392
0.63,6.5900225,1296.9407,976.80561,-27.028268,1176.1359,308.82414
0.64,6.5710925,1296.7344,977.05047,-27.746698,1175.2033,307.7427
0.65,6.6608025,1296.7587,976.97332,-28.745958,1174.3263,306.24545
0.66,6.6534925,1296.7111,976.97056,-29.787428,1173.3879,304.86588
0.67,6.6467625,1296.8568,976.7724,-30.644218,1172.8301,303.48223
0.68,6.5930925,1296.6204,977.005,-31.737918,1172.3758,302.425
0.69,6.6077225,1296.5753,977.15779,-32.795908,1171.9554,301.27103
0.7,6.6526625,1296.4937,977.39334,-33.754708,1170.9394,300.07714
0.71,6.6278425,1296.3178,977.59696,-34.005698,1170.5249,299.82441
0.72,6.6361625,1296.3424,977.57448,-34.547198,1170.0596,298.50366
0.73,6.6934425,1296.367,977.54135,-34.660598,1169.8999,297.74173
0.74,6.7000225,1296.4351,977.58034,-35.129848,1169.5433,296.64326
0.75,6.6628525,1296.4439,977.54938,-35.349758,1169.3705,295.8168
0.76,6.5963525,1296.3589,977.6652,-35.779808,1169.1347,295.0504
0.77,6.6065125,1296.5012,977.38572,-36.275628,1169.0553,293.86621
0.78,6.6381825,1296.6123,977.30983,-36.390458,1169.369,293.59036
0.79,6.7869625,1296.8266,976.98286,-36.697048,1170.3848,293.18546
0.8,6.8017825,1296.9518,976.82826,-37.217508,1171.8387,293.14476
0.81,6.5909125,1296.9742,976.6876,-37.932508,1173.4931,292.60506
0.82,6.4861225,1296.8406,976.72609,-38.870028,1174.5114,291.3884
0.83,6.5497025,1296.9067,976.70223,-39.530858,1175.6351,289.58887
0.84,6.6206025,1296.9111,976.65422,-40.479588,1176.4721,287.77526
0.85,6.6733925,1296.9816,976.70589,-41.294638,1176.973,286.36816
0.86,6.7265725,1296.8862,976.84189,-41.770268,1177.2861,285.86058
0.87,6.6187025,1296.9437,976.78685,-41.665108,1177.3842,285.44938
0.88,6.6800525,1297.0093,976.69524,-41.599148,1177.6088,283.90757
0.89,6.7231125,1296.9739,976.79402,-40.774768,1178.1076,282.80783
0.9,6.6769925,1296.9881,976.9864,-40.160718,1178.5373,282.02928
0.91,6.7327225,1297.0554,977.02118,-39.490978,1178.6417,281.32632
0.92,6.8269625,1297.0432,976.86621,-39.292918,1178.4628,281.24843
0.93,6.6675825,1297.0393,976.58858,-39.311028,1178.2359,281.19557
0.94,6.5573625,1297.0079,976.45326,-39.327188,1177.8585,281.01308
0.95,6.6215525,1297.0396,976.44917,-39.127058,1177.8204,280.91858
0.96,6.6869425,1297.1017,976.51674,-38.756038,1177.8655,280.54392
