Time,postX,postY,postZ,wristX,wristY,wristZ
0,35.712332,1283.9732,986.90641,-53.120318,1188.8876,352.47991
0.01,35.748112,1283.9375,986.94806,-53.135098,1188.8781,352.52771
0.02,35.772942,1283.9569,986.98135,-53.137318,1188.8895,352.53782
0.03,35.769872,1283.9647,986.9274,-53.146128,1188.8978,352.46935
0.04,35.793472,1283.9406,986.97069,-53.147438,1188.9044,352.51625
0.05,35.737492,1283.9999,986.90158,-53.114578,1188.8922,352.44363
0.06,35.693452,1283.9556,986.97023,-53.113668,1188.8716,352.49537
0.07,35.779812,1283.9117,986.98444,-53.121448,1188.8688,352.50339
0.08,35.800982,1283.9385,986.97501,-53.126948,1188.8704,352.50138
0.09,35.685072,1283.9226,986.97641,-53.107538,1188.8675,352.50979
0.1,35.774892,1283.9594,986.90251,-53.101048,1189.0042,352.52577
0.11,35.767042,1283.9188,986.94133,-53.086558,1188.8675,352.50427
0.12,35.796322,1283.979,986.88937,-53.118018,1188.8749,352.4711
0.13,35.741952,1283.9582,986.95229,-53.117638,1188.8779,352.50797
0.14,35.778912,1283.9733,986.96416,-53.127528,1188.9011,352.49964
0.15,35.774452,1283.9814,986.91127,-53.140888,1188.8918,352.46037
0.16,35.725142,1283.932,986.99295,-53.079578,1188.8644,352.51212
0.17,35.716472,1283.9724,986.98567,-53.105258,1188.8988,352.47576
0.18,35.728202,1283.9996,986.91529,-53.119958,1188.8905,352.46877
0.19,35.760132,1284.0219,986.92616,-53.115488,1188.8899,352.43573
0.2,35.788282,1283.9128,986.99365,-53.087878,1188.896,352.48696
0.21,35.720472,1283.9139,987.0037,-53.099878,1188.8559,352.51682
0.22,35.777542,1283.9344,986.92523,-53.091668,1188.8691,352.46893
0.23,35.738142,1283.9535,986.94366,-53.084918,1188.8653,352.47674
0.24,35.728072,1283.928,986.95738,-53.102658,1188.9668,352.60261
0.25,35.749122,1283.9662,986.93829,-53.110948,1188.8638,352.50197
0.26,35.738062,1283.912,986.97056,-53.102568,1188.8541,352.51425
0.27,35.736162,1283.9212,986.97002,-53.084188,1188.8552,352.49856
0.28,35.701592,1283.9267,986.97846,-53.084548,1188.9556,352.61936
0.29,35.733542,1283.9085,986.92625,-53.050278,1188.9666,352.59032
0.3,35.732062,1283.9496,986.93553,-53.057178,1188.9511,352.56164
0.31,35.769312,1283.9788,986.89138,-53.048758,1188.8968,352.40741
0.32,35.738422,1283.9253,986.93828,-53.056668,1188.9417,352.56748
0.33,35.775332,1283.9245,986.92748,-53.079058,1188.9464,352.57564
0.34,35.770152,1283.9685,986.92802,-53.043498,1188.9316,352.56885
0.35,35.767102,1283.972,986.92953,-53.036528,1188.8804,352.43076
0.36,35.755852,1283.9228,986.92913,-53.052998,1188.9235,352.61016
0.37,35.810892,1283.9065,986.96021,-53.042558,1188.8585,352.48364
0.38,35.760122,1283.9377,986.94267,-53.042178,1188.9354,352.56653
0.39,35.726472,1283.8572,986.99194,-52.987628,1188.9228,352.65395
0.4,35.784192,1283.9659,986.93975,-53.046208,1189.0996,352.59207
0.41,35.770532,1283.9766,986.93854,-52.976748,1188.9204,352.55729
0.42,35.720672,1283.9264,986.92775,-52.970308,1188.91,352.59174
0.43,35.702662,1283.9512,986.87485,-52.971478,1188.9075,352.55198
0.44,35.780522,1283.8822,986.9905,-52.955688,1188.8723,352.68444
0.45,35.710412,1283.9371,986.95145,-52.944138,1189.0415,352.66974
0.46,35.786362,1283.9512,986.91462,-52.903428,1188.8588,352.66439
0.47,35.754052,1284.0208,986.90138,-52.856008,1188.8592,352.68529
0.48,35.714112,1283.9892,986.87261,-52.816958,1188.8593,352.68132
0.49,35.723402,1283.9451,986.89453,-52.789358,1188.8121,352.76428
0.5,35.716012,1283.9489,986.93942,-52.789298,1188.7559,352.93345
0.51,35.744002,1283.9817,986.92707,-52.733928,1188.7867,352.94553
0.52,35.809452,1283.9828,986.93276,-52.656628,1188.7745,352.85763
0.53,35.763702,1283.966,986.94255,-52.556088,1188.7822,352.89532
0.54,35.733042,1283.9618,986.91635,-52.481318,1188.8007,352.96951
0.55,35.731242,1283.9853,986.92938,-52.439648,1188.8045,352.89026
0.56,35.776342,1283.9665,986.93958,-52.374778,1188.814,353.05472
0.57,35.741342,1283.9397,986.98377,-52.285658,1188.7769,353.01315
0.58,35.717712,1283.9603,986.90425,-52.189578,1188.8072,353.01108
0.59,35.675492,1283.9296,986.9504,-52.085978,1188.7746,353.16689
0.6,35.763652,1283.9921,986.85312,-52.064078,1188.7806,353.09557
0.61,35.769142,1283.9649,986.94249,-52.004888,1188.7626,353.15173
0.62,35.750972,1284.0078,986.88357,-51.864948,1188.7805,353.18831
0.63,35.777432,1283.999,986.88153,-51.840198,1188.7804,353.18323
0.64,35.726722,1283.9665,986.87047,-51.599008,1188.7657,353.20292
0.65,35.754872,1283.9864,986.87986,-51.450838,1188.7538,353.2986
0.66,35.735302,1283.9066,986.99017,-51.559908,1188.7836,353.37968
0.67,35.767392,1283.9613,986.92926,-51.514968,1188.8096,353.35715
0.68,35.709562,1283.9841,986.96991,-51.424978,1188.8294,353.39859
0.69,35.728812,1283.9437,986.92964,-51.234468,1188.773,353.51531
0.7,35.736392,1283.9725,986.92036,-51.101168,1188.7549,353.52958
0.71,35.756882,1283.9681,986.88597,-50.937838,1188.721,353.54003
0.72,35.763172,1283.9865,986.86727,-50.879318,1188.7442,353.57373
0.73,35.719832,1283.9436,986.93233,-50.806928,1188.6824,353.68374
0.74,35.757602,1284.0077,986.91023,-50.810988,1188.8743,353.60236
0.75,35.812932,1283.9588,986.92181,-50.756228,1188.8257,353.62828
0.76,35.742172,1283.9451,986.95739,-50.570798,1188.8533,353.67994
0.77,35.743312,1283.9271,986.97971,-50.445188,1188.8804,353.65636
0.78,35.792572,1283.9527,986.94765,-50.365138,1188.9087,353.65672
0.79,35.678992,1283.9482,986.92909,-50.307088,1188.8875,353.62662
0.8,35.699782,1283.9039,986.98638,-50.194518,1188.8707,353.70485
0.81,35.752212,1283.9751,986.8851,-50.141278,1188.8846,353.59474
0.82,35.709902,1283.9511,986.96093,-50.049888,1188.851,353.67835
0.83,35.762632,1283.9799,986.82823,-50.040848,1188.8835,353.60622
0.84,35.711972,1284.0037,986.87994,-50.033388,1188.8848,353.57554
0.85,35.751642,1283.9979,986.91108,-49.986788,1188.8598,353.5994
0.86,35.718382,1283.925,986.97233,-49.957218,1188.8456,353.66619
0.87,35.754202,1283.9694,986.89398,-49.907078,1188.8502,353.62314
0.88,35.756862,1283.9395,986.95306,-49.902278,1188.825,353.66164
0.89,35.740832,1284.002,986.94951,-49.893378,1188.8498,353.62417
0.9,35.725432,1283.9631,986.90541,-49.901988,1188.8444,353.65104
0.91,35.704232,1283.9892,986.91223,-49.887558,1188.8557,353.64875
0.92,35.705232,1283.9101,986.92433,-49.898198,1188.8162,353.68073
0.93,35.767092,1283.9185,986.92735,-49.906138,1188.8253,353.6965
0.94,35.742792,1284.0013,986.90094,-49.920238,1188.8397,353.68867
0.95,35.758722,1283.932,986.94339,-50.072538,1188.594,353.69148
0.96,35.733792,1283.9638,986.9263,-49.935848,1188.8388,353.72626
0.97,35.791122,1283.9411,986.90887,-49.962298,1188.8109,353.73394
0.98,35.736142,1283.9024,986.9579,-50.146008,1188.8223,353.56567
0.99,35.732662,1283.9772,986.95504,-49.975298,1188.8085,353.75336
1,35.739152,1283.9959,986.90502,-49.981258,1188.826,353.72514
1.01,35.733552,1283.9842,986.94993,-49.988828,1188.837,353.76183
1.02,35.708222,1283.9436,986.93278,-49.974648,1188.832,353.76228
1.03,35.709202,1283.9808,986.89969,-49.947738,1188.8152,353.74097
1.04,35.719802,1283.93,986.90459,-50.164338,1188.8573,353.61275
1.05,35.755442,1283.9087,986.98266,-50.173928,1188.8598,353.66287
1.06,35.735822,1284.003,986.88419,-50.028938,1188.8424,353.72347
1.07,35.728562,1284.0119,986.90007,-50.025898,1188.8148,353.78215
1.08,35.711322,1283.9294,986.96227,-50.002398,1188.8139,353.78521
1.09,35.760432,1283.9158,986.92182,-50.106778,1188.5882,353.65405
1.1,35.730632,1283.9343,986.96948,-49.997108,1188.8211,353.76916
1.11,35.776862,1283.932,986.96897,-49.999198,1188.8068,353.7865
1.12,35.741542,1283.9594,986.94638,-49.967268,1188.821,353.74667
1.13,35.752182,1283.8981,987.00437,-50.002118,1188.8076,353.79303
1.14,35.726642,1283.9114,987.00912,-49.990688,1188.8164,353.77583
1.15,35.713792,1283.9091,986.96027,-50.144258,1188.8216,353.59456
1.16,35.781982,1283.9152,987.00964,-49.973398,1188.7856,353.83896
1.17,35.717572,1283.9682,986.92207,-50.059528,1188.6035,353.63616
1.18,35.742462,1283.9421,986.96237,-50.056488,1188.5984,353.64834
1.19,35.737672,1283.946,986.958,-50.036808,1188.5987,353.63974
1.2,35.690642,1283.9285,986.93784,-49.919268,1188.7966,353.73182
1.21,35.724682,1283.9425,986.92227,-50.019818,1188.6096,353.60339
1.22,35.749692,1283.9935,986.92386,-50.024548,1188.5966,353.62014
1.23,35.774102,1283.9997,986.95648,-50.022838,1188.5947,353.61381
1.24,35.701622,1283.9544,986.93115,-50.016308,1188.5889,353.61665
1.25,35.790652,1283.963,986.92439,-50.017398,1188.5928,353.59826
1.26,35.692532,1283.9721,986.88376,-50.014088,1188.5946,353.5934
1.27,35.749122,1283.9792,986.90599,-50.019798,1188.5906,353.59394
1.28,35.791572,1283.9957,986.89257,-49.862288,1188.8237,353.72152
1.29,35.755362,1283.9665,986.90537,-49.883998,1188.8107,353.72807
1.3,35.747002,1283.954,986.93509,-50.001888,1188.5779,353.61448
1.31,35.753652,1283.9501,986.93808,-49.860578,1188.7873,353.73501
1.32,35.712692,1283.976,986.89378,-50.002978,1188.5996,353.58547
1.33,35.771362,1283.9293,986.98318,-50.013608,1188.5725,353.64895
1.34,35.748662,1283.8999,986.97386,-50.027338,1188.5657,353.65399
1.35,35.713602,1283.9044,987.00916,-49.908688,1188.7864,353.82549
1.36,35.684562,1283.9183,987.00893,-49.887108,1188.776,353.78014
1.37,35.682492,1283.9715,986.94285,-49.911258,1188.7837,353.7412
1.38,35.764682,1283.941,986.94946,-49.887798,1188.7833,353.79084
1.39,35.724532,1283.9697,986.93509,-50.026058,1188.5837,353.62527
1.4,35.693772,1283.9444,986.93163,-50.001898,1188.5998,353.6453
1.41,35.758112,1283.9521,986.94392,-49.884978,1188.7881,353.73595
1.42,35.780372,1283.9769,986.88451,-50.028108,1188.5767,353.59163
1.43,35.702252,1283.913,986.95785,-49.912618,1188.7786,353.81043
1.44,35.709762,1283.9786,986.92045,-49.877998,1188.7933,353.791
1.45,35.706252,1283.9621,986.95553,-50.051038,1188.5849,353.65344
1.46,35.763802,1283.9426,986.97322,-50.058398,1188.5845,353.65579
1.47,35.769472,1283.9662,986.90897,-49.914708,1188.7947,353.72505
1.48,35.761542,1283.9451,986.95133,-50.036978,1188.5803,353.6165
1.49,35.720742,1283.9569,986.95249,-50.040178,1188.5893,353.65036
1.5,35.704312,1283.9602,986.94524,-49.905688,1188.7894,353.7958
1.51,35.685542,1283.9432,986.95357,-50.035258,1188.6007,353.61659
1.52,35.763352,1283.9457,986.95302,-49.929238,1188.7967,353.75307
1.53,35.722182,1283.9363,986.94524,-49.871808,1188.7711,353.7656
1.54,35.751312,1283.9347,986.93545,-50.027918,1188.5719,353.64802
1.55,35.722012,1283.9827,986.90754,-50.045198,1188.5719,353.62115
1.56,35.767992,1283.9944,986.91099,-49.895688,1188.7956,353.77719
1.57,35.760722,1283.9742,986.92965,-50.030568,1188.5834,353.61979
1.58,35.730382,1283.9618,986.93071,-49.882778,1188.7724,353.78247
1.59,35.767302,1283.9124,986.9896,-50.023748,1188.5694,353.67542
1.6,35.721292,1283.9515,986.91357,-49.999818,1188.5911,353.61627
1.61,35.749802,1284,986.95052,-50.024988,1188.5883,353.61783
1.62,35.719072,1284.0011,986.90234,-49.881518,1188.8187,353.70614
1.63,35.706382,1283.9567,986.93893,-49.889568,1188.8025,353.75184
1.64,35.697182,1283.9415,986.92233,-50.009888,1188.5712,353.63518
1.65,35.684812,1283.9592,986.97174,-50.008548,1188.5581,353.63459
1.66,35.751182,1283.9451,986.96094,-50.017008,1188.5658,353.66136
1.67,35.775992,1283.951,986.9763,-49.885478,1188.8009,353.77715
1.68,35.766912,1283.9458,986.95738,-50.016598,1188.5709,353.64831
1.69,35.698732,1283.9156,986.93589,-50.004928,1188.5535,353.64818
1.7,35.762662,1283.9344,986.91343,-49.994138,1188.5812,353.59926
1.71,35.717092,1283.9657,986.93805,-50.012568,1188.5969,353.60323
1.72,35.725592,1283.9649,986.94127,-50.005808,1188.59,353.62109
1.73,35.701702,1283.9765,986.94366,-49.997358,1188.588,353.6433
1.74,35.733892,1283.972,986.92957,-49.997288,1188.5865,353.60817
1.75,35.680092,1283.9366,986.9773,-49.851768,1188.7894,353.77506
1.76,35.790662,1283.9969,986.93445,-49.865898,1188.8185,353.73399
1.77,35.703092,1283.9313,986.99785,-50.009588,1188.5615,353.70536
1.78,35.767822,1283.9858,986.92454,-50.013178,1188.5794,353.66356
1.79,35.723542,1283.9405,986.99754,-49.994838,1188.5566,353.67687
1.8,35.752372,1283.9203,986.97134,-50.000898,1188.5526,353.68445
1.81,35.700812,1283.9343,986.92069,-49.863778,1188.7681,353.77365
1.82,35.691502,1283.9434,986.9489,-50.008198,1188.5894,353.64546
1.83,35.634612,1283.9537,987.02689,-50.010098,1188.5554,353.69058
1.84,35.685352,1283.9655,986.89367,-50.040068,1188.5791,353.61312
1.85,35.695192,1283.9578,986.94045,-50.023888,1188.5785,353.66108
1.86,35.738282,1283.9798,986.94824,-50.003478,1188.5701,353.61384
1.87,35.691292,1283.9378,986.95592,-50.004048,1188.5733,353.64822
1.88,35.759362,1284.0095,986.90503,-50.095858,1188.5988,353.47544
1.89,35.675312,1283.9331,986.97486,-50.029848,1188.5725,353.66909
1.9,35.781012,1283.9447,986.96983,-50.004518,1188.5533,353.71541
1.91,35.759732,1284.0082,986.87242,-50.028378,1188.5715,353.60744
1.92,35.779252,1283.9608,986.94466,-50.014818,1188.5839,353.66672
1.93,35.755722,1283.9756,986.92957,-50.027328,1188.5855,353.62401
1.94,35.759802,1284.0154,986.92495,-50.027288,1188.5868,353.62504
1.95,35.773222,1284.0307,986.93332,-49.904698,1188.7968,353.73823
1.96,35.747262,1283.9764,986.93078,-49.886418,1188.7825,353.75386
1.97,35.764062,1283.9794,986.92127,-50.013738,1188.583,353.60583
1.98,35.774772,1283.947,986.96891,-50.003108,1188.5699,353.64877
1.99,35.786832,1283.9829,986.94214,-50.019328,1188.5831,353.62546
2,35.739222,1283.9824,986.91105,-49.878398,1188.7917,353.73306
2.01,35.749272,1283.9339,986.95654,-50.010738,1188.5599,353.64605
2.02,35.704762,1283.9247,986.95695,-49.998678,1188.5697,353.63263
2.03,35.719512,1283.9722,986.91872,-49.861048,1188.7732,353.76974
2.04,35.741512,1284.0301,986.88129,-49.826358,1188.8024,353.71929
2.05,35.764682,1283.9875,986.9128,-50.086378,1188.5916,353.45894
2.06,35.771602,1284.0015,986.88995,-49.985008,1188.5855,353.60262
2.07,35.729132,1283.9518,986.92602,-49.991638,1188.5708,353.63494
2.08,35.743542,1283.9087,986.9288,-49.979668,1188.5566,353.63814
2.09,35.728332,1283.9383,986.95945,-49.830978,1188.7853,353.77998
2.1,35.805962,1283.9801,986.98178,-49.861638,1188.7953,353.79145
2.11,35.762382,1283.9736,986.89483,-49.999428,1188.5825,353.60619
2.12,35.796172,1284.0253,986.87189,-49.977968,1188.5738,353.63029
2.13,35.769742,1283.9794,986.92813,-49.867978,1188.7939,353.75097
2.14,35.729422,1283.9815,986.90636,-49.994628,1188.5822,353.62033
2.15,35.785892,1283.9607,986.94047,-50.006618,1188.5786,353.66095
2.16,35.731472,1283.9838,986.90511,-50.021918,1188.5898,353.61724
2.17,35.733082,1284.0171,986.92896,-50.020428,1188.5813,353.62472
2.18,35.745772,1283.9456,986.93345,-49.856158,1188.7713,353.77396
2.19,35.707952,1283.932,986.95746,-50.002738,1188.5678,353.6589
2.2,35.713082,1283.9438,986.95998,-49.872468,1188.7876,353.80022
2.21,35.742762,1283.9717,986.98509,-49.993778,1188.5729,353.63229
2.22,35.702892,1284.0131,986.89562,-50.027468,1188.5889,353.5979
2.23,35.747382,1283.969,986.93351,-49.839378,1188.7768,353.76572
2.24,35.729442,1283.9619,986.95842,-50.015248,1188.5698,353.64637
2.25,35.716372,1283.9177,987.02214,-49.881908,1188.7748,353.80402
2.26,35.763902,1283.9411,986.9719,-49.888088,1188.7832,353.78484
2.27,35.753612,1284.0067,986.94873,-50.021618,1188.57,353.65825
2.28,35.723572,1283.9654,986.94453,-49.992918,1188.5884,353.63028
2.29,35.749782,1283.9532,986.96777,-50.001658,1188.5672,353.66501
2.3,35.724392,1283.9696,986.90604,-49.859168,1188.8142,353.75934
2.31,35.751752,1284.0101,986.90887,-50.100488,1188.5864,353.4829
2.32,35.748322,1283.9769,986.91118,-50.021338,1188.5917,353.62801
2.33,35.758672,1283.9281,986.97081,-50.032668,1188.566,353.67902
2.34,35.764312,1284.0098,986.89892,-50.011868,1188.5874,353.58418
2.35,35.729202,1283.9235,986.98667,-50.020308,1188.5688,353.65173
2.36,35.754172,1283.9871,986.91311,-50.020788,1188.598,353.61112
2.37,35.702832,1283.9939,986.94019,-49.866848,1188.8065,353.76741
2.38,35.767192,1283.99,986.90157,-50.007858,1188.5649,353.61729
2.39,35.750482,1283.9901,986.9346,-49.878498,1188.7941,353.73632
2.4,35.741422,1283.9605,986.94009,-49.865498,1188.7719,353.7275
2.41,35.767862,1284.02,986.86297,-49.892418,1188.8221,353.68998
2.42,35.734142,1283.9438,986.98207,-49.892748,1188.7759,353.81611
2.43,35.686202,1283.9456,986.95749,-49.869348,1188.8038,353.7599
2.44,35.730652,1283.9462,986.96116,-49.872688,1188.7877,353.74891
2.45,35.758922,1283.9361,986.94286,-50.022038,1188.5763,353.6106
2.46,35.755182,1283.9321,986.97564,-50.024498,1188.559,353.66293
2.47,35.759372,1283.972,986.9397,-50.000698,1188.5814,353.60281
2.48,35.797082,1283.9982,986.93979,-50.001958,1188.5755,353.64335
2.49,35.760692,1283.9752,986.95097,-50.004598,1188.5871,353.62361
2.5,35.763442,1283.9522,986.92991,-50.008788,1188.5663,353.6451
2.51,35.680822,1283.9583,986.90623,-50.021688,1188.5738,353.62753
2.52,35.764682,1283.9578,986.95175,-50.018388,1188.5629,353.63678
2.53,35.712062,1283.9047,986.99986,-50.009758,1188.5619,353.68777
2.54,35.770482,1283.9392,986.95069,-50.009268,1188.5739,353.65879
