Time,postX,postY,postZ,wristX,wristY,wristZ
0,35.416067,1284.1476,986.85293,8.3815175,1190.358,247.71816
0.01,35.423997,1284.0434,986.89069,8.4152075,1190.3658,247.7895
0.02,35.438137,1284.1063,986.84334,8.4230175,1190.3496,247.75766
0.03,35.413857,1284.1066,986.88967,8.3250575,1190.5492,247.63745
0.04,35.421657,1284.129,986.87944,8.3952475,1190.3941,247.73814
0.05,35.406337,1284.1287,986.84673,8.3867875,1190.3548,247.72664
0.06,35.413017,1284.0379,986.92385,8.4293075,1190.3885,247.81034
0.07,35.434327,1284.1073,986.86616,8.3944375,1190.3729,247.72283
0.08,35.399527,1284.1129,986.87929,8.4226675,1190.4038,247.7408
0.09,35.424347,1284.167,986.81688,8.4035075,1190.3932,247.70604
0.1,35.439787,1284.2444,986.78821,8.3977175,1190.3676,247.66393
0.11,35.468707,1284.1814,986.88765,8.4129875,1190.3715,247.74157
0.12,35.463737,1284.2032,986.81645,8.4494075,1190.3777,247.69429
0.13,35.427067,1284.182,986.80774,8.4367875,1190.4245,247.68481
0.14,35.457807,1284.1861,986.78352,8.4663975,1190.3964,247.65188
0.15,35.433577,1284.132,986.91657,8.4060375,1190.3621,247.74402
0.16,35.438797,1284.1753,986.86079,8.3723175,1190.3452,247.71883
0.17,35.426757,1284.1568,986.82638,8.3994975,1190.3604,247.65454
0.18,35.445487,1284.2143,986.77018,8.4267275,1190.4018,247.63015
0.19,35.428867,1284.1062,986.90335,8.3908675,1190.3504,247.70303
0.2,35.394137,1284.1222,986.8895,8.3664975,1190.3672,247.73064
0.21,35.456467,1284.1222,986.91272,8.3983975,1190.3711,247.67524
0.22,35.442757,1284.1162,986.88826,8.4126675,1190.3578,247.76417
0.23,35.436617,1284.115,986.87403,8.4273775,1190.3919,247.71386
0.24,35.421827,1284.0725,986.89115,8.4301175,1190.3697,247.76424
0.25,35.402577,1284.1105,986.84283,8.3778975,1190.3806,247.74688
0.26,35.407357,1284.2076,986.67489,8.4131475,1190.4002,247.59359
0.27,35.421367,1284.1162,986.9351,8.4294375,1190.372,247.74002
0.28,35.399967,1284.1887,986.75206,8.3996575,1190.3773,247.66051
0.29,35.417807,1284.146,986.80988,8.4124775,1190.3921,247.69964
0.3,35.387077,1284.1319,986.845,8.4298575,1190.4213,247.73867
0.31,35.467087,1284.1195,986.92976,8.4424075,1190.3858,247.77263
0.32,35.399887,1284.1245,986.84132,8.4389775,1190.4057,247.74419
0.33,35.422187,1284.1114,986.87222,8.4709675,1190.4168,247.79116
0.34,35.432337,1284.1454,986.79006,8.4456675,1190.4086,247.68322
0.35,35.473787,1284.1349,986.83861,8.4729475,1190.3808,247.71016
0.36,35.437997,1284.0817,986.91355,8.4518175,1190.4088,247.77125
0.37,35.411057,1284.1694,986.79942,8.4569775,1190.4073,247.67944
0.38,35.426517,1284.1148,986.83522,8.4414275,1190.4124,247.78809
0.39,35.434767,1284.1048,986.88188,8.3641075,1190.5573,247.66729
0.4,35.492887,1284.1534,986.80813,8.4006875,1190.4069,247.6405
0.41,35.426667,1284.1302,986.8601,8.4377175,1190.374,247.72301
0.42,35.392977,1284.0947,986.86092,8.4403575,1190.4092,247.72879
0.43,35.415567,1284.0961,986.90122,8.3914075,1190.3808,247.77144
0.44,35.455847,1284.1655,986.85793,8.4426675,1190.4298,247.74115
0.45,35.444127,1284.1599,986.76472,8.3889675,1190.5741,247.63763
0.46,35.491947,1284.1238,986.87941,8.4072075,1190.5768,247.67436
0.47,35.460247,1284.1518,986.85066,8.4431875,1190.4151,247.76807
0.48,35.441877,1284.1367,986.85843,8.4234975,1190.3969,247.7607
0.49,35.470707,1284.2313,986.80531,8.3961275,1190.5768,247.56946
0.5,35.461547,1284.1088,986.94619,8.4558975,1190.41,247.81077
0.51,35.463027,1284.1287,986.87329,8.4415075,1190.3913,247.7594
0.52,35.507067,1284.1593,986.91515,8.4250075,1190.3819,247.77533
0.53,35.421087,1284.1765,986.82655,8.4248975,1190.4059,247.64867
0.54,35.468827,1284.1383,986.86348,8.4198175,1190.3921,247.73097
0.55,35.439557,1284.1411,986.8212,8.4304475,1190.39,247.69702
0.56,35.470017,1284.084,986.87167,8.4243975,1190.3801,247.79542
0.57,35.451477,1284.1268,986.81968,8.4503575,1190.407,247.74907
0.58,35.424867,1284.1654,986.76634,8.4087575,1190.4197,247.62645
0.59,35.432007,1284.0524,986.93555,8.3896775,1190.5119,247.74794
0.6,35.426537,1284.1296,986.85763,8.4632675,1190.3664,247.79551
0.61,35.473477,1284.1455,986.86328,8.4311875,1190.4372,247.72951
0.62,35.469837,1284.1071,986.91404,8.4349775,1190.3986,247.80975
0.63,35.459367,1284.1491,986.84412,8.3984175,1190.3848,247.70197
0.64,35.488027,1284.1347,986.91495,8.4094575,1190.4051,247.75562
0.65,35.459527,1284.1642,986.83881,8.4627675,1190.4063,247.73835
0.66,35.454647,1284.1571,986.89194,8.4332975,1190.3779,247.69978
0.67,35.463587,1284.0956,986.96012,8.4515275,1190.4052,247.78539
0.68,35.458237,1284.1715,986.83429,8.4273575,1190.4089,247.66296
0.69,35.467767,1284.1022,986.86926,8.4543575,1190.4144,247.71441
0.7,35.501997,1284.1077,986.90622,8.4305275,1190.3525,247.75191
0.71,35.420297,1284.0694,986.92298,8.4150475,1190.3616,247.77323
0.72,35.437187,1284.1428,986.85878,8.4234175,1190.372,247.76659
0.73,35.489287,1284.1415,986.87594,8.4271075,1190.381,247.71718
0.74,35.385447,1284.1225,986.85145,8.4370575,1190.4012,247.68008
0.75,35.323407,1284.0242,986.87717,8.4383875,1190.4099,247.71035
0.76,35.446827,1284.1442,986.80295,8.4424375,1190.3807,247.66761
0.77,35.403027,1284.0897,986.80335,8.4066575,1190.411,247.69694
0.78,35.440797,1284.1128,986.72541,8.4428875,1190.3848,247.70685
0.79,35.358827,1284.0738,986.89213,8.4653075,1190.4185,247.75536
0.8,35.424997,1284.1398,986.88429,8.4243875,1190.3964,247.73212
0.81,35.451287,1284.148,986.86346,8.4431275,1190.3959,247.71015
0.82,35.409287,1284.1368,986.85854,8.4419375,1190.3854,247.71918
0.83,35.432977,1284.1298,986.85256,8.4269575,1190.4004,247.73417
0.84,35.418847,1284.1071,986.84823,8.4443475,1190.3929,247.71321
0.85,35.462957,1284.1129,986.87294,8.4337775,1190.4127,247.71259
0.86,35.416947,1284.1185,986.88182,8.4608375,1190.4144,247.71635
0.87,35.435607,1284.1043,986.88473,8.4424175,1190.3941,247.72897
0.88,35.414467,1284.0868,986.88607,8.4675475,1190.4001,247.77427
0.89,35.409077,1284.0715,986.86699,8.4096375,1190.3581,247.71684
0.9,35.417307,1284.0735,986.90662,8.4272475,1190.3876,247.75448
0.91,35.455137,1284.1098,986.8587,8.4243275,1190.3801,247.68257
0.92,35.434617,1284.1342,986.83059,8.4502975,1190.4073,247.61193
0.93,35.391497,1284.1091,986.82963,8.4370875,1190.3905,247.64052
0.94,35.449387,1284.0333,986.9339,8.4141775,1190.3719,247.75067
0.95,35.426757,1284.1285,986.83896,8.4659275,1190.4113,247.67918
0.96,35.434877,1284.1099,986.89165,8.4370575,1190.3721,247.69607
0.97,35.447907,1284.1242,986.90288,8.4560675,1190.3916,247.68518
0.98,35.422587,1284.1039,986.89701,8.4373875,1190.4014,247.72888
