Time,postX,postY,postZ,wristX,wristY,wristZ
0,34.960352,1284.0686,986.37718,135.42697,1194.8866,374.36159
0.01,34.923002,1284.0519,986.41911,135.49436,1194.8751,374.42445
0.02,34.920442,1284.0751,986.3149,135.50207,1194.8622,374.33316
0.03,34.941212,1284.067,986.35495,135.44493,1194.9019,374.30422
0.04,34.937572,1284.0948,986.33932,135.51623,1194.9954,374.36889
0.05,34.962142,1284.0825,986.35737,135.35565,1194.945,374.33104
0.06,34.981792,1284.0418,986.32594,135.46864,1194.8927,374.34341
0.07,35.000822,1283.973,986.40194,135.4121,1194.7845,374.32974
0.08,34.955722,1284.0455,986.29112,135.57122,1194.8576,374.32286
0.09,34.972242,1284.054,986.31226,135.5125,1194.8932,374.31664
0.1,34.933062,1284.0486,986.36933,135.56907,1194.9516,374.48258
0.11,34.900852,1284.1057,986.30247,135.45868,1194.956,374.35037
0.12,34.913292,1284.1105,986.31371,135.52715,1194.8855,374.38612
0.13,34.941672,1284.0669,986.33385,135.58966,1194.8758,374.3982
0.14,34.933392,1284.0811,986.31304,135.57861,1194.8573,374.33019
0.15,34.964032,1284.1318,986.32042,135.50195,1194.9315,374.35124
0.16,35.011812,1284.1285,986.33518,135.60055,1194.9795,374.436
0.17,34.933422,1284.0914,986.34322,135.57418,1194.8481,374.4364
0.18,34.967712,1284.03,986.39821,135.68468,1194.7901,374.39914
0.19,34.980582,1284.0394,986.37972,135.72154,1194.8115,374.42642
0.2,34.974002,1284.0892,986.35194,135.67888,1194.8854,374.45943
0.21,34.990382,1284.1008,986.3616,135.60739,1194.8856,374.40901
0.22,34.933692,1284.0986,986.34822,135.67285,1194.9174,374.43571
0.23,34.972522,1284.051,986.3967,135.84199,1194.796,374.40345
0.24,34.970652,1283.9627,986.42182,135.90422,1194.7315,374.40625
0.25,34.969712,1284.0437,986.37057,135.88373,1194.7884,374.40452
0.26,34.948792,1284.1179,986.35068,135.86978,1194.8934,374.36334
0.27,34.936032,1284.1045,986.31871,135.8454,1194.9484,374.46399
0.28,34.966812,1284.0471,986.41851,135.9474,1194.7933,374.41039
0.29,34.982332,1284.0554,986.34004,135.95602,1194.805,374.34761
0.3,35.009232,1284.0291,986.41318,136.00229,1194.7589,374.32616
0.31,34.976232,1284.0164,986.41838,135.93943,1194.7846,374.38766
0.32,34.940132,1284.0583,986.38949,135.9795,1194.8595,374.42514
0.33,34.964242,1284.0839,986.29065,135.99058,1194.8651,374.44512
0.34,35.373402,1284.2425,986.6379,136.06946,1194.8179,374.3694
0.35,35.400582,1284.233,986.63349,136.14129,1194.8325,374.37657
0.36,35.402302,1284.2552,986.63398,136.04873,1194.795,374.33106
0.37,35.373502,1284.2645,986.64733,136.12064,1194.852,374.42271
0.38,35.417202,1284.1888,986.67537,136.14463,1194.7768,374.41269
0.39,35.424162,1284.2107,986.67153,136.2146,1194.7584,374.33467
0.4,35.361622,1284.1913,986.65993,136.18596,1194.7528,374.29622
0.41,35.298402,1284.2508,986.6106,136.21965,1194.7906,374.39973
0.42,35.365262,1284.2994,986.58858,136.19239,1194.8667,374.36873
0.43,35.322752,1284.2667,986.60977,136.23047,1194.7893,374.40861
0.44,35.346822,1284.1993,986.68548,136.2794,1194.7502,374.36719
0.45,35.337452,1284.1996,986.67846,136.34372,1194.7359,374.30181
0.46,35.396762,1284.2068,986.64938,136.33559,1194.7299,374.36561
0.47,35.399682,1284.2621,986.61619,136.14113,1194.6912,374.19197
0.48,35.361772,1284.2312,986.6431,136.18888,1194.6356,374.19278
0.49,35.379632,1284.1899,986.69015,136.2145,1194.5939,374.25543
0.5,35.364732,1284.212,986.7139,136.2484,1194.5776,374.24541
0.51,35.402432,1284.2049,986.66784,136.4929,1194.651,374.43156
0.52,35.351162,1284.2326,986.6727,136.50891,1194.643,374.4531
0.53,35.397102,1284.2477,986.62915,136.54182,1194.677,374.45771
0.54,35.376382,1284.2735,986.61594,136.35192,1194.5617,374.25207
0.55,35.373862,1284.2164,986.68139,136.38213,1194.5422,374.29736
0.56,35.419262,1284.1753,986.68895,136.6227,1194.5725,374.48748
0.57,35.355672,1284.26,986.60974,136.64695,1194.607,374.4521
0.58,35.339292,1284.291,986.58592,136.49256,1194.5085,374.26996
0.59,35.349972,1284.2376,986.68195,136.54943,1194.4593,374.376
