Time,postX,postY,postZ,wristX,wristY,wristZ
0,35.470995,1284.2216,986.79136,130.23453,1186.3157,370.67362
0.01,35.482245,1284.1695,986.78973,130.25009,1186.3027,370.67593
0.02,35.533785,1284.1808,986.79853,130.26183,1186.2628,370.69807
0.03,35.437975,1284.149,986.76881,130.23822,1186.2949,370.72421
0.04,35.419505,1284.1725,986.78985,130.24362,1186.3047,370.6873
0.05,35.443535,1284.2031,986.78713,130.26009,1186.3125,370.72121
0.06,35.394105,1284.1264,986.85358,130.20145,1186.2759,370.74423
0.07,35.523685,1284.2004,986.80596,130.26032,1186.2694,370.62853
0.08,35.438475,1284.1943,986.76221,130.20258,1186.2698,370.66536
0.09,35.438775,1284.1764,986.79891,130.24925,1186.2813,370.6829
0.1,35.407685,1284.2048,986.81604,130.22022,1186.2758,370.70818
0.11,35.426525,1284.1834,986.82816,130.22923,1186.2827,370.70708
0.12,35.424795,1284.1509,986.7793,130.26954,1186.2982,370.67865
0.13,35.488775,1284.2168,986.81635,130.27387,1186.2871,370.63283
0.14,35.501225,1284.1677,986.83035,130.26345,1186.2832,370.7468
0.15,35.483645,1284.2251,986.76372,130.27419,1186.2915,370.73395
0.16,35.446775,1284.273,986.73647,130.23723,1186.3373,370.63219
0.17,35.560965,1284.2378,986.79381,130.28591,1186.3029,370.7108
0.18,35.584345,1284.3038,986.72515,130.31529,1186.3075,370.60639
0.19,35.563265,1284.255,986.77993,130.29508,1186.3324,370.67581
0.2,35.570675,1284.282,986.76576,130.27687,1186.3391,370.65742
0.21,35.441185,1284.2703,986.75236,130.28362,1186.3173,370.69992
0.22,35.489925,1284.2794,986.81972,130.24226,1186.3287,370.69049
0.23,35.472655,1284.2184,986.81844,130.22508,1186.3129,370.68832
0.24,35.561505,1284.2114,986.83143,130.30981,1186.2959,370.72766
0.25,35.467165,1284.2601,986.76679,130.26293,1186.3138,370.66435
0.26,35.442295,1284.2095,986.87201,130.27007,1186.3443,370.74962
0.27,35.515465,1284.2488,986.81323,130.26769,1186.3339,370.70069
0.28,35.512135,1284.2515,986.8264,130.22965,1186.3242,370.66242
0.29,35.526615,1284.2027,986.84983,130.24224,1186.2834,370.66171
0.3,35.405365,1284.2103,986.81435,130.2516,1186.2726,370.68022
0.31,35.385465,1284.2139,986.75544,130.20837,1186.2934,370.64765
0.32,35.397425,1284.2375,986.77062,130.24956,1186.298,370.65688
0.33,35.428725,1284.2116,986.77784,130.22033,1186.2972,370.71216
0.34,35.406285,1284.1907,986.8329,130.25043,1186.2802,370.73044
0.35,35.415395,1284.1704,986.86575,130.26797,1186.2919,370.72293
0.36,35.363545,1284.1934,986.90418,130.23218,1186.3058,370.66335
0.37,35.438205,1284.231,986.86694,130.2468,1186.3097,370.6757
0.38,35.408705,1284.1887,986.88216,130.22259,1186.3022,370.67495
0.39,35.393135,1284.1954,986.85679,130.25102,1186.2746,370.69198
0.4,35.441205,1284.14,986.91413,130.25229,1186.2702,370.73461
0.41,35.522385,1284.2296,986.83674,130.30253,1186.306,370.70307
0.42,35.471675,1284.2207,986.83913,130.27152,1186.3155,370.71435
0.43,35.404385,1284.2758,986.74675,130.29082,1186.3155,370.69118
0.44,35.405845,1284.194,986.82957,130.27384,1186.2817,370.69098
0.45,35.508765,1284.1608,986.81879,130.26408,1186.2851,370.70131
0.46,35.466535,1284.1895,986.78179,130.28426,1186.2942,370.6732
0.47,35.471365,1284.1517,986.85546,130.27533,1186.2793,370.80153
0.48,35.456285,1284.1922,986.82875,130.25266,1186.2932,370.69889
0.49,35.424875,1284.1795,986.85693,130.24753,1186.2994,370.69691
0.5,35.476435,1284.2335,986.82066,130.27509,1186.3195,370.66357
0.51,35.402835,1284.1674,986.84137,130.26791,1186.2639,370.74455
0.52,35.499135,1284.2291,986.73666,130.31983,1186.3302,370.68257
0.53,35.579375,1284.2126,986.83969,130.25919,1186.316,370.67068
0.54,35.578655,1284.2463,986.80684,130.30023,1186.3215,370.66798
0.55,35.494605,1284.1695,986.8834,130.28513,1186.3039,370.70928
0.56,35.598495,1284.2094,986.85188,130.29843,1186.2863,370.77874
0.57,35.488475,1284.2477,986.76144,130.2747,1186.3263,370.64249
0.58,35.577995,1284.255,986.7827,130.29668,1186.3486,370.67523
0.59,35.540445,1284.2367,986.74009,130.30785,1186.3434,370.66031
0.6,35.541445,1284.1896,986.78455,130.22825,1186.2848,370.72262
0.61,35.563815,1284.2125,986.86449,130.24685,1186.2639,370.73908
0.62,35.503865,1284.2075,986.82978,130.26995,1186.2998,370.71178
0.63,35.497475,1284.2137,986.79466,130.29208,1186.3147,370.73006
0.64,35.496165,1284.2119,986.84903,130.23203,1186.333,370.69977
0.65,35.484845,1284.2227,986.78337,130.26262,1186.3161,370.71065
0.66,35.539235,1284.192,986.80788,130.25261,1186.3032,370.695
0.67,35.515545,1284.1319,986.86959,130.27389,1186.2752,370.77884
0.68,35.541915,1284.2245,986.80131,130.27719,1186.3234,370.68359
0.69,35.512125,1284.2147,986.81043,130.25336,1186.2994,370.70931
0.7,35.502415,1284.2414,986.80219,130.27206,1186.3297,370.71128
0.71,35.466475,1284.2262,986.78186,130.27992,1186.3146,370.67132
0.72,35.487445,1284.2337,986.81004,130.2751,1186.3024,370.69646
0.73,35.514875,1284.2127,986.87651,130.29777,1186.3089,370.75366
0.74,35.445685,1284.2071,986.81221,130.25906,1186.303,370.70767
0.75,35.458765,1284.2147,986.75064,130.27842,1186.3213,370.69523
0.76,35.522275,1284.2078,986.8356,130.30054,1186.278,370.71567
0.77,35.562785,1284.1949,986.83383,130.29521,1186.3076,370.71868
0.78,35.521575,1284.2065,986.79754,130.28813,1186.2973,370.71866
0.79,35.449765,1284.205,986.7801,130.24732,1186.3338,370.67278
0.8,35.446725,1284.2433,986.7531,130.27126,1186.3191,370.65572
0.81,35.515655,1284.1733,986.8666,130.23734,1186.2724,370.75779
0.82,35.454785,1284.1877,986.79895,130.24838,1186.2836,370.70702
0.83,35.470255,1284.1938,986.78307,130.28242,1186.2914,370.702
0.84,35.403765,1284.1798,986.84441,130.23336,1186.3051,370.72345
0.85,35.491115,1284.2021,986.80789,130.23077,1186.3099,370.67783
0.86,35.442615,1284.1638,986.83632,130.26162,1186.2646,370.72875
0.87,35.421425,1284.1533,986.78671,130.24599,1186.2761,370.68445
0.88,35.479575,1284.1825,986.75724,130.25504,1186.2828,370.68311
0.89,35.562695,1284.1689,986.83202,130.22967,1186.2951,370.68867
0.9,35.404785,1284.1718,986.88135,130.23673,1186.3057,370.71
0.91,35.418255,1284.133,986.91738,130.20377,1186.2712,370.75455
0.92,35.446375,1284.1525,986.94108,130.28319,1186.274,370.7882
0.93,35.463195,1284.1495,986.85789,130.27001,1186.2872,370.71138
0.94,35.411595,1284.1968,986.872,130.23334,1186.2758,370.68686
0.95,35.437935,1284.1961,986.85604,130.24476,1186.3109,370.75873
0.96,35.399815,1284.145,986.87255,130.23589,1186.2949,370.7706
0.97,35.506835,1284.1663,986.84321,130.26312,1186.2711,370.73611
0.98,35.456815,1284.1283,986.88481,130.2605,1186.285,370.72438
0.99,35.433755,1284.1697,986.83193,130.25224,1186.2704,370.73496
1,35.419765,1284.1773,986.82905,130.22418,1186.268,370.71718
1.01,35.377615,1284.2412,986.78143,130.23847,1186.2914,370.67036
1.02,35.429255,1284.1695,986.83071,130.25433,1186.2903,370.76557
1.03,35.458275,1284.1902,986.84517,130.24854,1186.3013,370.6993
1.04,35.554555,1284.1573,986.91236,130.24812,1186.2613,370.74152
1.05,35.411315,1284.1765,986.76748,130.23932,1186.285,370.70123
1.06,35.433265,1284.1894,986.86585,130.22352,1186.2961,370.69033
1.07,35.388615,1284.1756,986.77101,130.22862,1186.3025,370.71143
1.08,35.414605,1284.1897,986.805,130.23136,1186.2995,370.67683
1.09,35.449965,1284.2251,986.72693,130.22521,1186.3143,370.62779
1.1,35.411075,1284.1799,986.79778,130.38532,1186.2247,370.9309
