PathFileType	4	(X/Y/Z)	D:\TRACE\v60_Jaco2_6-2-23\ArmBodyNoDRS1-platform.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      5320	5	mm	100.00	1	      5320
Frame#	Time	Left_Front			Right_Front			Left_Aft			Right_Aft			Post			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	

1	0.000	-789.65253	9.38379	-656.05377	780.35968	9.78714	-632.74115	-719.39087	6.89952	480.96198	698.80603	9.39726	583.67572	3.12675	1307.70581	-965.83868	
2	0.010	-789.68756	9.38911	-656.05164	780.37366	9.81163	-632.71814	-719.45636	6.90420	480.86020	698.78540	9.38467	583.68481	3.09483	1307.75183	-965.87933	
3	0.020	-79.05737	1152.25732	-105.68703	780.27435	9.75408	-632.69891	-719.48401	6.90246	480.89877	698.84735	9.40759	583.70648	3.11980	1307.70239	-965.85431	
4	0.030	-79.14668	1152.46790	-106.26157	780.32520	9.73481	-632.67609	-719.48364	6.87268	480.94724	698.81262	9.40505	583.70605	3.15503	1307.60840	-965.80310	
5	0.040	-789.64630	9.31289	-656.07306	780.31537	9.71516	-632.75293	-719.45392	6.90979	480.89526	698.84564	9.45320	583.70276	3.17342	1307.57544	-965.74554	
6	0.050	-78.61951	1152.77124	-107.04796	780.26617	9.74374	-632.75903	-719.41901	6.91108	480.89853	698.82452	9.50520	583.73016	3.15014	1307.57458	-965.78308	
7	0.060	-78.24722	1152.62964	-107.01158	780.37793	9.74647	-632.72363	-719.44720	6.95117	480.87054	698.89410	9.49896	583.69135	3.12459	1307.58069	-965.79211	
8	0.070	-789.66785	9.31614	-656.14655	780.31012	9.76404	-632.72882	-719.47778	6.90666	480.83582	698.83685	9.48651	583.71936	3.19904	1307.60754	-965.79669	
9	0.080	-78.33833	1152.72375	-108.43364	780.35699	9.72572	-632.71667	-719.48956	6.91502	480.88077	698.86066	9.42319	583.72150	3.18383	1307.62134	-965.81152	
10	0.090	-77.76420	1153.61548	-109.20964	780.30743	9.74799	-632.67755	-719.51105	6.96739	480.85544	699.41760	9.83917	584.66431	3.14531	1307.62390	-965.89087	
11	0.100	-78.38985	1154.04968	-110.22985	780.32825	9.84614	-632.68921	-719.54883	7.02155	480.77182	698.84473	9.43807	583.72552	3.10183	1307.66223	-965.91492	
12	0.110	-77.03510	1155.36877	-111.10434	780.23547	9.81723	-632.79462	-719.53998	6.97244	480.72504	699.50684	9.93679	584.70416	2.97714	1307.71936	-965.99316	
13	0.120	-76.96905	1155.54504	-111.91553	780.34479	9.67004	-632.74091	-719.59778	7.00523	480.46936	699.30255	9.77685	584.40277	3.01785	1307.71094	-965.95740	
14	0.130	-76.00255	1156.62573	-113.36335	780.29272	9.49960	-632.76190	-719.76093	7.23372	480.21915	699.20233	9.73284	584.35968	3.01787	1307.54102	-965.81409	
15	0.140	-76.96941	1156.57141	-114.63876	780.36145	9.61379	-632.65594	-719.17645	6.32230	481.18140	699.08435	9.64864	584.31952	3.30627	1307.43384	-965.75244	
16	0.150	207.27739	1212.57971	105.79533	780.34814	9.55927	-632.75836	-719.19189	6.31299	481.10983	698.99890	9.57224	584.33728	3.38816	1307.44250	-965.78180	
17	0.160	-75.55958	1156.74658	-116.41785	780.32520	9.57687	-632.73328	-719.13116	6.33022	481.12552	698.90356	9.57848	584.38574	3.16361	1307.50024	-965.96069	
18	0.170	-246.32603	616.66736	490.75830	780.33026	9.65550	-632.79742	-719.13239	6.37444	481.08859	698.95734	9.44875	584.37219	3.00439	1307.63794	-966.03510	
19	0.180	207.00615	1212.45471	105.61033	780.31000	9.69836	-632.67792	-719.12494	6.23055	481.14716	698.90753	9.42768	584.38519	3.10534	1307.64319	-966.06512	
20	0.190	206.21931	1212.51807	104.90593	780.34326	9.66242	-632.66498	-719.46155	6.71031	480.93466	698.85419	9.42922	584.36017	3.14760	1307.68066	-966.07410	
21	0.200	-246.58014	616.31647	489.53613	780.23309	9.58517	-632.72369	-719.49323	6.75036	480.97830	698.78076	9.31910	584.34393	3.12028	1307.69800	-966.08356	
22	0.210	-75.48921	1156.90796	-116.48907	780.36694	9.67082	-632.69385	-719.42694	6.78913	480.92413	698.77606	9.27521	584.29272	3.09361	1307.69788	-966.02142	
23	0.220	-75.62698	1156.94629	-116.66814	780.31158	9.73258	-632.71906	-719.56610	6.98009	480.86301	698.76593	9.31959	584.25232	3.08653	1307.71289	-966.03186	
24	0.230	-246.20111	616.27899	489.39230	780.28430	9.77977	-632.73358	-719.54407	6.96211	480.85587	698.75348	9.31331	584.20581	3.01798	1307.62769	-965.93365	
25	0.240	204.38184	1212.27417	103.22716	780.25385	9.60442	-632.78168	-719.61157	6.98826	480.84866	698.74298	9.40301	584.24323	3.10874	1307.59216	-965.79572	
26	0.250	-246.28674	616.17908	489.54175	780.22876	9.51498	-632.76575	-719.61432	6.95813	480.83051	698.84033	9.42546	584.30457	3.15511	1307.51343	-965.70740	
27	0.260	-277.83575	292.71616	725.49506	780.31433	9.60527	-632.68512	-719.62061	6.98645	480.89948	698.86847	9.47031	584.36292	3.26531	1307.53455	-965.69177	
28	0.270	-244.86610	616.77399	489.79996	780.32581	9.66662	-632.75311	-719.49329	6.95550	480.87640	698.93561	9.44580	584.35168	3.19632	1307.53320	-965.76855	
29	0.280	203.58472	1212.39893	101.41176	780.32922	9.67246	-632.72351	-719.51093	6.93342	480.87604	698.95068	9.46607	584.36670	3.08912	1307.66345	-965.82568	
30	0.290	-243.52379	617.07025	490.50623	780.28967	9.65631	-632.76025	-719.54108	6.89282	480.83420	699.05157	9.52638	584.34161	2.97033	1307.72705	-965.95386	
31	0.300	-75.95745	1156.62695	-116.69613	780.32019	9.65239	-632.68085	-719.59705	6.89628	480.82727	699.04865	9.59434	584.34509	2.99475	1307.65564	-965.95764	
32	0.310	-75.77385	1156.59363	-116.49158	780.36017	9.56087	-632.64661	-719.56128	6.89879	480.83514	699.08508	9.53800	584.33459	3.10916	1307.57813	-965.93408	
33	0.320	-243.69980	617.24426	490.69235	780.32562	9.55930	-632.69019	-719.54724	6.90148	480.83774	699.12286	9.66194	584.32074	3.20962	1307.53931	-965.86182	
34	0.330	-75.77385	1156.59363	-116.49158	780.31354	9.63125	-632.73102	-719.46906	6.94331	480.81415	699.27924	9.76675	584.39465	3.21299	1307.54382	-965.88696	
