PathFileType	4	(X/Y/Z)	D:\TRACE\v60_Jaco2_6-2-23\ArmBody_Mo1_DMP_1-v60.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      5792	9	mm	100.00	1	      5792
Frame#	Time	front left toe			Front right toe			aft left toe			aft right toe			Arm			FL body			FR body			AL Body			AR Body			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	

1	0.000	-186.96255	22.76272	-273.69492	224.06297	19.95302	-308.39182	-139.41187	13.63859	352.31787	253.65283	18.71366	305.56168	27.70710	1208.76196	-319.58463	-68.47891	577.00922	-420.91235	90.36858	579.31482	-430.44769	-5.64818	580.56244	523.05914	147.37508	570.04211	513.98969	
2	0.010	-186.94493	22.71678	-273.69073	224.05931	19.92101	-308.34439	-139.39732	13.57975	352.32773	253.52266	18.62893	305.56662	27.77882	1208.64136	-319.51709	-68.43954	576.97540	-420.88879	90.32491	579.24426	-430.50211	-5.64339	580.56628	523.13794	147.37906	570.02930	513.97284	
3	0.020	-186.94740	22.72400	-273.67490	224.04802	19.58115	-308.50797	-139.37384	13.56712	352.36295	253.53249	18.66819	305.56519	27.76305	1208.62683	-319.52475	-68.49696	577.03967	-420.92712	90.32981	579.35132	-430.47830	-5.59569	580.53925	523.13153	147.37973	570.03284	513.99774	
4	0.030	-186.95737	22.74200	-273.66479	223.90294	19.52526	-308.63907	-139.38318	13.59351	352.34836	253.55103	18.63958	305.53064	27.74283	1208.60608	-319.53021	-68.46567	577.02075	-420.90561	90.37020	579.25879	-430.45691	-5.66925	580.55560	523.13171	147.38306	570.02423	513.96619	
5	0.040	-186.92664	22.74522	-273.68887	223.98950	19.58359	-308.52594	-139.40619	13.64992	352.34863	253.55417	18.65022	305.53616	27.73131	1208.65247	-319.49521	-68.45959	577.01544	-420.93622	90.30837	579.36340	-430.50235	-5.62819	580.55701	523.11884	147.37354	570.03973	513.97571	
6	0.050	-186.95346	22.75555	-273.68185	223.99335	19.62709	-308.57172	-139.39142	13.65714	352.35150	253.62877	18.71068	305.58881	27.74518	1208.74036	-319.55499	-68.44340	577.02216	-420.90128	90.37459	579.25702	-430.41632	-5.68393	580.57813	523.13324	147.35260	570.04889	513.98035	
7	0.060	-186.95113	22.75343	-273.68564	224.19339	19.66728	-308.46237	-139.37680	13.65062	352.32315	253.70193	18.72676	305.58151	27.76094	1208.63245	-319.52457	-68.47083	577.00928	-420.92944	90.34576	579.32855	-430.49625	-5.66056	580.55359	523.08679	147.36795	570.03955	513.98633	
8	0.070	-186.93619	22.75124	-273.66266	224.03569	19.92152	-308.37643	-139.39969	13.62166	352.31204	253.55772	18.66887	305.53079	27.75482	1208.60718	-319.50378	-68.45047	576.98126	-420.91650	90.27178	579.34106	-430.49365	-5.67616	580.56818	523.12292	147.34512	570.01709	513.99292	
9	0.080	-186.96117	22.72078	-273.68744	224.01619	19.60873	-308.49921	-139.39146	13.58329	352.32278	253.62105	18.68875	305.55804	27.75994	1208.63171	-319.50586	-68.46962	577.02661	-420.91766	90.41841	579.24658	-430.45544	-5.68088	580.55634	523.09973	147.35023	570.02100	513.98401	
10	0.090	-186.94044	22.71894	-273.64413	224.03271	19.94095	-308.34891	-139.40703	13.60659	352.34772	253.53769	18.65685	305.52591	27.77616	1208.63831	-319.49457	-68.77892	577.19452	-421.20715	90.33082	579.29767	-430.46674	-5.68116	580.54132	523.10675	147.38075	570.01196	513.99536	
11	0.100	-186.96724	22.75870	-273.65717	224.08362	19.66845	-308.49207	-139.39267	13.60278	352.33328	253.63878	18.67999	305.58459	27.77243	1208.62463	-319.51132	-68.48310	577.02606	-420.91660	90.33488	579.33765	-430.48624	-5.55475	580.57697	523.17596	147.35349	570.02338	513.98145	
12	0.110	-186.96082	22.74681	-273.68295	224.11954	19.89709	-308.32123	-139.37869	13.63846	352.33743	253.53879	18.62847	305.53482	27.70965	1208.58899	-319.55322	-68.48188	577.02069	-420.89230	90.24723	579.37384	-430.49875	-5.66490	580.56323	523.07257	147.34515	570.02997	513.97083	
13	0.120	-186.95302	22.74628	-273.68631	224.01176	19.89015	-308.39160	-139.40295	13.65560	352.31934	253.45549	18.58796	305.50513	27.71571	1208.65601	-319.53833	-68.45612	577.02283	-420.92358	90.37715	579.29901	-430.43292	-5.66760	580.56744	523.13409	147.35501	570.04620	513.98578	
14	0.130	-186.95142	22.76994	-273.68530	224.12328	19.62914	-308.51791	-139.40479	13.63434	352.28418	253.60963	18.68324	305.55304	27.73512	1208.64172	-319.52954	-68.77786	577.15814	-421.23047	90.24434	579.35748	-430.48370	-5.68467	580.58118	523.10400	147.35419	570.04340	513.97217	
15	0.140	-187.00432	22.79607	-273.68420	224.14352	19.64292	-308.43695	-139.38980	13.66212	352.30463	253.64644	18.70612	305.54596	27.74360	1208.62854	-319.51767	-68.47167	577.02454	-420.91241	90.29841	579.30573	-430.47552	-5.66494	580.53992	523.10455	147.34190	570.04260	513.97455	
