PathFileType	4	(X/Y/Z)	D:\TRACE\v60_Jaco2_6-2-23\BothDRS_Motion2_1-v60.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      7500	9	mm	100.00	1	      7500
Frame#	Time	front left toe			Front right toe			aft left toe			aft right toe			Arm			FL body			FR body			AL Body			AR Body			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	

1	0.000	-131.14720	19.14069	-273.35532	274.93274	18.39173	-320.73300	-73.86884	14.07558	343.88348	315.24490	17.96519	305.14145	74.49747	1211.07727	-328.11829	-21.96927	580.95557	-424.44827	137.94359	581.49725	-439.26691	63.46177	584.21295	518.06989	221.12733	580.59125	506.82877	
2	0.010	-131.13164	19.11403	-273.42355	274.86633	18.35317	-320.75775	-73.92103	14.09992	343.89810	315.33340	18.02317	305.13101	74.51225	1211.08179	-328.11475	-22.01507	580.95264	-424.44333	137.92242	581.46356	-439.27878	63.40682	584.23932	518.02863	221.15138	580.60773	506.85934	
3	0.020	-131.16882	19.16496	-273.39557	274.89240	18.37426	-320.75900	-73.93973	14.10820	343.89685	315.30084	18.03414	305.12424	74.51447	1211.09705	-328.11078	-21.98997	580.89795	-424.46899	137.93259	581.44824	-439.30923	63.39533	584.27368	518.03259	221.05701	580.57385	506.87347	
4	0.030	-131.14435	19.17436	-273.43243	274.91483	18.37416	-320.71808	-73.89228	14.10220	343.90298	315.29733	18.03419	305.13788	74.52328	1211.08875	-328.10278	-22.05385	580.93793	-424.46304	137.98160	581.43988	-439.25275	63.40531	584.28467	518.02948	221.12401	580.71222	506.84662	
5	0.040	-131.03644	19.06059	-273.43491	274.95950	18.39833	-320.73901	-73.88700	14.05153	343.90240	315.28787	17.99912	305.12369	74.52459	1211.10559	-328.11240	-22.04774	580.93500	-424.44943	137.89598	581.49554	-439.29260	63.45210	584.26740	518.02484	221.13885	580.64508	506.92792	
6	0.050	-131.13626	19.14785	-273.43503	274.96851	18.39452	-320.71909	-73.86903	14.06232	343.91476	315.24573	17.95280	305.15958	74.49173	1211.07288	-328.11481	-22.04666	580.94775	-424.46265	137.92104	581.47516	-439.26483	63.41256	584.24695	518.06061	221.12343	580.60974	506.84891	
7	0.060	-131.16460	19.16733	-273.40903	274.92828	18.38873	-320.71530	-73.87858	14.06060	343.87698	315.31531	17.99696	305.15695	74.49082	1211.07117	-328.09738	-22.06780	580.99426	-424.44574	137.91577	581.44275	-439.29196	63.43589	584.23468	518.04340	221.11337	580.58881	506.87839	
8	0.070	-131.06332	19.12717	-273.41226	274.89343	18.34914	-320.75555	-73.87816	14.07278	343.87213	315.34500	18.04401	305.13132	74.49860	1211.06970	-328.10068	-22.02579	580.91467	-424.47748	137.87376	581.45483	-439.25269	63.40546	584.20880	518.03766	221.15565	580.63641	506.84241	
9	0.080	-131.08989	19.13302	-273.47040	274.88593	18.37183	-320.71588	-73.87674	14.07116	343.91699	315.29044	17.99759	305.12872	74.50410	1211.06995	-328.10355	-22.00544	580.93237	-424.44247	137.90240	581.47290	-439.28778	63.44419	584.22559	518.05585	221.12100	580.65930	506.78641	
10	0.090	-131.11053	19.13588	-273.40466	274.91739	18.39698	-320.76270	-73.90468	14.08376	343.93036	315.30106	17.98995	305.16519	74.48469	1211.07275	-328.09097	-22.11466	580.96118	-424.40909	137.94940	581.45978	-439.29996	63.42886	584.25189	518.06152	221.14430	580.61859	506.82504	
11	0.100	-131.12389	19.11953	-273.39114	274.91232	18.36711	-320.74457	-73.90700	14.08433	343.92590	315.30054	17.97272	305.17679	74.47820	1211.19214	-328.17084	-22.01817	580.93427	-424.45633	137.91614	581.44989	-439.27133	63.42501	584.22540	518.04089	221.12199	580.59961	506.91330	
12	0.110	-131.13513	19.12215	-273.39447	274.84143	18.35061	-320.75668	-73.87462	14.05631	343.91962	315.25031	17.95049	305.19656	74.46371	1211.06921	-328.09860	-22.09689	580.96057	-424.42651	137.91841	581.48822	-439.30338	63.43983	584.23792	518.04138	221.07152	580.56964	506.88602	
13	0.120	-131.17088	19.13952	-273.37778	274.91486	18.38245	-320.72763	-73.88190	14.06737	343.94031	315.29721	17.99094	305.19928	74.49517	1211.06348	-328.11356	-22.06331	580.96228	-424.44669	137.97673	581.40808	-439.28952	63.41582	584.19336	518.03577	221.15042	580.59717	506.85513	
14	0.130	-131.12143	19.13496	-273.40405	274.98294	18.40518	-320.73318	-73.91576	14.08987	343.90494	315.27924	17.99177	305.16330	74.49479	1211.07788	-328.10861	-22.02085	580.91693	-424.46213	137.91084	581.45624	-439.28409	63.44050	584.24365	518.03406	221.13782	580.70129	506.77365	
15	0.140	-131.04463	19.07800	-273.38376	274.89783	18.37887	-320.76877	-73.88878	14.07874	343.89279	315.32782	18.01899	305.13712	74.50468	1211.10266	-328.09418	-22.03218	580.93268	-424.44052	137.94025	581.41602	-439.26639	63.41441	584.24683	518.03729	221.13806	580.66431	506.88458	
