PathFileType	4	(X/Y/Z)	D:\TRACE\v60_Jaco2_6-2-23\JustArmDRS_Motion2_1-platform.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      7199	5	mm	100.00	1	      7199
Frame#	Time	Left_Front			Right_Front			Left_Aft			Right_Aft			Post			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	

1	0.000	-800.60797	8.80060	-638.88916	769.39221	10.09972	-644.39697	-708.72424	7.94471	496.08472	733.42218	7.00055	505.69910	-14.07459	1308.08606	-961.99005	
2	0.010	-800.68250	8.77835	-638.86792	769.41431	10.13052	-644.36603	-708.70068	7.84840	496.09195	733.42804	6.98752	505.68143	-14.08252	1308.01880	-961.97809	
3	0.020	-800.68518	8.72989	-638.84814	769.35486	10.08200	-644.39813	-708.69873	7.88722	496.10834	733.39758	6.97849	505.72266	-14.09666	1308.04834	-961.97571	
4	0.030	-800.68127	8.79191	-638.75714	769.39868	10.07970	-644.37231	-708.68396	7.90525	496.10602	733.35968	6.97547	505.73395	-14.07238	1308.04944	-962.02118	
5	0.040	-800.62665	8.73177	-638.86523	769.36682	10.09671	-644.38000	-708.70868	7.90461	496.08078	733.36652	6.98765	505.71759	-14.08018	1308.07581	-962.00537	
6	0.050	-800.62207	8.78461	-638.84589	769.39490	10.09538	-644.37903	-708.72308	7.92631	496.09607	733.37396	6.98575	505.70944	-14.06486	1308.07593	-961.97198	
7	0.060	-800.63763	8.71836	-638.87378	769.29272	10.13888	-644.37976	-708.69037	7.90573	496.11099	733.37854	6.97203	505.72058	-14.07154	1308.03320	-961.98431	
8	0.070	-800.64063	8.74312	-638.83417	769.35089	10.08263	-644.38007	-708.68134	7.91152	496.10486	733.39691	6.98870	505.73337	-14.09285	1308.04138	-962.00940	
9	0.080	-800.69843	8.73253	-638.84467	769.37976	10.09704	-644.38470	-708.67529	7.89676	496.11661	733.38037	6.99203	505.73907	-14.05805	1308.05627	-962.00995	
10	0.090	-800.63318	8.74569	-638.85333	769.29846	10.12980	-644.40417	-708.71417	7.92109	496.10727	733.13354	7.06013	505.82867	-14.08287	1308.08044	-961.98792	
11	0.100	-800.63281	8.79563	-638.89496	769.41931	10.09160	-644.37506	-708.68274	7.93179	496.09918	733.18701	7.06925	505.80713	-14.09831	1308.11829	-962.01270	
12	0.110	-800.64111	8.79660	-638.85773	769.42529	10.11193	-644.34613	-708.70123	7.90156	496.07193	733.37390	6.99745	505.69070	-14.12723	1308.13293	-962.00708	
13	0.120	-800.61493	8.79708	-638.88440	769.36389	10.10862	-644.40021	-708.71637	7.91454	496.10672	733.09735	7.04206	505.82785	-14.12226	1308.11401	-961.99091	
14	0.130	-800.65753	8.77257	-638.81512	769.35449	10.10357	-644.38464	-708.69751	7.93755	496.09827	733.08649	7.04956	505.81924	-14.08559	1308.08240	-961.99646	
15	0.140	-800.63562	8.73096	-638.83405	769.39435	10.07622	-644.35315	-708.66614	7.88688	496.11478	733.11035	7.04071	505.79446	-14.11633	1308.07104	-961.99310	
16	0.150	-800.63361	8.76430	-638.89539	769.33954	10.15426	-644.35870	-708.69000	7.89367	496.11942	733.40930	7.01261	505.70297	-14.09210	1308.10632	-962.00531	
17	0.160	-800.58771	8.79374	-638.88654	769.37866	10.13272	-644.37402	-708.67218	7.91301	496.09116	733.45013	7.03016	505.73309	-14.09732	1308.11658	-961.99402	
18	0.170	-800.64661	8.74353	-638.84674	769.37616	10.10920	-644.39056	-708.68475	7.88007	496.12454	733.10693	7.05120	505.81107	-14.08528	1308.06055	-962.01062	
19	0.180	-800.66772	8.80130	-638.79028	769.38153	10.07453	-644.39099	-708.68805	7.89373	496.13675	733.09326	7.05617	505.84576	-14.10401	1308.08472	-961.99945	
20	0.190	-800.64722	8.74531	-638.87689	769.38812	10.10176	-644.37067	-708.66815	7.87236	496.11139	733.38257	6.97920	505.70578	-14.08739	1308.06445	-962.01392	
21	0.200	-800.65558	8.77077	-638.81830	769.36621	10.11609	-644.37384	-708.68378	7.90596	496.11618	733.41290	7.00266	505.71158	-14.05266	1308.07275	-962.01044	
22	0.210	-800.62958	8.75192	-638.90399	769.34723	10.12626	-644.36322	-708.70227	7.94208	496.12613	733.41150	6.99848	505.72043	-14.11499	1308.08484	-962.01733	
23	0.220	-800.63428	8.76357	-638.83008	769.36401	10.12823	-644.35565	-708.69556	7.92042	496.12845	733.42310	6.99678	505.72757	-14.10128	1308.08179	-961.98871	
24	0.230	-800.65979	8.77351	-638.80457	769.38818	10.11058	-644.39636	-708.67877	7.87685	496.11487	733.42859	7.00142	505.71902	-14.09514	1308.06189	-961.99994	
25	0.240	-800.63055	8.75673	-638.79968	769.28357	10.12007	-644.42743	-708.64526	7.85455	496.11829	733.37354	6.98268	505.72302	-14.08035	1308.04297	-961.98517	
26	0.250	-800.66614	8.71153	-638.84808	769.40027	10.08283	-644.38947	-708.65344	7.89102	496.12424	733.36249	6.98744	505.71658	-14.06110	1308.04578	-961.98438	
27	0.260	-800.67090	8.76587	-638.84283	769.37994	10.08094	-644.37720	-708.66528	7.87511	496.13785	733.13000	7.11170	505.83133	-14.06588	1308.03674	-961.95996	
28	0.270	-800.63116	8.81038	-638.86694	769.35321	10.15602	-644.40039	-708.73834	7.93115	496.09674	733.42017	7.00882	505.70154	-14.07989	1308.09509	-962.01770	
29	0.280	-800.63300	8.80594	-638.87274	769.37891	10.08498	-644.37170	-708.68506	7.92474	496.10422	733.45380	7.04654	505.71924	-14.05849	1308.07617	-961.95813	
30	0.290	-800.60791	8.78628	-638.85602	769.32562	10.13189	-644.39349	-708.65411	7.86332	496.12701	733.09821	7.04606	505.79544	-14.07633	1308.07300	-961.96246	
31	0.300	-800.63495	8.77540	-638.88727	769.33942	10.11042	-644.39056	-708.69250	7.91358	496.13211	733.42725	7.01895	505.73978	-14.04560	1308.06384	-961.99103	
32	0.310	-800.60016	8.76752	-638.83087	769.36578	10.16915	-644.33929	-708.71411	7.93772	496.10220	733.41541	7.01888	505.72369	-14.12561	1308.10107	-962.00873	
33	0.320	-800.59961	8.82477	-638.80951	769.29486	10.12337	-644.40747	-708.70221	7.92169	496.07794	733.46033	7.03267	505.71454	-14.05841	1308.05579	-961.98822	
34	0.330	-800.64136	8.78006	-638.85144	769.41315	10.09305	-644.34515	-708.67493	7.89935	496.11420	733.38226	6.98921	505.71954	-14.08071	1308.05396	-962.00403	
