PathFileType	4	(X/Y/Z)	D:\TRACE\v60_Jaco2_6-2-23\JustBodyDRS_Motion1_1-v60.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      7500	9	mm	100.00	1	      7500
Frame#	Time	front left toe			Front right toe			aft left toe			aft right toe			Arm			FL body			FR body			AL Body			AR Body			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	

1	0.000	-200.68759	19.81121	-165.74045	206.47095	17.89934	-211.00165	-134.71791	16.86219	438.94336	268.89325	19.40059	426.80872	-117.21116	1215.15417	-316.89188	-90.99866	583.10260	-308.01373	68.30623	583.05127	-326.37347	16.36374	587.71039	632.00256	172.02448	581.63068	614.74646	
2	0.010	-200.66699	19.86486	-165.76039	206.44417	17.86744	-210.99272	-134.78853	16.90685	438.94656	268.90710	19.37366	426.80569	-117.21194	1215.19373	-316.89581	-90.99213	583.06683	-308.04254	68.97074	583.11792	-326.66422	16.34092	587.71613	632.00397	172.00253	581.62531	614.76080	
3	0.020	-200.67247	19.85758	-165.72615	206.52722	17.88801	-210.97949	-134.77089	16.88784	438.98453	268.89648	19.40272	426.80185	-117.15889	1215.07458	-316.86176	-90.99323	583.09131	-308.01868	69.11105	583.17865	-326.58029	16.35744	587.68945	632.02502	172.04158	581.62915	614.76990	
4	0.030	-200.64850	19.79987	-165.76353	206.51213	17.93743	-211.00487	-134.79849	16.93347	438.95602	268.81223	19.34751	426.77206	-117.26847	1215.13794	-316.90222	-90.98019	583.08057	-308.03180	68.99352	583.16052	-326.65421	16.38687	587.69653	632.01233	171.99687	581.62457	614.77380	
5	0.040	-200.71284	19.85928	-165.75121	206.59161	17.98547	-210.97952	-134.84740	16.93237	438.95389	268.75339	19.30503	426.76797	-117.18623	1215.10229	-316.81226	-90.93885	583.11847	-308.01382	68.99379	583.12885	-326.70178	16.34802	587.69312	632.01727	171.98434	581.64093	614.77167	
6	0.050	-200.68486	19.80394	-165.74358	206.54825	17.94518	-211.00905	-134.74330	16.88991	438.93774	268.88693	19.40042	426.80817	-117.23289	1215.17505	-316.85944	-90.96613	583.06970	-308.03479	68.29707	583.03119	-326.36514	16.40250	587.69220	632.02332	171.98952	581.63531	614.75800	
7	0.060	-200.66940	19.82450	-165.74040	206.52092	17.95130	-210.99855	-134.75710	16.86519	438.96616	268.89709	19.35797	426.80847	-117.24815	1215.13477	-316.89081	-90.97166	583.03223	-308.04034	69.02848	583.15607	-326.66232	16.38720	587.71240	632.02441	172.03577	581.64148	614.77460	
8	0.070	-200.68024	19.77943	-165.74750	206.51849	17.94702	-210.99892	-134.74344	16.87464	438.99261	268.92673	19.37084	426.84305	-117.19427	1215.07251	-316.83359	-90.95335	583.07190	-308.04022	68.98806	583.17035	-326.63910	16.39681	587.69415	632.00079	172.02116	581.62683	614.78259	
9	0.080	-200.62030	19.74299	-165.72829	206.52753	17.97188	-211.00052	-134.69774	16.81528	439.02194	268.91632	19.33836	426.85022	-117.25912	1215.11694	-316.86996	-91.03858	583.10986	-308.01810	68.26824	583.02795	-326.38184	16.41798	587.66986	631.99420	172.06894	581.61292	614.75623	
10	0.090	-200.65184	19.77855	-165.75320	206.51778	17.91964	-210.99051	-134.71544	16.84899	438.98566	268.86359	19.33414	426.78494	-117.25642	1215.13330	-316.86102	-91.04556	583.12372	-308.01300	68.35609	583.03906	-326.36685	16.40055	587.70148	632.02618	172.06490	581.60602	614.75354	
11	0.100	-200.58101	19.77748	-165.76810	206.49884	17.90413	-211.00369	-134.78535	16.88228	438.97574	268.81705	19.33652	426.78104	-117.24030	1215.12756	-316.86310	-90.96198	583.10010	-308.03839	68.93529	583.14185	-326.66776	16.41219	587.67926	632.02881	172.07254	581.59674	614.74921	
12	0.110	-200.62112	19.79172	-165.74883	206.50421	17.93299	-210.98874	-134.78317	16.88620	438.96536	268.81448	19.34631	426.79306	-117.14193	1215.04675	-316.85834	-91.05545	583.11072	-308.01202	68.99797	583.14813	-326.67493	16.40995	587.66986	632.02234	172.02461	581.62671	614.76202	
13	0.120	-200.65932	19.82462	-165.70337	206.49232	17.92194	-211.01059	-134.81294	16.87762	438.98001	268.87604	19.36602	426.81171	-117.25330	1215.14038	-316.84866	-90.92888	583.05316	-308.05121	68.30721	583.06439	-326.31577	16.40650	587.69598	632.02295	172.05872	581.59290	614.74170	
14	0.130	-200.61810	19.79708	-165.73625	206.47417	17.88663	-211.00653	-134.79420	16.83955	438.97482	268.78989	19.32243	426.78354	-117.15118	1215.04846	-316.80991	-90.95029	583.06323	-308.04083	68.99609	583.16211	-326.61884	16.44522	587.66687	632.02649	172.07809	581.60571	614.76721	
15	0.140	-200.63359	19.76901	-165.72145	206.53172	17.92814	-211.00941	-134.78357	16.86130	438.99832	268.83887	19.36213	426.78513	-117.26953	1215.12207	-316.87485	-91.02587	583.09320	-308.02441	68.32169	583.04620	-326.32733	16.41187	587.68591	632.02094	172.06941	581.59521	614.75623	
