PathFileType	4	(X/Y/Z)	D:\TRACE\v60_Jaco2_6-2-23\JustBodyDRS_Motion2_1-platform.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      7009	5	mm	100.00	1	      7009
Frame#	Time	Left_Front			Right_Front			Left_Aft			Right_Aft			Post			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	

1	0.000	-800.61841	8.73722	-638.98602	769.34735	10.09179	-644.32349	-708.92456	8.03001	496.08868	733.08990	7.06326	505.64737	-13.81332	1307.75305	-961.78943	
2	0.010	-800.61755	8.75543	-638.98065	769.30981	10.06522	-644.38129	-708.91626	8.03839	496.09973	733.06592	7.02114	505.64868	-13.77597	1307.74939	-961.81390	
3	0.020	-800.59619	8.67922	-638.94275	769.28125	10.04943	-644.36206	-708.94519	7.98073	496.10916	733.08386	7.06240	505.67880	-13.77341	1307.72461	-961.77454	
4	0.030	-800.67133	8.79099	-638.87842	769.32861	10.05864	-644.35541	-708.88757	8.00753	496.12463	733.04785	7.06088	505.67368	-13.79418	1307.72559	-961.80237	
5	0.040	-800.61261	8.70889	-638.98010	769.32825	10.07343	-644.31799	-708.90710	8.01987	496.08978	733.06610	7.09611	505.65433	-13.79054	1307.73633	-961.80975	
6	0.050	-800.62134	8.80711	-638.98346	769.32434	10.07561	-644.35010	-708.88977	8.06888	496.06543	733.09631	7.05762	505.63736	-13.81511	1307.75806	-961.78162	
7	0.060	-800.63934	8.77472	-638.96838	769.27069	10.07640	-644.37830	-708.94904	8.01760	496.08163	733.07416	7.09212	505.63351	-13.83476	1307.68909	-961.78870	
8	0.070	-800.63855	8.69935	-638.97766	769.23883	10.07307	-644.37903	-708.93335	7.99688	496.10132	733.01471	7.03084	505.67868	-13.85379	1307.66882	-961.79913	
9	0.080	-800.67950	8.75922	-638.91357	769.27075	10.01894	-644.34534	-708.91437	8.01845	496.12445	733.06403	7.05578	505.64691	-13.80869	1307.67505	-961.77783	
10	0.090	-800.60803	8.72234	-638.97626	769.27997	10.03918	-644.37579	-708.94806	8.00822	496.11142	733.15485	7.07415	505.65659	-13.82521	1307.68506	-961.79694	
11	0.100	-800.60687	8.76467	-638.97949	769.30945	10.06886	-644.37427	-708.92560	8.03853	496.08630	733.08252	7.04722	505.64395	-13.78603	1307.72717	-961.78961	
12	0.110	-800.60602	8.76684	-638.99091	769.31024	10.05094	-644.33252	-708.94275	8.05991	496.09677	733.05872	7.09249	505.65323	-13.75382	1307.73132	-961.79437	
13	0.120	-800.62567	8.75402	-638.97845	769.35205	10.01032	-644.30426	-708.97974	8.03987	496.09299	732.98883	7.04559	505.66400	-13.76626	1307.74146	-961.79840	
14	0.130	-800.63599	8.77744	-638.93970	769.23907	10.04070	-644.37720	-709.00714	8.03083	496.08826	732.94525	7.05522	505.69031	-13.79464	1307.71509	-961.79535	
15	0.140	-800.62781	8.76940	-638.95172	769.27161	10.02910	-644.32391	-708.96295	8.04328	496.06766	732.99591	7.05898	505.64764	-13.78636	1307.71655	-961.79169	
16	0.150	-800.63751	8.86267	-638.93793	769.28760	10.05022	-644.36139	-708.93085	8.05263	496.07150	733.09546	7.08157	505.64819	-13.81700	1307.76599	-961.80072	
17	0.160	-800.58331	8.79201	-638.97052	769.29102	10.06845	-644.32623	-708.90131	8.03105	496.07956	733.10425	7.10010	505.67526	-13.86478	1307.76245	-961.81580	
18	0.170	-800.63074	8.78535	-638.97900	769.28015	10.09265	-644.39307	-708.92987	8.03847	496.12100	733.05511	7.08283	505.69528	-13.78639	1307.75989	-961.77704	
19	0.180	-800.64679	8.72421	-638.92206	769.24707	10.07072	-644.35046	-708.95313	8.06478	496.14157	732.93658	7.01780	505.66299	-13.82068	1307.73486	-961.78296	
20	0.190	-800.64313	8.73242	-638.95380	769.32593	10.03437	-644.34644	-708.96210	8.03921	496.12305	732.92358	7.02418	505.67343	-13.83355	1307.70850	-961.81305	
21	0.200	-800.60541	8.71193	-639.00403	769.24634	10.04774	-644.37164	-708.96143	8.03619	496.12460	732.96100	7.04434	505.68365	-13.82697	1307.75244	-961.79297	
22	0.210	-800.61877	8.77512	-639.05164	769.31146	10.06304	-644.36615	-708.95782	8.06381	496.10114	733.00183	7.04420	505.62469	-13.84335	1307.77710	-961.78485	
23	0.220	-800.61334	8.82285	-638.99084	769.37152	10.06233	-644.29755	-708.89288	8.05727	496.08392	733.04688	7.05937	505.67752	-13.78666	1307.76160	-961.78949	
24	0.230	-800.67786	8.79589	-638.95044	769.35382	10.05495	-644.34528	-708.90497	8.02631	496.11603	732.98999	7.02866	505.67831	-13.82549	1307.73352	-961.81171	
25	0.240	-800.66443	8.78770	-638.90997	769.26038	10.07187	-644.33264	-708.94568	8.00745	496.11349	732.96381	6.99477	505.65454	-13.82362	1307.68787	-961.77917	
26	0.250	-800.64258	8.76818	-638.95782	769.30048	10.05999	-644.35028	-708.95746	8.04008	496.09802	733.01794	7.04160	505.66663	-13.82268	1307.71960	-961.79456	
27	0.260	-800.61627	8.78453	-638.99237	769.24805	10.04943	-644.36969	-708.96198	8.04186	496.09137	733.07117	7.07691	505.63596	-13.80176	1307.75537	-961.82660	
28	0.270	-800.59460	8.79030	-638.96381	769.24353	10.06629	-644.36792	-708.93591	8.04891	496.10855	733.00525	7.06270	505.65891	-13.78900	1307.76782	-961.75940	
29	0.280	-800.63916	8.79633	-638.96857	769.28204	10.04765	-644.30670	-708.96924	8.05373	496.08267	732.93927	7.01448	505.64975	-13.81978	1307.73560	-961.82550	
30	0.290	-800.65210	8.77505	-638.97491	769.27448	10.03385	-644.34723	-708.95038	8.03085	496.11508	732.95551	7.03116	505.69238	-13.83530	1307.71802	-961.78192	
31	0.300	-800.64404	8.74090	-638.95636	769.25122	10.04957	-644.35822	-708.96747	7.97925	496.10721	732.97638	7.02030	505.69638	-13.86220	1307.71411	-961.82495	
32	0.310	-800.62378	8.81165	-638.95294	769.38336	10.09017	-644.26910	-708.92474	8.01129	496.11401	733.05322	7.03460	505.65280	-13.82920	1307.72375	-961.79987	
33	0.320	-800.63904	8.79795	-639.02917	769.32666	10.09675	-644.32648	-708.95795	8.03540	496.07727	733.09790	7.05709	505.66623	-13.79310	1307.75208	-961.78918	
34	0.330	-800.62360	8.76514	-638.95813	769.33313	10.05176	-644.34784	-708.95032	8.07121	496.08823	733.08197	7.06513	505.65567	-13.81721	1307.73303	-961.75061	
