PathFileType	4	(X/Y/Z)	D:\TRACE\v60_Jaco2_6-2-23\v60_baseline_1-v60.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      6251	9	mm	100.00	1	      6251
Frame#	Time	front left toe			Front right toe			aft left toe			aft right toe			Arm			FL body			FR body			AL Body			AR Body			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	

1	0.000	-206.44547	20.23198	-194.38377	203.75320	18.25655	-225.52419	-160.28772	16.36694	411.53940	245.77547	19.75910	411.68793	-108.95849	1208.57556	-345.97925	-85.35770	577.29675	-337.09210	74.55299	576.57117	-347.68011	-22.55217	581.37299	606.87451	134.19839	574.65613	597.10681	
2	0.010	-206.45576	20.20951	-194.41887	203.73772	18.24785	-225.45607	-160.33508	16.37860	411.57434	245.70430	19.68975	411.72668	-108.97405	1208.57300	-345.94525	-85.39877	577.29742	-337.08563	74.63954	576.58148	-347.67776	-22.61533	581.35266	606.87836	134.20558	574.63599	597.11316	
3	0.020	-206.50964	20.22636	-194.39272	203.72411	18.22034	-225.50542	-160.29950	16.33415	411.55106	245.62492	19.68111	411.68036	-108.98579	1208.53003	-345.97830	-85.40663	577.32965	-337.10526	74.54580	576.58643	-347.69550	-22.64952	581.36987	606.86438	134.17529	574.62170	597.14026	
4	0.030	-206.50499	20.24473	-194.39331	203.71820	18.22998	-225.48033	-160.34558	16.37276	411.57492	245.73550	19.70551	411.65894	-108.96218	1208.56470	-345.99551	-85.38332	577.26782	-337.10672	74.60994	576.57690	-347.69849	-22.63131	581.38434	606.86768	134.17630	574.63416	597.11810	
5	0.040	-206.47543	20.26087	-194.42638	203.75719	18.22744	-225.51987	-160.27089	16.31109	411.56970	245.76036	19.72658	411.65082	-108.96758	1208.57092	-345.97095	-85.37147	577.27563	-337.10687	74.58002	576.57373	-347.70273	-22.65959	581.37134	606.85553	134.20682	574.64807	597.08118	
6	0.050	-206.46255	20.21754	-194.38812	203.82050	18.24291	-225.47841	-160.32974	16.34624	411.56537	245.79582	19.71960	411.70996	-108.98405	1208.57324	-346.02429	-85.37834	577.31311	-337.10443	74.58239	576.56689	-347.70578	-22.61806	581.38269	606.85059	134.22009	574.66058	597.08093	
7	0.060	-206.47543	20.28000	-194.43646	203.75986	18.26648	-225.51411	-160.35257	16.36497	411.56491	245.75560	19.68382	411.68814	-108.92541	1208.55762	-345.97443	-85.40763	577.30096	-337.07162	74.59653	576.57068	-347.69937	-22.63425	581.36108	606.83044	134.20264	574.62506	597.09332	
8	0.070	-206.50571	20.23343	-194.40515	203.73058	18.24315	-225.47780	-160.30598	16.34273	411.57208	245.80469	19.66912	411.72064	-108.98428	1208.53101	-345.92752	-85.37360	577.26453	-337.09537	74.58161	576.58734	-347.69821	-22.66337	581.38013	606.82312	134.14044	574.64154	597.10822	
9	0.080	-206.43365	20.19634	-194.39177	203.68303	18.22149	-225.53394	-160.36113	16.35620	411.57071	245.80954	19.70262	411.76169	-108.92654	1208.52527	-345.98648	-85.34882	577.25873	-337.09512	74.46880	576.59332	-347.76212	-22.70112	581.36591	606.82520	134.16158	574.64545	597.08411	
10	0.090	-206.50504	20.24508	-194.43895	203.73752	18.21885	-225.50999	-160.31340	16.34892	411.56030	245.84592	19.73505	411.77814	-108.97321	1208.54749	-345.96649	-85.34755	577.28357	-337.14807	74.56428	576.58649	-347.69867	-22.64470	581.37799	606.84253	134.19998	574.64093	597.07001	
11	0.100	-206.46573	20.25008	-194.38268	203.75179	18.26106	-225.48920	-160.32451	16.36921	411.57089	245.84236	19.72349	411.67648	-108.94418	1208.54236	-345.99097	-85.36287	577.27655	-337.12643	74.54713	576.58105	-347.72812	-22.63625	581.37915	606.84344	134.19606	574.64642	597.07452	
12	0.110	-206.51219	20.27420	-194.43053	203.71078	18.21548	-225.52013	-160.35417	16.39174	411.56857	245.77167	19.71646	411.63837	-108.95319	1208.55237	-345.97894	-85.35460	577.28802	-337.08374	74.53336	576.59344	-347.68338	-22.71207	581.37408	606.86011	134.18123	574.63672	597.11401	
13	0.120	-206.52301	20.28854	-194.41179	203.73351	18.20443	-225.49765	-160.32755	16.35606	411.58585	245.73566	19.74855	411.67880	-108.99350	1208.56519	-345.95926	-85.39360	577.28125	-337.07819	74.92873	576.69342	-347.70245	-22.70079	581.37952	606.84351	134.11386	574.66467	597.09711	
14	0.130	-206.50475	20.21422	-194.41283	203.70544	18.21561	-225.47218	-160.31657	16.33281	411.57001	245.60277	19.65383	411.68228	-108.99783	1208.54431	-345.94748	-85.39040	577.28137	-337.08817	74.49001	576.58997	-347.69971	-22.74124	581.38995	606.84113	134.13031	574.65350	597.08557	
